train size,mae,mse,mape,wape,r2,mpe,model,key
1,1.0,2.0,0.08333333333333333,0.09090909090909091,-1.0,0.08333333333333333,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
2,2.0,4.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
3,2.0,8.0,0.25,0.2,-1.0,0.25,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
4,2.5,8.5,0.29545454545454547,0.2631578947368421,-2.7777777777777777,0.29545454545454547,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
5,2.0,5.0,0.20779220779220778,0.2222222222222222,-0.25,0.20779220779220778,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
6,4.0,16.0,0.5714285714285714,0.5714285714285714,0.0,0.5714285714285714,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
7,1.5,4.5,0.375,0.2727272727272727,-1.0,0.375,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
8,3.0,9.0,0.75,0.75,0.0,0.75,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
9,1.0,2.0,0.16666666666666666,0.2,-1.0,0.16666666666666666,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
10,2.0,4.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
11,3.0,18.0,0.25,0.3333333333333333,-1.0,0.25,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
12,6.0,36.0,0.5,0.5,0.0,0.5,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
13,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
14,1.5,4.5,0.16666666666666666,0.14285714285714285,-1.0,0.16666666666666666,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
15,2.5,6.5,0.26666666666666666,0.2631578947368421,-25.0,0.26666666666666666,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
16,1.0,1.0,0.1,0.1,0.0,0.1,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
17,7.0,91.25,0.31847826086956527,0.42424242424242425,-1.1597633136094676,0.31847826086956527,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
18,13.0,169.0,0.5652173913043478,0.5652173913043478,0.0,0.5652173913043478,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
19,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
20,0.5,0.5,0.020833333333333332,0.02127659574468085,-1.0,0.020833333333333332,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
21,1.0,1.0,0.043560606060606064,0.043478260869565216,0.0,0.043560606060606064,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
22,1.0,1.0,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
23,5.0,50.0,0.4166666666666667,0.29411764705882354,-1.0,0.4166666666666667,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
24,10.0,100.0,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
25,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
26,4.5,40.5,0.21428571428571427,0.2727272727272727,-1.0,0.21428571428571427,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
27,5.0,41.0,0.25274725274725274,0.29411764705882354,-1.5625,0.25274725274725274,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
28,8.5,72.5,0.6826923076923077,0.68,-289.0,0.6826923076923077,AdaBoostRegressor,051e9cc7d7636816-Others-permanent
1,1.0,2.0,0.08333333333333333,0.09090909090909091,-1.0,0.08333333333333333,BaggingRegressor,051e9cc7d7636816-Others-permanent
2,2.0,4.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,BaggingRegressor,051e9cc7d7636816-Others-permanent
3,2.0,4.6400000000000015,0.225,0.2,-0.16000000000000036,0.225,BaggingRegressor,051e9cc7d7636816-Others-permanent
4,2.5,8.5,0.29545454545454547,0.2631578947368421,-2.7777777777777777,0.29545454545454547,BaggingRegressor,051e9cc7d7636816-Others-permanent
5,2.0,4.04,0.23896103896103893,0.2222222222222222,-0.010000000000000009,0.23896103896103893,BaggingRegressor,051e9cc7d7636816-Others-permanent
6,2.9000000000000004,8.410000000000002,0.4142857142857143,0.4142857142857143,0.0,0.4142857142857143,BaggingRegressor,051e9cc7d7636816-Others-permanent
7,1.5,4.5,0.375,0.2727272727272727,-1.0,0.375,BaggingRegressor,051e9cc7d7636816-Others-permanent
8,3.5,12.25,0.875,0.875,0.0,0.875,BaggingRegressor,051e9cc7d7636816-Others-permanent
9,1.0,1.1600000000000004,0.19166666666666665,0.2,-0.16000000000000036,0.19166666666666665,BaggingRegressor,051e9cc7d7636816-Others-permanent
10,2.0,4.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,BaggingRegressor,051e9cc7d7636816-Others-permanent
11,4.0,25.0,0.375,0.4444444444444444,-1.7777777777777777,0.375,BaggingRegressor,051e9cc7d7636816-Others-permanent
12,6.4,40.96000000000001,0.5333333333333333,0.5333333333333333,0.0,0.5333333333333333,BaggingRegressor,051e9cc7d7636816-Others-permanent
13,2.0,4.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,BaggingRegressor,051e9cc7d7636816-Others-permanent
14,1.5,3.0600000000000005,0.15833333333333335,0.14285714285714285,-0.3600000000000003,0.15833333333333335,BaggingRegressor,051e9cc7d7636816-Others-permanent
15,1.9000000000000004,3.860000000000001,0.20333333333333337,0.20000000000000004,-14.440000000000005,0.20333333333333337,BaggingRegressor,051e9cc7d7636816-Others-permanent
16,0.0,0.0,0.0,0.0,1.0,0.0,BaggingRegressor,051e9cc7d7636816-Others-permanent
17,6.800000000000001,88.49000000000001,0.3041304347826087,0.41212121212121217,-1.0944378698224853,0.3041304347826087,BaggingRegressor,051e9cc7d7636816-Others-permanent
18,13.2,174.23999999999998,0.5739130434782609,0.5739130434782609,0.0,0.5739130434782609,BaggingRegressor,051e9cc7d7636816-Others-permanent
19,2.6000000000000014,6.760000000000008,0.11304347826086962,0.11304347826086962,0.0,0.11304347826086962,BaggingRegressor,051e9cc7d7636816-Others-permanent
20,0.5,0.5,0.020833333333333332,0.02127659574468085,-1.0,0.020833333333333332,BaggingRegressor,051e9cc7d7636816-Others-permanent
21,1.0,1.0,0.043560606060606064,0.043478260869565216,0.0,0.043560606060606064,BaggingRegressor,051e9cc7d7636816-Others-permanent
22,1.6999999999999993,2.8899999999999975,0.07727272727272724,0.07727272727272724,0.0,0.07727272727272724,BaggingRegressor,051e9cc7d7636816-Others-permanent
23,5.899999999999999,59.80999999999999,0.47462121212121205,0.3470588235294117,-1.3923999999999994,0.47462121212121205,BaggingRegressor,051e9cc7d7636816-Others-permanent
24,10.0,100.0,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,BaggingRegressor,051e9cc7d7636816-Others-permanent
25,2.0,4.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,BaggingRegressor,051e9cc7d7636816-Others-permanent
26,4.5,40.5,0.21428571428571427,0.2727272727272727,-1.0,0.21428571428571427,BaggingRegressor,051e9cc7d7636816-Others-permanent
27,4.0,32.0,0.19047619047619047,0.23529411764705882,-1.0,0.19047619047619047,BaggingRegressor,051e9cc7d7636816-Others-permanent
