train size,mae,mse,mape,wape,r2,mpe,model,key
1,65.0,4250.0,0.22844827586206895,0.22807017543859648,-169.0,0.22844827586206895,AdaBoostRegressor,351174f21316c2f0-Cassava
2,5.0,50.0,0.017857142857142856,0.017543859649122806,-1.0,0.017857142857142856,AdaBoostRegressor,351174f21316c2f0-Cassava
3,125.0,28850.0,0.24801061007957562,0.30864197530864196,-1.1814744801512287,0.24801061007957562,AdaBoostRegressor,351174f21316c2f0-Cassava
4,230.0,52900.0,0.4423076923076923,0.4423076923076923,0.0,0.4423076923076923,AdaBoostRegressor,351174f21316c2f0-Cassava
5,15.0,450.0,0.030612244897959183,0.0297029702970297,-1.0,0.030612244897959183,AdaBoostRegressor,351174f21316c2f0-Cassava
6,30.0,900.0,0.061224489795918366,0.061224489795918366,0.0,0.061224489795918366,AdaBoostRegressor,351174f21316c2f0-Cassava
7,30.0,1800.0,0.06976744186046512,0.06521739130434782,-1.0,0.06976744186046512,AdaBoostRegressor,351174f21316c2f0-Cassava
8,120.0,18000.0,0.36009002250562644,0.32432432432432434,-4.0,0.36009002250562644,AdaBoostRegressor,351174f21316c2f0-Cassava
9,160.0,27200.0,0.6283309957924264,0.5925925925925926,-16.0,0.6283309957924264,AdaBoostRegressor,351174f21316c2f0-Cassava
10,80.0,6400.0,0.34782608695652173,0.34782608695652173,0.0,0.34782608695652173,AdaBoostRegressor,351174f21316c2f0-Cassava
11,85.0,14450.0,0.2125,0.2698412698412698,-1.0,0.2125,AdaBoostRegressor,351174f21316c2f0-Cassava
12,160.0,25700.0,0.40986842105263155,0.41025641025641024,-256.0,0.40986842105263155,AdaBoostRegressor,351174f21316c2f0-Cassava
13,120.0,24400.0,0.6374269005847953,0.42857142857142855,-1.44,0.6374269005847953,AdaBoostRegressor,351174f21316c2f0-Cassava
14,165.0,28450.0,0.8155555555555556,0.7674418604651163,-22.224489795918366,0.8155555555555556,AdaBoostRegressor,351174f21316c2f0-Cassava
15,95.0,9650.0,0.34,0.34545454545454546,-14.44,0.34,AdaBoostRegressor,351174f21316c2f0-Cassava
16,50.0,2500.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,AdaBoostRegressor,351174f21316c2f0-Cassava
17,25.0,625.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,AdaBoostRegressor,351174f21316c2f0-Cassava
18,25.0,625.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,AdaBoostRegressor,351174f21316c2f0-Cassava
19,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,351174f21316c2f0-Cassava
20,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,351174f21316c2f0-Cassava
21,15.0,325.0,0.050595238095238096,0.05172413793103448,-2.25,0.050595238095238096,AdaBoostRegressor,351174f21316c2f0-Cassava
22,10.0,200.0,0.03571428571428571,0.034482758620689655,-1.0,0.03571428571428571,AdaBoostRegressor,351174f21316c2f0-Cassava
23,40.0,2225.0,0.11785714285714285,0.12307692307692308,-2.56,0.11785714285714285,AdaBoostRegressor,351174f21316c2f0-Cassava
24,85.0,7450.0,0.23157894736842105,0.2328767123287671,-32.111111111111114,0.23157894736842105,AdaBoostRegressor,351174f21316c2f0-Cassava
25,55.0,3025.0,0.14473684210526316,0.14473684210526316,0.0,0.14473684210526316,AdaBoostRegressor,351174f21316c2f0-Cassava
26,108.0,15264.0,0.23115789473684212,0.24545454545454545,-3.24,0.23115789473684212,AdaBoostRegressor,351174f21316c2f0-Cassava
27,90.0,9700.0,0.208125,0.21951219512195122,-0.19753086419753085,0.208125,AdaBoostRegressor,351174f21316c2f0-Cassava
28,180.0,32400.0,0.5625,0.5625,0.0,0.5625,AdaBoostRegressor,351174f21316c2f0-Cassava
1,65.0,4250.0,0.22844827586206895,0.22807017543859648,-169.0,0.22844827586206895,BaggingRegressor,351174f21316c2f0-Cassava
2,5.0,50.0,0.017857142857142856,0.017543859649122806,-1.0,0.017857142857142856,BaggingRegressor,351174f21316c2f0-Cassava
3,121.0,27866.0,0.2372679045092838,0.29876543209876544,-1.107069943289225,0.2372679045092838,BaggingRegressor,351174f21316c2f0-Cassava
4,232.0,53824.0,0.4461538461538462,0.4461538461538462,0.0,0.4461538461538462,BaggingRegressor,351174f21316c2f0-Cassava
5,101.0,10426.0,0.19929356357927785,0.2,-45.33777777777778,0.19929356357927785,BaggingRegressor,351174f21316c2f0-Cassava
6,6.0,36.0,0.012244897959183673,0.012244897959183673,0.0,0.012244897959183673,BaggingRegressor,351174f21316c2f0-Cassava
7,45.0,2925.0,0.10251542477456099,0.09782608695652174,-2.25,0.10251542477456099,BaggingRegressor,351174f21316c2f0-Cassava
8,120.0,18000.0,0.36009002250562644,0.32432432432432434,-4.0,0.36009002250562644,BaggingRegressor,351174f21316c2f0-Cassava
9,178.0,33284.0,0.6964936886395512,0.6592592592592592,-19.8025,0.6964936886395512,BaggingRegressor,351174f21316c2f0-Cassava
10,134.0,17956.0,0.5826086956521739,0.5826086956521739,0.0,0.5826086956521739,BaggingRegressor,351174f21316c2f0-Cassava
11,85.0,8314.0,0.26054347826086954,0.2698412698412698,-0.15072664359861587,0.26054347826086954,BaggingRegressor,351174f21316c2f0-Cassava
12,152.0,23204.0,0.38934210526315793,0.38974358974358975,-231.04,0.38934210526315793,BaggingRegressor,351174f21316c2f0-Cassava
13,100.0,14761.0,0.5102339181286549,0.35714285714285715,-0.47609999999999997,0.5102339181286549,BaggingRegressor,351174f21316c2f0-Cassava
14,169.0,29786.0,0.8346666666666667,0.786046511627907,-23.315102040816328,0.8346666666666667,BaggingRegressor,351174f21316c2f0-Cassava
15,25.0,674.0,0.094,0.09090909090909091,-0.07840000000000003,0.094,BaggingRegressor,351174f21316c2f0-Cassava
16,40.0,1600.0,0.13333333333333333,0.13333333333333333,0.0,0.13333333333333333,BaggingRegressor,351174f21316c2f0-Cassava
17,5.0,25.0,0.016666666666666666,0.016666666666666666,0.0,0.016666666666666666,BaggingRegressor,351174f21316c2f0-Cassava
18,12.0,144.0,0.04,0.04,0.0,0.04,BaggingRegressor,351174f21316c2f0-Cassava
19,0.0,0.0,0.0,0.0,1.0,0.0,BaggingRegressor,351174f21316c2f0-Cassava
20,0.0,0.0,0.0,0.0,1.0,0.0,BaggingRegressor,351174f21316c2f0-Cassava
21,10.0,200.0,0.03571428571428571,0.034482758620689655,-1.0,0.03571428571428571,BaggingRegressor,351174f21316c2f0-Cassava
22,10.0,200.0,0.03571428571428571,0.034482758620689655,-1.0,0.03571428571428571,BaggingRegressor,351174f21316c2f0-Cassava
23,35.0,1850.0,0.10238095238095238,0.1076923076923077,-1.96,0.10238095238095238,BaggingRegressor,351174f21316c2f0-Cassava
24,73.0,5554.0,0.19864661654135338,0.2,-23.684444444444445,0.19864661654135338,BaggingRegressor,351174f21316c2f0-Cassava
25,59.0,3481.0,0.15526315789473685,0.15526315789473685,0.0,0.15526315789473685,BaggingRegressor,351174f21316c2f0-Cassava
