train size,mae,mse,mape,wape,r2,mpe,model,key
1,200.0,62500.0,0.36923076923076925,0.4444444444444444,-0.5625,0.36923076923076925,AdaBoostRegressor,782568ced6ad8838-Beans
2,400.0,160000.0,0.6153846153846154,0.6153846153846154,0.0,0.6153846153846154,AdaBoostRegressor,782568ced6ad8838-Beans
3,475.0,451250.0,0.296875,0.4222222222222222,-1.0,0.296875,AdaBoostRegressor,782568ced6ad8838-Beans
4,950.0,902500.0,0.59375,0.59375,0.0,0.59375,AdaBoostRegressor,782568ced6ad8838-Beans
5,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,782568ced6ad8838-Beans
6,240.0,115200.0,0.21428571428571427,0.17647058823529413,-1.0,0.21428571428571427,AdaBoostRegressor,782568ced6ad8838-Beans
7,480.0,230400.0,0.42857142857142855,0.42857142857142855,0.0,0.42857142857142855,AdaBoostRegressor,782568ced6ad8838-Beans
8,435.0,378450.0,1.74,0.635036496350365,-1.0,1.74,AdaBoostRegressor,782568ced6ad8838-Beans
9,920.0,848900.0,4.973333333333334,4.6,-338.56,4.973333333333334,AdaBoostRegressor,782568ced6ad8838-Beans
10,75.0,6250.0,0.4583333333333333,0.42857142857142855,-9.0,0.4583333333333333,AdaBoostRegressor,782568ced6ad8838-Beans
11,50.0,2500.0,0.25,0.25,0.0,0.25,AdaBoostRegressor,782568ced6ad8838-Beans
12,75.0,11250.0,1.5,0.6,-1.0,1.5,AdaBoostRegressor,782568ced6ad8838-Beans
13,100.0,12500.0,1.6666666666666667,1.0,-4.0,1.6666666666666667,AdaBoostRegressor,782568ced6ad8838-Beans
14,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,782568ced6ad8838-Beans
15,100.0,10000.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,AdaBoostRegressor,782568ced6ad8838-Beans
16,37.5,2812.5,0.5,0.3333333333333333,-1.0,0.5,AdaBoostRegressor,782568ced6ad8838-Beans
17,75.0,5625.0,1.0,1.0,0.0,1.0,AdaBoostRegressor,782568ced6ad8838-Beans
18,39.0,1523.25,0.53125,0.5306122448979592,-676.0,0.53125,AdaBoostRegressor,782568ced6ad8838-Beans
19,13.5,254.5,0.19823232323232326,0.2125984251968504,-2.5224913494809686,0.19823232323232326,AdaBoostRegressor,782568ced6ad8838-Beans
20,45.0,2025.0,0.8181818181818182,0.8181818181818182,0.0,0.8181818181818182,AdaBoostRegressor,782568ced6ad8838-Beans
21,20.0,400.0,0.36363636363636365,0.36363636363636365,0.0,0.36363636363636365,AdaBoostRegressor,782568ced6ad8838-Beans
22,20.0,400.0,0.36363636363636365,0.36363636363636365,0.0,0.36363636363636365,AdaBoostRegressor,782568ced6ad8838-Beans
23,12.333333333333329,152.111111111111,0.22424242424242416,0.22424242424242416,0.0,0.22424242424242416,AdaBoostRegressor,782568ced6ad8838-Beans
24,28.0,809.0,0.4769230769230769,0.4666666666666667,-31.36,0.4769230769230769,AdaBoostRegressor,782568ced6ad8838-Beans
25,22.83333333333333,577.6111111111109,0.4212820512820512,0.39710144927536223,-9.268641975308638,0.4212820512820512,AdaBoostRegressor,782568ced6ad8838-Beans
26,29.545454545454547,872.9338842975208,0.5909090909090909,0.5909090909090909,0.0,0.5909090909090909,AdaBoostRegressor,782568ced6ad8838-Beans
27,48.33333333333333,2361.1111111111104,1.0999999999999999,1.074074074074074,-93.44444444444441,1.0999999999999999,AdaBoostRegressor,782568ced6ad8838-Beans
28,56.5,3204.5,1.3138297872340425,1.2988505747126438,-260.59183673469386,1.3138297872340425,AdaBoostRegressor,782568ced6ad8838-Beans
1,200.0,62500.0,0.36923076923076925,0.4444444444444444,-0.5625,0.36923076923076925,BaggingRegressor,782568ced6ad8838-Beans
2,400.0,160000.0,0.6153846153846154,0.6153846153846154,0.0,0.6153846153846154,BaggingRegressor,782568ced6ad8838-Beans
3,670.0,674525.0,0.5078125,0.5955555555555555,-1.9895844875346262,0.5078125,BaggingRegressor,782568ced6ad8838-Beans
4,950.0,902500.0,0.59375,0.59375,0.0,0.59375,BaggingRegressor,782568ced6ad8838-Beans
5,285.0,81225.0,0.178125,0.178125,0.0,0.178125,BaggingRegressor,782568ced6ad8838-Beans
6,240.0,78625.0,0.2015625,0.17647058823529413,-0.36501736111111116,0.2015625,BaggingRegressor,782568ced6ad8838-Beans
