train size,mae,mse,mape,wape,r2,mpe,model,key
1,1.0,1.0,0.5,0.5,0.0,0.5,AdaBoostRegressor,902f3a9003f7e637-Cocoa
2,1.0,1.0,0.5,0.5,0.0,0.5,AdaBoostRegressor,902f3a9003f7e637-Cocoa
3,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,902f3a9003f7e637-Cocoa
4,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,902f3a9003f7e637-Cocoa
5,1.0,2.0,0.25,0.3333333333333333,-1.0,0.25,AdaBoostRegressor,902f3a9003f7e637-Cocoa
6,4.0,20.0,0.625,0.6666666666666666,-4.0,0.625,AdaBoostRegressor,902f3a9003f7e637-Cocoa
7,3.0,10.0,0.75,0.6,-0.11111111111111116,0.75,AdaBoostRegressor,902f3a9003f7e637-Cocoa
1,1.0,1.0,0.5,0.5,0.0,0.5,BaggingRegressor,902f3a9003f7e637-Cocoa
2,0.5,0.25,0.25,0.25,0.0,0.25,BaggingRegressor,902f3a9003f7e637-Cocoa
3,0.0,0.0,0.0,0.0,1.0,0.0,BaggingRegressor,902f3a9003f7e637-Cocoa
4,0.0,0.0,0.0,0.0,1.0,0.0,BaggingRegressor,902f3a9003f7e637-Cocoa
5,1.0,2.0,0.25,0.3333333333333333,-1.0,0.25,BaggingRegressor,902f3a9003f7e637-Cocoa
6,4.0,20.0,0.625,0.6666666666666666,-4.0,0.625,BaggingRegressor,902f3a9003f7e637-Cocoa
7,3.0,10.96,0.675,0.6,-0.21777777777777785,0.675,BaggingRegressor,902f3a9003f7e637-Cocoa
1,1.0,1.0,0.5,0.5,0.0,0.5,BayesianRidge,902f3a9003f7e637-Cocoa
2,1.499992000015606,2.49997400011872,0.749996000007803,0.749996000007803,0.0,0.749996000007803,BayesianRidge,902f3a9003f7e637-Cocoa
3,0.7083770968904481,0.5452045362164204,0.35418854844522407,0.35418854844522407,0.0,0.35418854844522407,BayesianRidge,902f3a9003f7e637-Cocoa
4,0.45018000982505857,0.21628015363938483,0.22509000491252928,0.22509000491252928,0.0,0.22509000491252928,BayesianRidge,902f3a9003f7e637-Cocoa
5,0.9249653256688135,1.3108582401730526,0.26251733716559345,0.30832177522293785,-0.31085824017305264,0.26251733716559345,BayesianRidge,902f3a9003f7e637-Cocoa
