train size,mae,mse,mape,wape,r2,mpe,model,key
1,365.0,157250.0,0.6496296296296297,0.5572519083969466,-5.545265348595214,0.6496296296296297,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
2,480.0,259300.0,2.34125,1.4545454545454546,-7.972318339100346,2.34125,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
3,667.5,445862.5,4.77125,4.684210526315789,-1454.8775510204082,4.77125,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
4,67.5,5612.5,0.9733333333333334,0.7297297297297297,-4.313609467455621,0.9733333333333334,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
5,70.0,4925.0,1.2916666666666665,1.2727272727272727,-196.0,1.2916666666666665,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
6,10.0,100.0,0.2,0.2,0.0,0.2,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
7,7.5,62.5,0.14545454545454545,0.14285714285714285,-9.0,0.14545454545454545,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
8,12.5,212.5,0.18831168831168832,0.2,-2.7777777777777777,0.18831168831168832,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
9,15.0,250.0,0.19642857142857142,0.2,-9.0,0.19642857142857142,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
10,25.0,850.0,0.7291666666666666,0.45454545454545453,-0.3600000000000001,0.7291666666666666,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
11,40.0,1625.0,1.7083333333333335,1.6,-64.0,1.7083333333333335,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
12,35.0,1225.0,1.75,1.75,0.0,1.75,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
13,2.5,12.5,0.125,0.1111111111111111,-1.0,0.125,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
14,7.5,112.5,0.1875,0.23076923076923078,-1.0,0.1875,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
15,15.0,250.0,0.325,0.3333333333333333,-9.0,0.325,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
16,15.0,250.0,0.325,0.3333333333333333,-9.0,0.325,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
17,15.0,250.0,0.325,0.3333333333333333,-9.0,0.325,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
18,13.75,189.0625,0.275,0.275,0.0,0.275,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
19,15.0,250.0,0.45,0.42857142857142855,-0.11111111111111116,0.45,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
20,10.0,100.0,0.5,0.5,0.0,0.5,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
21,14.642857142857146,220.66326530612253,0.8750000000000002,0.8367346938775512,-34.30612244897961,0.8750000000000002,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
22,17.22222222222222,296.6049382716049,1.1481481481481481,1.1481481481481481,0.0,1.1481481481481481,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
23,15.5,246.5,1.3333333333333335,1.24,-38.44,1.3333333333333335,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
24,22.5,512.5,3.5,3.0,-81.0,3.5,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
25,22.0,484.0,4.4,4.4,0.0,4.4,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
26,15.0,225.0,3.0,3.0,0.0,3.0,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
27,15.0,225.0,3.0,3.0,0.0,3.0,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
28,12.5,162.5,3.377699720527872e+16,5.0,-25.0,inf,AdaBoostRegressor,a4d1e1ff1bc3b830-Others-temporary
1,365.0,157250.0,0.6496296296296297,0.5572519083969466,-5.545265348595214,0.6496296296296297,BaggingRegressor,a4d1e1ff1bc3b830-Others-temporary
2,543.0,323749.0,2.6011249999999997,1.6454545454545455,-10.202387543252595,2.6011249999999997,BaggingRegressor,a4d1e1ff1bc3b830-Others-temporary
3,471.5,222618.5,3.3747499999999997,3.3087719298245615,-725.9175510204082,3.3747499999999997,BaggingRegressor,a4d1e1ff1bc3b830-Others-temporary
4,169.5,29786.5,2.2313333333333336,1.8324324324324324,-27.200236686390532,2.2313333333333336,BaggingRegressor,a4d1e1ff1bc3b830-Others-temporary
5,84.0,7081.0,1.5483333333333333,1.5272727272727273,-282.24,1.5483333333333333,BaggingRegressor,a4d1e1ff1bc3b830-Others-temporary
6,46.0,2116.0,0.92,0.92,0.0,0.92,BaggingRegressor,a4d1e1ff1bc3b830-Others-temporary
7,7.0,55.25,0.13590909090909092,0.13333333333333333,-7.84,0.13590909090909092,BaggingRegressor,a4d1e1ff1bc3b830-Others-temporary
8,11.5,188.5,0.17207792207792205,0.184,-2.351111111111111,0.17207792207792205,BaggingRegressor,a4d1e1ff1bc3b830-Others-temporary
9,16.0,281.0,0.20982142857142858,0.21333333333333335,-10.24,0.20982142857142858,BaggingRegressor,a4d1e1ff1bc3b830-Others-temporary
10,25.0,725.0,0.6770833333333334,0.45454545454545453,-0.15999999999999992,0.6770833333333334,BaggingRegressor,a4d1e1ff1bc3b830-Others-temporary
11,52.0,2729.0,2.2083333333333335,2.08,-108.16,2.2083333333333335,BaggingRegressor,a4d1e1ff1bc3b830-Others-temporary
12,24.0,576.0,1.2,1.2,0.0,1.2,BaggingRegressor,a4d1e1ff1bc3b830-Others-temporary
13,3.5,18.5,0.16999999999999998,0.15555555555555556,-1.96,0.16999999999999998,BaggingRegressor,a4d1e1ff1bc3b830-Others-temporary
14,12.5,212.5,0.35,0.38461538461538464,-2.7777777777777777,0.35,BaggingRegressor,a4d1e1ff1bc3b830-Others-temporary
15,23.0,554.0,0.505,0.5111111111111111,-21.16,0.505,BaggingRegressor,a4d1e1ff1bc3b830-Others-temporary
16,13.0,194.0,0.28,0.28888888888888886,-6.76,0.28,BaggingRegressor,a4d1e1ff1bc3b830-Others-temporary
17,5.0,25.25,0.11125,0.1111111111111111,-0.010000000000000009,0.11125,BaggingRegressor,a4d1e1ff1bc3b830-Others-temporary
