train size,mae,mse,mape,wape,r2,mpe,model,key
1,1200.0,1480000.0,1.2916666666666667,1.2,-36.0,1.2916666666666667,AdaBoostRegressor,cdc89121a4b9478b-Rice
2,1200.0,1480000.0,1.2916666666666667,1.2,-36.0,1.2916666666666667,AdaBoostRegressor,cdc89121a4b9478b-Rice
3,1200.0,2080000.0,0.5625,0.6,-0.4444444444444444,0.5625,AdaBoostRegressor,cdc89121a4b9478b-Rice
4,3300.0,11700000.0,0.7949999999999999,0.8048780487804879,-13.444444444444445,0.7949999999999999,AdaBoostRegressor,cdc89121a4b9478b-Rice
5,3300.0,13140000.0,0.48,0.5076923076923077,-4.84,0.48,AdaBoostRegressor,cdc89121a4b9478b-Rice
6,5000.0,29000000.0,0.4791666666666667,0.5,-6.25,0.4791666666666667,AdaBoostRegressor,cdc89121a4b9478b-Rice
7,5500.0,32500000.0,0.4,0.4074074074074074,-13.444444444444445,0.4,AdaBoostRegressor,cdc89121a4b9478b-Rice
8,1500.0,4500000.0,0.1,0.1111111111111111,-1.0,0.1,AdaBoostRegressor,cdc89121a4b9478b-Rice
9,3000.0,9000000.0,0.25,0.25,0.0,0.25,AdaBoostRegressor,cdc89121a4b9478b-Rice
10,500.0,500000.0,0.038461538461538464,0.04,-1.0,0.038461538461538464,AdaBoostRegressor,cdc89121a4b9478b-Rice
11,1000.0,1000000.0,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,AdaBoostRegressor,cdc89121a4b9478b-Rice
12,666.6666666666661,444444.4444444436,0.05128205128205124,0.05128205128205124,0.0,0.05128205128205124,AdaBoostRegressor,cdc89121a4b9478b-Rice
13,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,cdc89121a4b9478b-Rice
14,500.0,500000.0,0.041666666666666664,0.04,-1.0,0.041666666666666664,AdaBoostRegressor,cdc89121a4b9478b-Rice
15,4200.0,27880000.0,0.2230392156862745,0.25925925925925924,-0.5804988662131518,0.2230392156862745,AdaBoostRegressor,cdc89121a4b9478b-Rice
16,6700.0,46330000.0,0.3464052287581699,0.3489583333333333,-31.173611111111114,0.3464052287581699,AdaBoostRegressor,cdc89121a4b9478b-Rice
17,2400.0,5760000.0,0.13333333333333333,0.13333333333333333,0.0,0.13333333333333333,AdaBoostRegressor,cdc89121a4b9478b-Rice
18,7450.0,111005000.0,2.403225806451613,0.7061611374407583,-1.0,2.403225806451613,AdaBoostRegressor,cdc89121a4b9478b-Rice
19,14900.0,222010000.0,4.806451612903226,4.806451612903226,0.0,4.806451612903226,AdaBoostRegressor,cdc89121a4b9478b-Rice
20,850.0,1445000.0,0.6071428571428571,0.37777777777777777,-1.0,0.6071428571428571,AdaBoostRegressor,cdc89121a4b9478b-Rice
21,1150.0,1625000.0,0.7271428571428571,0.5897435897435898,-4.371900826446281,0.7271428571428571,AdaBoostRegressor,cdc89121a4b9478b-Rice
