train size,mae,mse,mape,wape,r2,mpe,model,key
1,250.0,115400.0,0.26,0.3333333333333333,-0.8464,0.26,AdaBoostRegressor,205ccde9be499e17-Cassava
2,500.0,250000.0,1.0,1.0,0.0,1.0,AdaBoostRegressor,205ccde9be499e17-Cassava
3,200.0,80000.0,0.2222222222222222,0.2857142857142857,-1.0,0.2222222222222222,AdaBoostRegressor,205ccde9be499e17-Cassava
4,250.0,85000.0,0.3055555555555555,0.3333333333333333,-2.7777777777777777,0.3055555555555555,AdaBoostRegressor,205ccde9be499e17-Cassava
5,300.0,90000.0,0.5,0.5,0.0,0.5,AdaBoostRegressor,205ccde9be499e17-Cassava
6,250.0,125000.0,0.22727272727272727,0.29411764705882354,-1.0,0.22727272727272727,AdaBoostRegressor,205ccde9be499e17-Cassava
7,350.0,145000.0,0.3522727272727273,0.3684210526315789,-5.444444444444445,0.3522727272727273,AdaBoostRegressor,205ccde9be499e17-Cassava
8,475.0,256250.0,0.9097222222222222,0.76,-7.36734693877551,0.9097222222222222,AdaBoostRegressor,205ccde9be499e17-Cassava
9,350.0,122500.0,0.7777777777777778,0.7777777777777778,0.0,0.7777777777777778,AdaBoostRegressor,205ccde9be499e17-Cassava
10,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,205ccde9be499e17-Cassava
11,107.5,23112.5,0.16165413533834586,0.19282511210762332,-1.0,0.16165413533834586,AdaBoostRegressor,205ccde9be499e17-Cassava
12,172.5,31562.5,0.36477913533834583,0.350253807106599,-0.06070153329132544,0.36477913533834583,AdaBoostRegressor,205ccde9be499e17-Cassava
13,500.0,274025.0,0.7871685606060606,0.6097560975609756,-0.09610000000000007,0.7871685606060606,AdaBoostRegressor,205ccde9be499e17-Cassava
14,800.0,644900.0,0.6388674884437596,0.64,-130.6122448979592,0.6388674884437596,AdaBoostRegressor,205ccde9be499e17-Cassava
15,167.5,28812.5,0.12367846954186945,0.12430426716141002,-0.026954778347070718,0.12367846954186945,AdaBoostRegressor,205ccde9be499e17-Cassava
16,3577.5,23312312.5,0.5368110561056105,0.7519705727798214,-1.2173047463186797,0.5368110561056105,AdaBoostRegressor,205ccde9be499e17-Cassava
17,6680.0,44622400.0,0.835,0.835,0.0,0.835,AdaBoostRegressor,205ccde9be499e17-Cassava
18,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,205ccde9be499e17-Cassava
19,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,205ccde9be499e17-Cassava
20,800.0,1280000.0,0.125,0.1111111111111111,-1.0,0.125,AdaBoostRegressor,205ccde9be499e17-Cassava
21,1600.0,2560000.0,0.25,0.25,0.0,0.25,AdaBoostRegressor,205ccde9be499e17-Cassava
22,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,205ccde9be499e17-Cassava
23,50.0,5000.0,0.007692307692307693,0.007751937984496124,-1.0,0.007692307692307693,AdaBoostRegressor,205ccde9be499e17-Cassava
24,250.0,85000.0,0.041025641025641026,0.04,-0.3600000000000001,0.041025641025641026,AdaBoostRegressor,205ccde9be499e17-Cassava
25,2200.0,7730000.0,0.22916666666666666,0.2682926829268293,-0.5971074380165289,0.22916666666666666,AdaBoostRegressor,205ccde9be499e17-Cassava
26,2600.0,10000000.0,0.28846153846153844,0.3333333333333333,-0.47928994082840237,0.28846153846153844,AdaBoostRegressor,205ccde9be499e17-Cassava
27,5700.0,32740000.0,1.2380952380952381,1.2127659574468086,-129.96,1.2380952380952381,AdaBoostRegressor,205ccde9be499e17-Cassava
28,2350.0,7345000.0,1.3523809523809525,0.8245614035087719,-3.0301783264746227,1.3523809523809525,AdaBoostRegressor,205ccde9be499e17-Cassava
1,250.0,115400.0,0.26,0.3333333333333333,-0.8464,0.26,BaggingRegressor,205ccde9be499e17-Cassava
2,356.0,126736.0,0.712,0.712,0.0,0.712,BaggingRegressor,205ccde9be499e17-Cassava
3,200.0,61904.0,0.24533333333333332,0.2857142857142857,-0.5476000000000001,0.24533333333333332,BaggingRegressor,205ccde9be499e17-Cassava
4,250.0,85000.0,0.3055555555555555,0.3333333333333333,-2.7777777777777777,0.3055555555555555,BaggingRegressor,205ccde9be499e17-Cassava
5,220.0,48400.0,0.36666666666666664,0.36666666666666664,0.0,0.36666666666666664,BaggingRegressor,205ccde9be499e17-Cassava
6,250.0,115400.0,0.23484848484848483,0.29411764705882354,-0.8464,0.23484848484848483,BaggingRegressor,205ccde9be499e17-Cassava
7,290.0,106600.0,0.2875,0.30526315789473685,-3.7377777777777776,0.2875,BaggingRegressor,205ccde9be499e17-Cassava
8,355.0,156650.0,0.701388888888889,0.568,-4.115102040816327,0.701388888888889,BaggingRegressor,205ccde9be499e17-Cassava
9,420.0,176400.0,0.9333333333333333,0.9333333333333333,0.0,0.9333333333333333,BaggingRegressor,205ccde9be499e17-Cassava
10,170.0,28900.0,0.37777777777777777,0.37777777777777777,0.0,0.37777777777777777,BaggingRegressor,205ccde9be499e17-Cassava
11,107.5,12962.5,0.18680033416875522,0.19282511210762332,-0.12168739859383448,0.18680033416875522,BaggingRegressor,205ccde9be499e17-Cassava
12,172.5,30262.5,0.41746945488721804,0.350253807106599,-0.017013232514177634,0.41746945488721804,BaggingRegressor,205ccde9be499e17-Cassava
13,500.0,298180.25,0.7108191287878788,0.6097560975609756,-0.19272099999999992,0.7108191287878788,BaggingRegressor,205ccde9be499e17-Cassava
14,882.5,783706.25,0.7050751155624038,0.706,-158.94005102040816,0.7050751155624038,BaggingRegressor,205ccde9be499e17-Cassava
15,293.0,113905.25,0.2051581641214969,0.21743970315398886,-3.0598886166184007,0.2051581641214969,BaggingRegressor,205ccde9be499e17-Cassava
16,3559.0,23180287.25,0.5295491955445545,0.7480819758276406,-1.2047474243687915,0.5295491955445545,BaggingRegressor,205ccde9be499e17-Cassava
17,6604.5,43619420.25,0.8255625,0.8255625,0.0,0.8255625,BaggingRegressor,205ccde9be499e17-Cassava
18,3262.0,10640644.0,0.40775,0.40775,0.0,0.40775,BaggingRegressor,205ccde9be499e17-Cassava
19,0.0,0.0,0.0,0.0,1.0,0.0,BaggingRegressor,205ccde9be499e17-Cassava
20,800.0,662952.25,0.1148671875,0.1111111111111111,-0.03586289062500003,0.1148671875,BaggingRegressor,205ccde9be499e17-Cassava
21,1600.0,2560000.0,0.25,0.25,0.0,0.25,BaggingRegressor,205ccde9be499e17-Cassava
22,320.0,102400.0,0.05,0.05,0.0,0.05,BaggingRegressor,205ccde9be499e17-Cassava
23,110.0,14600.0,0.017115384615384616,0.017054263565891473,-4.84,0.017115384615384616,BaggingRegressor,205ccde9be499e17-Cassava
24,470.0,283400.0,0.07692307692307693,0.0752,-3.5343999999999998,0.07692307692307693,BaggingRegressor,205ccde9be499e17-Cassava
25,2200.0,7867600.0,0.22775641025641025,0.2682926829268293,-0.6255371900826445,0.22775641025641025,BaggingRegressor,205ccde9be499e17-Cassava
26,2600.0,9320000.0,0.2980769230769231,0.3333333333333333,-0.37869822485207094,0.2980769230769231,BaggingRegressor,205ccde9be499e17-Cassava
27,4520.0,20680400.0,0.9841575091575092,0.9617021276595744,-81.7216,0.9841575091575092,BaggingRegressor,205ccde9be499e17-Cassava
28,3390.0,13314600.0,1.822857142857143,1.1894736842105262,-6.305679012345679,1.822857142857143,BaggingRegressor,205ccde9be499e17-Cassava
1,250.0,115400.0,0.26,0.3333333333333333,-0.8464,0.26,BayesianRidge,205ccde9be499e17-Cassava
2,1219.999999983333,1545999.9999573326,2.439999999966666,2.439999999966666,0.0,2.439999999966666,BayesianRidge,205ccde9be499e17-Cassava
3,200.0000928765183,40711.17302901426,0.29925919734158035,0.28571441839502615,-0.017779325725356454,0.29925919734158035,BayesianRidge,205ccde9be499e17-Cassava
4,149.9995273880901,36900.538785841694,0.17499855590805305,0.19999936985078678,-0.6400239460374086,0.17499855590805305,BayesianRidge,205ccde9be499e17-Cassava
5,84.00220773239488,7056.370904015893,0.14000367955399146,0.14000367955399146,0.0,0.14000367955399146,BayesianRidge,205ccde9be499e17-Cassava
6,249.9999915376889,94899.97139739303,0.2537878935328149,0.2941176371031634,-0.5183995423582886,0.2537878935328149,BayesianRidge,205ccde9be499e17-Cassava
7,290.0006316203627,106600.34528620214,0.28750069382539845,0.3052638227582765,-3.7377931238312057,0.28750069382539845,BayesianRidge,205ccde9be499e17-Cassava
8,175.0029144759328,38731.26698116673,0.3475886718898346,0.2800046631614925,-0.2646944320380973,0.3475886718898346,BayesianRidge,205ccde9be499e17-Cassava
9,280.99207495471285,78956.90049698553,0.6244268332326952,0.6244268332326952,0.0,0.6244268332326952,BayesianRidge,205ccde9be499e17-Cassava
10,247.00294801162755,61010.456326495136,0.548895440025839,0.548895440025839,0.0,0.548895440025839,BayesianRidge,205ccde9be499e17-Cassava
11,117.04314902978973,25255.38686452317,0.2566677515420179,0.20994286821486946,-1.185430988817581,0.2566677515420179,BayesianRidge,205ccde9be499e17-Cassava
12,172.4992065378666,56430.12539054599,0.5316209727859358,0.3502521960159728,-0.8964125315033309,0.5316209727859358,BayesianRidge,205ccde9be499e17-Cassava
13,500.00062248996136,276723.34972875076,0.7771426906635629,0.6097568566950748,-0.10689339891500316,0.7771426906635629,BayesianRidge,205ccde9be499e17-Cassava
14,668.5403066856526,451409.7152021382,0.5335122526314943,0.534832245348522,-91.12443167390575,0.5335122526314943,BayesianRidge,205ccde9be499e17-Cassava
15,669.1648744650138,475837.84390087397,0.48869689321478077,0.49659730943600283,-15.960137006936922,0.48869689321478077,BayesianRidge,205ccde9be499e17-Cassava
16,4047.7907229879975,26898408.141335666,0.7214160096948963,0.8508230631609033,-1.5583891791172837,0.7214160096948963,BayesianRidge,205ccde9be499e17-Cassava
17,7081.637901978898,50149667.44883375,0.8852047377473624,0.8852047377473623,0.0,0.8852047377473624,BayesianRidge,205ccde9be499e17-Cassava
18,5675.2459944685,32211811.963663656,0.7094057493085625,0.7094057493085625,0.0,0.7094057493085625,BayesianRidge,205ccde9be499e17-Cassava
19,4291.618968398833,18428858.030635998,0.5364523710498541,0.5364523710498541,0.0,0.5364523710498541,BayesianRidge,205ccde9be499e17-Cassava
20,2352.6579488958187,6412103.365136666,0.31620911351581527,0.3267580484577526,-9.018911508026042,0.31620911351581527,BayesianRidge,205ccde9be499e17-Cassava
21,614.8705063027692,403228.84160084196,0.09607351660980769,0.09607351660980769,0.0,0.09607351660980769,BayesianRidge,205ccde9be499e17-Cassava
22,163.68005603609708,46735.40989864011,0.02557500875564017,0.025575008755640168,0.0,0.02557500875564017,BayesianRidge,205ccde9be499e17-Cassava
23,198.22276960347517,52663.31688609165,0.03059507694740153,0.030732212341624057,-20.065326754436658,0.03059507694740153,BayesianRidge,205ccde9be499e17-Cassava
24,720.0861122126462,691084.4531976475,0.11806126127147419,0.11521377795402339,-10.057351251162359,0.11806126127147419,BayesianRidge,205ccde9be499e17-Cassava
25,2035.8801959836592,5039658.505232376,0.23418419816725414,0.24827807268093405,-0.041251757279416434,0.23418419816725414,BayesianRidge,205ccde9be499e17-Cassava
26,2759.44694267447,7767026.437237364,0.37922380879368234,0.35377524906082947,-0.1489684078753497,0.37922380879368234,BayesianRidge,205ccde9be499e17-Cassava
27,3509.775005428176,12770135.357320096,0.7706938631852642,0.7467606394528034,-50.08054142928039,0.7706938631852642,BayesianRidge,205ccde9be499e17-Cassava
28,5278.822612323005,30149798.07758823,2.7118747786559116,1.8522184604642122,-15.543099082352938,2.7118747786559116,BayesianRidge,205ccde9be499e17-Cassava
1,250.0,115400.0,0.26,0.3333333333333333,-0.8464,0.26,DecisionTreeRegressor,205ccde9be499e17-Cassava
2,500.0,250000.0,1.0,1.0,0.0,1.0,DecisionTreeRegressor,205ccde9be499e17-Cassava
3,200.0,80000.0,0.2222222222222222,0.2857142857142857,-1.0,0.2222222222222222,DecisionTreeRegressor,205ccde9be499e17-Cassava
4,250.0,85000.0,0.3055555555555555,0.3333333333333333,-2.7777777777777777,0.3055555555555555,DecisionTreeRegressor,205ccde9be499e17-Cassava
5,300.0,90000.0,0.5,0.5,0.0,0.5,DecisionTreeRegressor,205ccde9be499e17-Cassava
6,250.0,125000.0,0.22727272727272727,0.29411764705882354,-1.0,0.22727272727272727,DecisionTreeRegressor,205ccde9be499e17-Cassava
7,350.0,145000.0,0.3522727272727273,0.3684210526315789,-5.444444444444445,0.3522727272727273,DecisionTreeRegressor,205ccde9be499e17-Cassava
8,475.0,256250.0,0.9097222222222222,0.76,-7.36734693877551,0.9097222222222222,DecisionTreeRegressor,205ccde9be499e17-Cassava
9,350.0,122500.0,0.7777777777777778,0.7777777777777778,0.0,0.7777777777777778,DecisionTreeRegressor,205ccde9be499e17-Cassava
10,0.0,0.0,0.0,0.0,1.0,0.0,DecisionTreeRegressor,205ccde9be499e17-Cassava
11,107.5,23112.5,0.16165413533834586,0.19282511210762332,-1.0,0.16165413533834586,DecisionTreeRegressor,205ccde9be499e17-Cassava
12,172.5,31562.5,0.36477913533834583,0.350253807106599,-0.06070153329132544,0.36477913533834583,DecisionTreeRegressor,205ccde9be499e17-Cassava
13,500.0,274025.0,0.7871685606060606,0.6097560975609756,-0.09610000000000007,0.7871685606060606,DecisionTreeRegressor,205ccde9be499e17-Cassava
14,930.0,869800.0,0.7431946584488958,0.744,-176.51020408163265,0.7431946584488958,DecisionTreeRegressor,205ccde9be499e17-Cassava
15,167.5,28812.5,0.12367846954186945,0.12430426716141002,-0.026954778347070718,0.12367846954186945,DecisionTreeRegressor,205ccde9be499e17-Cassava
16,3577.5,23312312.5,0.5368110561056105,0.7519705727798214,-1.2173047463186797,0.5368110561056105,DecisionTreeRegressor,205ccde9be499e17-Cassava
17,6485.0,42055225.0,0.810625,0.810625,0.0,0.810625,DecisionTreeRegressor,205ccde9be499e17-Cassava
