train size,mae,mse,mape,wape,r2,mpe,model,key
1,75.0,5625.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,AdaBoostRegressor,3cf541a13002d37b-Cassava
2,75.0,5625.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,AdaBoostRegressor,3cf541a13002d37b-Cassava
3,12.5,312.5,0.05,0.05263157894736842,-1.0,0.05,AdaBoostRegressor,3cf541a13002d37b-Cassava
4,25.0,625.0,0.1,0.1,0.0,0.1,AdaBoostRegressor,3cf541a13002d37b-Cassava
5,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,3cf541a13002d37b-Cassava
6,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,3cf541a13002d37b-Cassava
7,25.0,1250.0,0.08333333333333333,0.09090909090909091,-1.0,0.08333333333333333,AdaBoostRegressor,3cf541a13002d37b-Cassava
8,40.0,1700.0,0.1369047619047619,0.13793103448275862,-16.0,0.1369047619047619,AdaBoostRegressor,3cf541a13002d37b-Cassava
9,20.0,400.0,0.07142857142857142,0.07142857142857142,0.0,0.07142857142857142,AdaBoostRegressor,3cf541a13002d37b-Cassava
10,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,3cf541a13002d37b-Cassava
11,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,3cf541a13002d37b-Cassava
12,20.0,800.0,0.0625,0.06666666666666667,-1.0,0.0625,AdaBoostRegressor,3cf541a13002d37b-Cassava
13,40.0,1600.0,0.125,0.125,0.0,0.125,AdaBoostRegressor,3cf541a13002d37b-Cassava
14,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,3cf541a13002d37b-Cassava
15,10.0,200.0,0.03333333333333333,0.03225806451612903,-1.0,0.03333333333333333,AdaBoostRegressor,3cf541a13002d37b-Cassava
16,20.0,400.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,AdaBoostRegressor,3cf541a13002d37b-Cassava
17,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,3cf541a13002d37b-Cassava
18,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,3cf541a13002d37b-Cassava
19,25.0,1250.0,0.1,0.09090909090909091,-1.0,0.1,AdaBoostRegressor,3cf541a13002d37b-Cassava
1,75.0,5625.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,BaggingRegressor,3cf541a13002d37b-Cassava
2,7.5,56.25,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,BaggingRegressor,3cf541a13002d37b-Cassava
3,20.0,556.25,0.08166666666666667,0.08421052631578947,-2.56,0.08166666666666667,BaggingRegressor,3cf541a13002d37b-Cassava
4,25.0,625.0,0.1,0.1,0.0,0.1,BaggingRegressor,3cf541a13002d37b-Cassava
5,5.0,25.0,0.02,0.02,0.0,0.02,BaggingRegressor,3cf541a13002d37b-Cassava
6,2.5,6.25,0.01,0.01,0.0,0.01,BaggingRegressor,3cf541a13002d37b-Cassava
7,25.0,1250.0,0.08333333333333333,0.09090909090909091,-1.0,0.08333333333333333,BaggingRegressor,3cf541a13002d37b-Cassava
8,40.0,1700.0,0.1369047619047619,0.13793103448275862,-16.0,0.1369047619047619,BaggingRegressor,3cf541a13002d37b-Cassava
9,0.0,0.0,0.0,0.0,1.0,0.0,BaggingRegressor,3cf541a13002d37b-Cassava
10,12.0,144.0,0.04285714285714286,0.04285714285714286,0.0,0.04285714285714286,BaggingRegressor,3cf541a13002d37b-Cassava
11,6.0,36.0,0.02142857142857143,0.02142857142857143,0.0,0.02142857142857143,BaggingRegressor,3cf541a13002d37b-Cassava
12,20.0,800.0,0.0625,0.06666666666666667,-1.0,0.0625,BaggingRegressor,3cf541a13002d37b-Cassava
13,40.0,1600.0,0.125,0.125,0.0,0.125,BaggingRegressor,3cf541a13002d37b-Cassava
14,24.0,576.0,0.075,0.075,0.0,0.075,BaggingRegressor,3cf541a13002d37b-Cassava
15,10.0,136.0,0.03291666666666667,0.03225806451612903,-0.3600000000000001,0.03291666666666667,BaggingRegressor,3cf541a13002d37b-Cassava
16,16.0,256.0,0.05333333333333334,0.05333333333333334,0.0,0.05333333333333334,BaggingRegressor,3cf541a13002d37b-Cassava
17,14.0,196.0,0.04666666666666667,0.04666666666666667,0.0,0.04666666666666667,BaggingRegressor,3cf541a13002d37b-Cassava
18,6.0,36.0,0.02,0.02,0.0,0.02,BaggingRegressor,3cf541a13002d37b-Cassava
19,25.0,1250.0,0.1,0.09090909090909091,-1.0,0.1,BaggingRegressor,3cf541a13002d37b-Cassava
1,75.0,5625.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,BayesianRidge,3cf541a13002d37b-Cassava
2,112.49999989333321,14062.49997399997,0.49999999952592544,0.4999999995259254,0.0,0.49999999952592544,BayesianRidge,3cf541a13002d37b-Cassava
3,40.624821491153,1660.1415230532627,0.1708325875630392,0.17105187996274948,-9.62490574754088,0.1708325875630392,BayesianRidge,3cf541a13002d37b-Cassava
4,8.749971563890568,153.12151660651378,0.034999886255562274,0.034999886255562274,0.0,0.034999886255562274,BayesianRidge,3cf541a13002d37b-Cassava
5,27.343691972226168,826.9986320745938,0.10937476788890467,0.10937476788890467,0.0,0.10937476788890467,BayesianRidge,3cf541a13002d37b-Cassava
6,30.84987715748224,1007.9959445785566,0.12339950862992896,0.12339950862992896,0.0,0.12339950862992896,BayesianRidge,3cf541a13002d37b-Cassava
7,18.854169178408625,383.7021114732388,0.07090277945227239,0.06856061519421318,0.38607662164281786,0.07090277945227239,BayesianRidge,3cf541a13002d37b-Cassava
8,15.049751084183129,355.9422672401218,0.05060301098608831,0.051895693393734926,-2.559422672401218,0.05060301098608831,BayesianRidge,3cf541a13002d37b-Cassava
9,21.869193977906548,513.9982193120338,0.0781042642068091,0.0781042642068091,0.0,0.0781042642068091,BayesianRidge,3cf541a13002d37b-Cassava
10,26.953072933105574,757.1348829140629,0.09626097476109133,0.09626097476109134,0.0,0.09626097476109133,BayesianRidge,3cf541a13002d37b-Cassava
11,29.551632854293132,898.6546632639672,0.10554154590818976,0.10554154590818976,0.0,0.10554154590818976,BayesianRidge,3cf541a13002d37b-Cassava
