train size,mae,mse,mape,wape,r2,mpe,model,key
1,165.0,32850.0,0.23843334860284016,0.24812030075187969,-4.84,0.23843334860284016,AdaBoostRegressor,77c880feff17c521-Beans
2,150.0,22500.0,0.20270270270270271,0.20270270270270271,0.0,0.20270270270270271,AdaBoostRegressor,77c880feff17c521-Beans
3,25.0,1250.0,0.036231884057971016,0.03496503496503497,-1.0,0.036231884057971016,AdaBoostRegressor,77c880feff17c521-Beans
4,185.0,52450.0,0.41718426501035194,0.3333333333333333,-1.877914951989026,0.41718426501035194,AdaBoostRegressor,77c880feff17c521-Beans
5,195.0,43650.0,0.4266917293233083,0.3939393939393939,-6.76,0.4266917293233083,AdaBoostRegressor,77c880feff17c521-Beans
6,150.0,22500.0,0.2631578947368421,0.2631578947368421,0.0,0.2631578947368421,AdaBoostRegressor,77c880feff17c521-Beans
7,100.0,20000.0,0.2702702702702703,0.2127659574468085,-1.0,0.2702702702702703,AdaBoostRegressor,77c880feff17c521-Beans
8,260.0,71200.0,0.9102702702702703,0.8387096774193549,-18.77777777777778,0.9102702702702703,AdaBoostRegressor,77c880feff17c521-Beans
9,120.0,14400.0,0.48,0.48,0.0,0.48,AdaBoostRegressor,77c880feff17c521-Beans
10,105.0,22050.0,2.625,0.7241379310344828,-1.0,2.625,AdaBoostRegressor,77c880feff17c521-Beans
11,170.0,30500.0,3.1666666666666665,2.125,-18.0625,3.1666666666666665,AdaBoostRegressor,77c880feff17c521-Beans
12,95.0,9250.0,0.7,0.7037037037037037,-40.111111111111114,0.7,AdaBoostRegressor,77c880feff17c521-Beans
13,37.5,1462.5,0.23636363636363636,0.23809523809523808,-25.0,0.23636363636363636,AdaBoostRegressor,77c880feff17c521-Beans
14,22.5,562.5,0.14090909090909093,0.14285714285714285,-9.0,0.14090909090909093,AdaBoostRegressor,77c880feff17c521-Beans
15,7.5,56.25,0.05,0.05,0.0,0.05,AdaBoostRegressor,77c880feff17c521-Beans
16,15.0,225.0,0.1,0.1,0.0,0.1,AdaBoostRegressor,77c880feff17c521-Beans
