train size,mae,mse,mape,wape,r2,mpe,model,key
1,45.0,2650.0,0.125,0.12,-3.24,0.125,AdaBoostRegressor,a4d1e1ff1bc3b830-Corn
2,150.0,32500.0,0.27083333333333337,0.3,-2.25,0.27083333333333337,AdaBoostRegressor,a4d1e1ff1bc3b830-Corn
3,250.0,65000.0,0.38095238095238093,0.38461538461538464,-25.0,0.38095238095238093,AdaBoostRegressor,a4d1e1ff1bc3b830-Corn
4,100.0,10000.0,0.14285714285714285,0.14285714285714285,0.0,0.14285714285714285,AdaBoostRegressor,a4d1e1ff1bc3b830-Corn
5,10.0,200.0,0.013888888888888888,0.014084507042253521,-1.0,0.013888888888888888,AdaBoostRegressor,a4d1e1ff1bc3b830-Corn
6,35.0,1450.0,0.04722222222222222,0.047619047619047616,-5.444444444444445,0.04722222222222222,AdaBoostRegressor,a4d1e1ff1bc3b830-Corn
7,75.0,7650.0,0.12000000000000001,0.1111111111111111,-0.3600000000000001,0.12000000000000001,AdaBoostRegressor,a4d1e1ff1bc3b830-Corn
8,150.0,22500.0,0.25,0.25,0.0,0.25,AdaBoostRegressor,a4d1e1ff1bc3b830-Corn
9,100.0,20000.0,0.125,0.14285714285714285,-1.0,0.125,AdaBoostRegressor,a4d1e1ff1bc3b830-Corn
10,200.0,40000.0,0.25,0.25,0.0,0.25,AdaBoostRegressor,a4d1e1ff1bc3b830-Corn
11,25.0,1250.0,0.03333333333333333,0.03225806451612903,-1.0,0.03333333333333333,AdaBoostRegressor,a4d1e1ff1bc3b830-Corn
12,75.0,6250.0,0.10476190476190475,0.10344827586206896,-9.0,0.10476190476190475,AdaBoostRegressor,a4d1e1ff1bc3b830-Corn
13,166.66666666666663,37777.77777777777,0.31428571428571417,0.27777777777777773,-2.777777777777777,0.31428571428571417,AdaBoostRegressor,a4d1e1ff1bc3b830-Corn
14,266.66666666666663,73611.1111111111,0.6124999999999998,0.5925925925925926,-28.44444444444444,0.6124999999999998,AdaBoostRegressor,a4d1e1ff1bc3b830-Corn
15,150.0,25000.0,0.4583333333333333,0.42857142857142855,-9.0,0.4583333333333333,AdaBoostRegressor,a4d1e1ff1bc3b830-Corn
16,110.0,12200.0,0.38095238095238093,0.3793103448275862,-121.0,0.38095238095238093,AdaBoostRegressor,a4d1e1ff1bc3b830-Corn
17,55.0,4250.0,0.25,0.22448979591836735,-2.4693877551020407,0.25,AdaBoostRegressor,a4d1e1ff1bc3b830-Corn
18,90.0,8100.0,0.42857142857142855,0.42857142857142855,0.0,0.42857142857142855,AdaBoostRegressor,a4d1e1ff1bc3b830-Corn
19,5.0,50.0,0.025,0.024390243902439025,-1.0,0.025,AdaBoostRegressor,a4d1e1ff1bc3b830-Corn
20,10.0,100.0,0.05,0.05,0.0,0.05,AdaBoostRegressor,a4d1e1ff1bc3b830-Corn
