,mean,var,model,ID_MUNICIPIO
accuracy,0.9426535533689383,5.649333957330695e-05,RandomForestClassifier,12
f1,0.0830575060240132,0.005492945968449328,RandomForestClassifier,12
f1_macro,0.5267105050675173,0.0012781872625902224,RandomForestClassifier,12
precision,0.08716056670602125,0.005224155607191991,RandomForestClassifier,12
precision_macro,0.5262934683913404,0.0013982056603247077,RandomForestClassifier,12
recall,0.08264462809917356,0.006693531862577692,RandomForestClassifier,12
recall_macro,0.52903777440116,0.0013556639296093955,RandomForestClassifier,12
accuracy,0.8188068944189286,0.001238582968652577,RidgeClassifier,12
f1,0.11685292001457599,0.0021485640059294656,RidgeClassifier,12
f1_macro,0.507785917986837,0.0010036555195816477,RidgeClassifier,12
precision,0.07228837534599135,0.0008940798974567836,RidgeClassifier,12
precision_macro,0.5209692339597033,0.0003085672279032134,RidgeClassifier,12
recall,0.31404958677685957,0.012567447578717304,RidgeClassifier,12
recall_macro,0.5760501553567828,0.0040619936074459346,RidgeClassifier,12
accuracy,0.8485589697921871,0.0006790043127814942,RidgeClassifierCV,12
f1,0.14486971621946007,0.0025514413245439067,RidgeClassifierCV,12
f1_macro,0.5308178680124582,0.00098837455908166,RidgeClassifierCV,12
precision,0.0930477792904456,0.0012234077806347163,RidgeClassifierCV,12
precision_macro,0.5324015227290726,0.0003874756933358175,RidgeClassifierCV,12
recall,0.33884297520661155,0.012157639505498257,RidgeClassifierCV,12
recall_macro,0.6034139953566746,0.003533896249013807,RidgeClassifierCV,12
accuracy,0.7912032541616366,0.0017838800925285942,LinearDiscriminantAnalysis,12
f1,0.1136055041428158,0.0016862331835561253,LinearDiscriminantAnalysis,12
f1_macro,0.49738955445387006,0.0010414878847570764,LinearDiscriminantAnalysis,12
precision,0.06845693461079833,0.000695766432122817,LinearDiscriminantAnalysis,12
precision_macro,0.5192111795938016,0.00025315432093793585,LinearDiscriminantAnalysis,12
recall,0.34710743801652894,0.011747831432279214,LinearDiscriminantAnalysis,12
recall_macro,0.5776211402311395,0.004291935711569037,LinearDiscriminantAnalysis,12
accuracy,0.8182240220152687,0.0007439976019545904,AdaBoostClassifier,12
f1,0.10642992654572926,0.001996437836705511,AdaBoostClassifier,12
f1_macro,0.5025205657479678,0.0007785744623255194,AdaBoostClassifier,12
precision,0.0655759199915044,0.0008131605393442212,AdaBoostClassifier,12
precision_macro,0.5171245730721987,0.0002804802895226261,AdaBoostClassifier,12
recall,0.2892561983471074,0.013250461034082369,AdaBoostClassifier,12
recall_macro,0.5638210777781492,0.003697811745571052,AdaBoostClassifier,12
accuracy,0.9444575462052104,0.00011026284310619293,ExtraTreesClassifier,12
f1,0.11310175966926538,0.014870218153895753,ExtraTreesClassifier,12
f1_macro,0.5422050123545848,0.00391888103906388,ExtraTreesClassifier,12
precision,0.14433066933066932,0.029230004510973538,ExtraTreesClassifier,12
precision_macro,0.5551888421205089,0.007608717172857365,ExtraTreesClassifier,12
recall,0.09917355371900825,0.011201420667987157,ExtraTreesClassifier,12
recall_macro,0.5379242737397749,0.0028786635238344824,ExtraTreesClassifier,12
accuracy,0.862565267574878,0.0007523729456486683,GradientBoostingClassifier,12
f1,0.11369264955356216,0.0015731210141794359,GradientBoostingClassifier,12
f1_macro,0.5194397824887875,0.0003889043605004255,GradientBoostingClassifier,12
precision,0.07508845159290098,0.0006670117757465508,GradientBoostingClassifier,12
precision_macro,0.5219290273991425,0.00021393385134787276,GradientBoostingClassifier,12
recall,0.2479338842975206,0.013660269107301413,GradientBoostingClassifier,12
recall_macro,0.5669622572308629,0.0023007258566885205,GradientBoostingClassifier,12
accuracy,0.8698450962737752,0.0001739527576474542,HistGradientBoostingClassifier,12
f1,0.10435012862441409,0.0030837252046824097,HistGradientBoostingClassifier,12
f1_macro,0.5170431024705167,0.0007616834049065531,HistGradientBoostingClassifier,12
precision,0.06918803958895366,0.0012905123625754917,HistGradientBoostingClassifier,12
precision_macro,0.5184443345155813,0.0004115517671185511,HistGradientBoostingClassifier,12
recall,0.21487603305785122,0.015436104091250598,HistGradientBoostingClassifier,12
recall_macro,0.5548394319443091,0.0034598318104671986,HistGradientBoostingClassifier,12
accuracy,0.722384783487168,0.0019290036102428507,DecisionTreeClassifier,12
f1,0.08065857362476503,0.001236151369444586,DecisionTreeClassifier,12
f1_macro,0.4581148570864267,0.0005085194589386121,DecisionTreeClassifier,12
precision,0.045941782706389316,0.0003882168277377833,DecisionTreeClassifier,12
precision_macro,0.5065214373676269,0.00018550211853490486,DecisionTreeClassifier,12
recall,0.33884297520661155,0.028686565125332967,DecisionTreeClassifier,12
recall_macro,0.5379162878894289,0.005980886350777503,DecisionTreeClassifier,12
accuracy,0.7565637520385011,0.09502322580237532,LinearSVC,12
f1,0.035283524251263125,0.0023842287882860085,LinearSVC,12
f1_macro,0.41949827513324656,0.018376419027917493,LinearSVC,12
precision,0.0203130691726761,0.000877084566590081,LinearSVC,12
precision_macro,0.495321851995243,0.00036018251672511014,LinearSVC,12
recall,0.2644628099173554,0.15094597363568066,LinearSVC,12
recall_macro,0.5198729399173058,0.002176426017765331,LinearSVC,12
accuracy,0.8652875067795649,0.0009373985467082073,LogisticRegression,12
f1,0.16121446989318391,0.002066027059474489,LogisticRegression,12
f1_macro,0.5438400979592983,0.0007753320935866057,LogisticRegression,12
precision,0.10724617158996043,0.0009984781780602763,LogisticRegression,12
precision_macro,0.5399656991645506,0.0003049351850182457,LogisticRegression,12
recall,0.34710743801652894,0.011747831432279214,LogisticRegression,12
recall_macro,0.6160711653445609,0.0026596593172098534,LogisticRegression,12
accuracy,0.9459645622746069,0.000791468373896501,LogisticRegressionCV,12
f1,0.044676494676494684,0.006364478170374979,LogisticRegressionCV,12
f1_macro,0.5082686250640721,0.0011021646103986744,LogisticRegressionCV,12
precision,0.032236366174660185,0.0032084538072718227,LogisticRegressionCV,12
precision_macro,0.4988030782674091,0.0009222532815594604,LogisticRegressionCV,12
recall,0.07438016528925619,0.019260979441294998,LogisticRegressionCV,12
recall_macro,0.5267781718752741,0.0029790740350974136,LogisticRegressionCV,12
accuracy,0.8907558276909143,0.000574047572886514,BaggingClassifier,12
f1,0.13577845108126885,0.002624446374796136,BaggingClassifier,12
f1_macro,0.5386665844810687,0.0009495916456794772,BaggingClassifier,12
precision,0.10037595203370603,0.0019357466464704673,BaggingClassifier,12
precision_macro,0.5345251437238052,0.0005430194628286946,BaggingClassifier,12
recall,0.22314049586776855,0.005054299569701523,BaggingClassifier,12
recall_macro,0.5696682860081892,0.001550633299115039,BaggingClassifier,12
