,Never Dropped Out,Dropped Out,accuracy,matthews corrcoef,precision - 0,recall - 0,f1-score - 0,precision - 1,recall - 1,f1-score - 1,precision - macro avg,recall - macro avg,f1-score - macro avg,precision - weighted avg,recall - weighted avg,f1-score - weighted avg
GradientBoostingClassifier,20.0,20.0,0.6889,0.3787450800394917,0.6764431160097142,0.7242,0.6995073891625615,0.7032494082203572,0.6536,0.677516326319063,0.6898462621150356,0.6889,0.6885118577408122,0.6898462621150356,0.6889,0.6885118577408122
GradientBoostingClassifier,20.0,51.0,0.6435,0.289588259190682,0.6655896607431341,0.5768,0.6180220722168649,0.6266101994000353,0.7102,0.6657916940095622,0.6460999300715846,0.6435,0.6419068831132135,0.6460999300715846,0.6435,0.6419068831132135
GradientBoostingClassifier,20.0,107.0,0.6059,0.2776506072453324,0.799660441426146,0.2826,0.41761489581794004,0.5643143447103122,0.9292,0.7021839341041336,0.6819873930682291,0.6059,0.5598994149610368,0.6819873930682291,0.6059,0.5598994149610368
GradientBoostingClassifier,20.0,191.0,0.582,0.2527017477469227,0.842809364548495,0.2016,0.3253712072304713,0.546569741026806,0.9624,0.6971892205157926,0.6946895527876504,0.5820000000000001,0.5112802138731319,0.6946895527876504,0.582,0.5112802138731319
GradientBoostingClassifier,20.0,312.0,0.5305,0.15018547310590907,0.8538283062645011,0.0736,0.13551832075124287,0.5159368795067405,0.9874,0.6777404077150113,0.6848825928856208,0.5305,0.4066293642331271,0.6848825928856208,0.5305,0.40662936423312707
GradientBoostingClassifier,20.0,475.0,0.5097,0.07660314430910051,0.7975460122699386,0.026,0.050358318806895216,0.5049303649486632,0.9934,0.6695423603154277,0.6512381886093008,0.5096999999999999,0.35995033956116146,0.6512381886093009,0.5097,0.35995033956116146
GradientBoostingClassifier,20.0,686.0,0.5099,0.08118030005917962,0.8278145695364238,0.025,0.04853426519122501,0.5050258909533963,0.9948,0.669944103980066,0.66642023024491,0.5099,0.3592391845856455,0.66642023024491,0.5099,0.3592391845856455
GradientBoostingClassifier,20.0,952.0,0.5074,0.0729432663408427,0.8557692307692307,0.0178,0.034874608150470214,0.5037388843977365,0.997,0.6693071965628357,0.6797540575834836,0.5074,0.3520909023566529,0.6797540575834836,0.5074,0.35209090235665297
GradientBoostingClassifier,20.0,1280.0,0.5051,0.05203564227739595,0.7628865979381443,0.0148,0.029036688247989013,0.5025749772796122,0.9954,0.6679192108971349,0.6327307876088782,0.5051,0.34847794957256195,0.6327307876088782,0.5051,0.3484779495725619
GradientBoostingClassifier,20.0,1674.0,0.505,0.044479761117935314,0.6953125,0.0178,0.03471138845553822,0.502532414910859,0.9922,0.6671597633136095,0.5989224574554295,0.505,0.35093557588457386,0.5989224574554295,0.505,0.35093557588457386
GradientBoostingClassifier,20.0,2143.0,0.501,0.01025555262869722,0.5520833333333334,0.0106,0.020800627943485087,0.5005048465266559,0.9914,0.6651905528717124,0.5262940899299946,0.501,0.34299559040759875,0.5262940899299947,0.501,0.3429955904075987
