"Áreas de Planejamento, Regiões Administrativas e Bairros",Extrativa mineral,Minerais não-metálicos,Indústria metalúrgica,Indústria mecânica,Indústria do material elétrico e de comunicações,Indústria de material de transporte,Indústria da madeira e do mobiliário,"Indústria do papel, papelão, editorial e gráfica","Indústria da borracha, fumo, couros, peles, similares e diversas","Indústria química de produtos farmacêuticos, veterinários, perfumaria...",Indústria têxtil do vestuário e artefatos de tecidos,Indústria de calçados,"Indústria de produtos alimentícios, bebidas e álcool etílico",SIUP,Construção civil,Comércio varejista,Comércio atacadista,"Instituições de crédito, seguros e capitalização","Comércio e administração de imóveis, valores mobiliários, serviços técnicos",Transportes e comunicações,"Serviços de alojamento, alimentação, reparação, manutenção, redação...","Serviços médicos, odontológicos e veterinários",Ensino,Administração pública direta e autárquica,"Agricultura, silvicultura, criação de animais, extrativismo vegetal",Outros/ignorado,Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total ,   136,   218,   541,   550,   181,   138,   240,   890,   721,   531,   955,   11,  1 364,   322,  3 752,  34 706,  4 963,  2 999,  36 515,  5 315,  21 534,  10 394,  3 905,   297,   399,   0,  131 577
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Área de Planejamento 1,   48,   17,   55,   77,   29,   22,   21,   221,   127,   78,   189,   1,   165,   111,   714,  4 274,   944,  1 161,  7 067,  1 288,  3 840,   921,   313,   192,   87,   0,  21 962
Região de Planejamento 1.1,   48,   17,   55,   77,   29,   22,   21,   221,   127,   78,   189,   1,   165,   111,   714,  4 274,   944,  1 161,  7 067,  1 288,  3 840,   921,   313,   192,   87,   0,  21 962
I Portuária,   4,   3,   5,   6,   1,   5,   4,   21,   6,   7,   8,   0,   11,   3,   39,   151,   52,   9,   108,   144,   174,   16,   9,   8,   3,   0,   797
Saúde,-,   1,-,-,-,   1,-,   2,   3,   2,   3,-,   1,   1,   8,   31,   13,   3,   55,   48,   71,   7,   5,   6,   1,-,   262
Gamboa,-,   1,   1,   3,-,-,-,   8,   2,   1,   1,-,   3,-,   6,   25,   9,   1,   9,   7,   22,   4,   2,-,-,-,   105
Santo Cristo,   4,-,   4,   2,   1,   2,   3,   9,   1,   2,   4,-,   5,   1,   17,   73,   23,   3,   36,   56,   55,   4,-,   1,   1,-,   307
Caju,-,   1,-,   1,-,   2,   1,   2,-,   2,-,-,   2,   1,   8,   22,   7,   2,   8,   33,   26,   1,   2,   1,   1,-,   123
