Bairros,Renda per Capita,Percentual da renda proveniente de transferências governamentais,Percentual da renda proveniente de rendimentos do trabalho,Percentual de pessoas com mais de 50% da sua renda proveniente de transferências governamentais
Abolição,"449,70","21,91","70,27","19,68"
"Acari, Parque Colúmbia","147,17","10,29","83,10","7,30"
"Água Santa, Encantado","374,68","19,62","75,10","16,74"
Anchieta,"189,64","14,25","81,25","11,06"
Andaraí,"644,69","19,68","73,66","15,99"
Anil,"523,94","10,72","78,25","7,25"
Bangu,"217,91","16,38","78,67","12,91"
Barros Filho,"157,40","11,11","80,91","8,07"
Benfica,"269,77","15,45","77,76","11,69"
Bento Ribeiro,"280,98","19,39","72,09","15,71"
Bonsucesso,"446,47","20,06","73,41","17,77"
"Botafogo, Urca","1129,88","18,21","69,85","15,96"
Brás de Pina,"294,81","16,12","78,66","12,34"
Cachambi,"497,91","21,53","74,86","18,38"
Caju,"187,79","10,75","86,47","6,95"
"Camorim, Vargem Pequena, Vargem Grande","327,36","8,80","82,45","7,10"
"Campinho, Vila Valqueire","435,78","17,63","75,27","15,00"
Campo Grande,"252,69","14,47","78,90","11,68"
Cascadura,"302,19","19,74","71,58","17,53"
Catete,"639,09","20,89","69,13","17,98"
Catumbi,"250,59","15,51","76,68","13,04"
"Cavalcanti, Engenheiro Leal, Vaz Lobo","226,67","18,02","73,11","15,39"
Centro,"495,18","17,25","74,47","15,35"
Cidade de Deus,"174,08","9,72","87,04","5,79"
"Cidade Nova, Praça da Bandeira","436,87","16,48","77,84","14,81"
"Cocotá, Bancários","407,38","17,46","72,78","14,50"
Coelho Neto,"247,99","14,85","76,30","11,96"
Colégio,"219,45","12,58","79,51","10,37"
Complexo do Alemão,"144,01","7,97","83,92","5,62"
Copacabana,"1250,60","26,27","59,20","24,40"
Cordovil,"218,69","15,19","78,41","11,52"
Cosmos,"162,91","13,06","80,85","10,27"
Costa Barros,"182,72","12,39","78,83","10,01"
Curicica,"255,61","14,49","80,25","11,45"
"Deodoro, Vila Militar, Campo dos Afonsos, Jardim Sulacap","272,37","15,75","77,93","13,21"
Engenho da Rainha,"310,48","17,04","78,25","14,22"
Engenho de Dentro,"417,47","19,82","75,59","17,02"
Engenho Novo,"438,03","17,13","76,55","14,45"
Estácio,"328,58","16,23","74,73","12,27"
Flamengo,"1297,93","23,47","62,59","21,48"
