"Áreas de Planejamento,Regiões de Planejamento, Regiões Administrativas e bairros",Ano,Total,Residencial,Industrial,Comercial ,Rural,Poderes públicos ,Iluminação pública,Serv.público,Consumo próprio
Total ,2002,2191364,2000123,10916,171517,287,7836,76,459,150
Área de Planejamento 1 ,2002,149116,103197,1470,42263,0,2039,5,117,25
Região de Planejamento 1.1,2002,149116,103197,1470,42263,0,2039,5,117,25
Caju,2002,6072,5699,48,249,0,69,0,6,1
Gamboa,2002,3504,2963,52,449,0,38,0,2,0
Santo Cristo,2002,4044,3403,61,539,0,36,2,3,0
Saúde,2002,1381,790,15,537,0,38,0,0,1
Centro ,2002,56351,19836,493,34618,0,1386,2,4,12
Lapa,2002,...,...,...,...,...,...,...,...,...
Catumbi,2002,5050,4752,13,268,0,7,0,6,4
Cidade Nova,2002,1782,1478,24,246,0,30,1,3,0
Estácio,2002,6488,5888,31,524,0,42,0,0,3
Rio Comprido,2002,15530,14503,60,927,0,38,0,1,1
Benfica ,2002,8786,7741,168,728,0,72,0,77,0
Imperial de São Cristóvão,2002,15456,12453,434,2382,0,177,0,7,3
Mangueira,2002,3557,3424,9,99,0,24,0,1,0
Vasco da Gama ,2002,3900,3699,22,177,0,0,0,2,0
XXI  Paquetá,2002,2458,2299,9,115,0,34,0,1,0
Paquetá,2002,2458,2299,9,115,0,34,0,1,0
 Santa Teresa,2002,14757,14269,31,405,0,48,0,4,0
Área de Planejamento 2,2002,483992,441512,1016,40127,1,1184,25,103,24
Região de Planejamento 2.1 ,2002,328519,297857,676,29142,1,736,13,78,16
Botafogo,2002,40710,35739,142,4711,0,108,2,3,5
Catete,2002,8460,7136,18,1281,0,23,2,0,0
Cosme Velho,2002,2655,2393,8,184,0,60,1,5,4
Flamengo,2002,30095,28443,51,1576,0,24,0,1,0
Glória,2002,6756,6166,24,532,0,29,2,3,0
Humaitá,2002,6993,6629,20,332,0,12,0,0,0
Laranjeiras,2002,20529,19676,35,748,0,65,2,2,1
Urca,2002,2990,2733,2,163,0,86,2,4,0
Copacabana,2002,92103,82065,201,9769,0,59,1,7,1
Leme,2002,6869,6619,3,227,0,12,0,8,0
Gávea ,2002,8933,8174,26,685,0,45,1,2,0
Ipanema,2002,27592,23122,44,4376,1,38,0,10,1
Jardim Botânico,2002,8200,7375,22,738,0,62,0,1,2
Lagoa,2002,8724,8436,13,255,0,20,0,0,0
Leblon,2002,24397,22024,43,2265,0,50,0,14,1
São Conrado ,2002,4465,4079,18,344,0,13,0,11,0
Vidigal,2002,5115,5023,3,74,0,12,0,3,0
Rocinha,2002,22933,22025,3,882,0,18,0,4,1
Região de Planejamento 2.2,2002,155473,143655,340,10985,0,448,12,25,8
Alto da Boa Vista,2002,4018,3797,14,155,0,46,2,3,1
Praça da Bandeira,2002,5465,4655,39,721,0,46,0,4,0
Tijuca,2002,71681,65179,119,6218,0,144,9,9,3
Andaraí,2002,14077,13424,27,590,0,32,0,2,2
Grajaú,2002,16532,15789,41,660,0,39,1,1,1
Maracanã,2002,12008,11323,24,576,0,83,0,2,0
Vila Isabel,2002,31692,29488,76,2065,0,58,0,4,1
Área de Planejamento 3,2002,813252,758228,4377,48111,114,2218,28,117,59
Região de Planejamento 3.1,2002,94548,86565,697,7018,3,233,5,24,3
Bonsucesso ,2002,31530,27884,297,3251,2,82,5,7,2
Manguinhos,2002,17699,17048,40,574,1,33,0,3,0
Olaria,2002,20790,19125,152,1479,0,32,0,2,0
Ramos ,2002,24529,22508,208,1714,0,86,0,12,1
Maré,2002,...,...,...,...,...,...,...,...,...
Região de Planejamento 3.2,2002,164038,152280,962,10455,5,310,4,11,11
Abolição,2002,5526,5131,18,372,0,4,0,1,0
Água Santa,2002,1268,1189,9,58,3,4,4,0,1
Cachambi,2002,15972,15164,78,705,0,22,0,2,1
Encantado,2002,5578,5170,47,343,0,17,0,0,1
Engenho de Dentro,2002,18795,17744,98,929,0,21,0,3,0
Engenho Novo ,2002,16076,15269,96,690,0,20,0,1,0
Jacaré,2002,10890,10032,159,681,0,16,0,1,1
Lins de Vasconcelos,2002,9822,9492,19,288,0,20,0,1,2
Méier,2002,28576,24853,86,3560,0,74,0,1,2
Piedade,2002,17595,16767,68,729,2,28,0,1,0
Pilares,2002,10537,9755,74,700,0,8,0,0,0
Riachuelo,2002,5647,5258,55,324,0,10,0,0,0
Rocha,2002,2893,2657,31,170,0,32,0,0,3
Sampaio ,2002,2951,2718,29,196,0,8,0,0,0
São Francisco Xavier,2002,3618,3202,41,363,0,12,0,0,0
Todos os Santos,2002,7758,7460,29,261,0,8,0,0,0
Jacarezinho ,2002,536,419,25,86,0,6,0,0,0
Região de Planejamento 3.3,2002,210351,195958,861,12900,78,507,1,26,20
Colégio,2002,9154,8753,45,324,3,26,0,3,0
Irajá,2002,37389,35924,92,1271,3,89,1,9,0
Vicente de Carvalho,2002,7926,7531,49,339,0,4,0,3,0
Vila Cosmos,2002,6300,6063,13,214,0,9,0,1,0
Vila da Penha,2002,13999,12945,76,959,3,12,0,3,1
Vista Alegre,2002,5051,4652,4,381,2,12,0,0,0
Bento Ribeiro,2002,16372,15557,54,755,0,6,0,0,0
Campinho,2002,4743,4580,14,141,0,8,0,0,0
Cascadura,2002,12187,10929,55,1147,11,30,0,0,15
Cavalcanti,2002,5392,5121,41,216,0,14,0,0,0
Engenheiro Leal,2002,1657,1533,18,45,0,59,0,1,1
Honório Gurgel,2002,6908,6670,29,196,1,12,0,0,0
Madureira,2002,21894,18092,100,3618,19,64,0,1,0
Marechal Hermes,2002,13673,12786,49,771,7,60,0,0,0
Oswaldo Cruz,2002,12614,12006,57,508,0,40,0,1,2
Quintino Bocaiúva,2002,10612,10028,45,522,1,16,0,0,0
Rocha Miranda,2002,13940,13022,65,815,2,32,0,4,0
Turiaçu,2002,4737,4478,32,192,26,8,0,0,1
Vaz Lobo,2002,5803,5288,23,486,0,6,0,0,0
Região de Planejamento 3.4,2002,52242,49338,370,2381,4,136,0,10,3
Del Castilho,2002,7458,6935,36,455,0,27,0,5,0
Engenho da Rainha,2002,8659,8352,41,254,0,10,0,2,0
Higienópolis,2002,6941,6292,71,536,2,39,0,0,1
Inhaúma,2002,19267,18264,148,806,2,44,0,2,1
Maria da Graça ,2002,3635,3343,49,234,0,8,0,0,1
Total ,2003,2226310,2031999,9904,175190,283,7970,79,498,387
Área de Planejamento 1 ,2003,150485,104361,1276,42476,0,2138,5,115,114
Região de Planejamento 1.1,2003,150485,104361,1276,42476,0,2138,5,115,114
Caju,2003,6111,5748,41,242,0,72,0,5,3
Gamboa,2003,3474,2947,46,449,0,28,0,2,2
Santo Cristo,2003,4177,3559,54,516,0,42,2,3,1
Saúde,2003,1370,773,12,550,0,34,0,0,1
Centro ,2003,57165,20361,465,34822,0,1498,1,4,14
Lapa,2003,...,...,...,...,...,...,...,...,...
Catumbi,2003,5042,4740,9,273,0,7,0,6,7
Cidade Nova,2003,1857,1544,20,259,0,28,2,3,1
Estácio,2003,6494,5900,25,519,0,45,0,1,4
Rio Comprido,2003,15563,14532,54,937,0,38,0,1,1
Benfica ,2003,8799,7725,137,736,0,53,0,75,73
Imperial de São Cristóvão,2003,15532,12621,352,2361,0,187,0,7,4
Mangueira,2003,3497,3376,8,92,0,20,0,1,0
Vasco da Gama ,2003,3931,3727,21,180,0,0,0,2,1
XXI  Paquetá,2003,2469,2299,8,126,0,34,0,1,1
Paquetá,2003,2469,2299,8,126,0,34,0,1,1
 Santa Teresa,2003,15004,14509,24,414,0,52,0,4,1
Área de Planejamento 2,2003,487655,444884,909,40474,1,1190,28,104,65
Região de Planejamento 2.1 ,2003,331196,300336,607,29378,1,736,13,78,47
Botafogo,2003,41252,36273,133,4730,0,106,2,3,5
Catete,2003,8497,7173,18,1280,0,24,2,0,0
Cosme Velho,2003,2716,2412,6,225,0,63,1,5,4
Flamengo,2003,30370,28687,36,1618,0,26,0,1,2
Glória,2003,6817,6226,22,536,0,28,2,3,0
Humaitá,2003,7856,7459,20,363,0,12,0,1,1
Laranjeiras,2003,20651,19777,33,772,0,63,2,2,2
Urca,2003,3025,2761,1,165,0,90,2,4,2
Copacabana,2003,92715,82650,188,9803,0,62,1,7,4
Leme,2003,6914,6652,2,241,0,7,0,8,4
Gávea ,2003,9009,8243,25,694,0,43,1,2,1
Ipanema,2003,27711,23216,43,4398,1,37,0,10,6
Jardim Botânico,2003,8320,7500,16,746,0,55,0,1,2
Lagoa,2003,8075,7797,8,250,0,20,0,0,0
Leblon,2003,24497,22144,38,2241,0,52,0,14,8
São Conrado ,2003,4466,4064,13,360,0,17,0,9,3
Vidigal,2003,5153,5050,3,85,0,12,0,3,0
Rocinha,2003,23152,22252,2,871,0,19,0,5,3
Região de Planejamento 2.2,2003,156459,144548,302,11096,0,454,15,26,18
Alto da Boa Vista,2003,4072,3843,11,165,0,46,2,3,2
Praça da Bandeira,2003,5649,4840,33,724,0,46,0,4,2
Tijuca,2003,72112,65606,98,6231,0,150,12,9,6
Andaraí,2003,14094,13478,24,558,0,30,0,2,2
Grajaú,2003,16539,15775,39,682,0,39,1,1,2
Maracanã,2003,12128,11428,19,595,0,84,0,1,1
Vila Isabel,2003,31865,29578,78,2141,0,59,0,6,3
Área de Planejamento 3,2003,822537,766892,3965,49081,105,2192,26,161,115
Região de Planejamento 3.1,2003,95184,87140,656,7097,2,236,4,31,18
Bonsucesso ,2003,31709,28030,275,3297,2,86,4,9,6
Manguinhos,2003,17792,17133,36,586,0,33,0,3,1
Olaria,2003,20952,19301,136,1475,0,34,0,3,3
Ramos ,2003,24731,22676,209,1739,0,83,0,16,8
Maré,2003,...,...,...,...,...,...,...,...,...
Região de Planejamento 3.2,2003,165487,153819,862,10438,4,321,2,20,21
Abolição,2003,5619,5223,17,374,0,4,0,1,0
Água Santa,2003,1272,1196,7,60,2,4,2,0,1
Cachambi,2003,16121,15285,69,741,0,22,0,2,2
Encantado,2003,5727,5294,46,367,0,18,0,1,1
Engenho de Dentro,2003,19224,18177,87,928,0,24,0,4,4
Engenho Novo ,2003,16215,15422,84,685,0,22,0,1,1
Jacaré,2003,10814,10005,128,660,0,17,0,2,2
Lins de Vasconcelos,2003,9825,9480,16,300,0,23,0,3,3
Méier,2003,28719,25031,77,3526,0,79,0,3,3
Piedade,2003,17818,16985,64,738,2,28,0,1,0
Pilares,2003,10639,9863,78,690,0,8,0,0,0
Riachuelo,2003,5685,5293,52,330,0,10,0,0,0
Rocha,2003,2923,2682,30,180,0,28,0,0,3
Sampaio ,2003,2955,2741,21,182,0,8,0,2,1
São Francisco Xavier,2003,3569,3199,38,320,0,12,0,0,0
Todos os Santos,2003,7827,7517,30,272,0,8,0,0,0
Jacarezinho ,2003,535,426,18,85,0,6,0,0,0
Região de Planejamento 3.3,2003,213708,199090,769,13174,72,533,2,35,33
Colégio,2003,9296,8887,43,332,3,26,0,3,2
Irajá,2003,38061,36477,88,1382,3,96,2,9,4
Vicente de Carvalho,2003,7964,7587,45,315,0,8,0,7,2
Vila Cosmos,2003,6348,6109,11,215,0,12,0,1,0
Vila da Penha,2003,14228,13141,45,1016,3,18,0,3,2
Vista Alegre,2003,5088,4686,13,375,2,12,0,0,0
Bento Ribeiro,2003,16712,15896,46,764,0,6,0,0,0
Campinho,2003,4888,4713,11,156,0,8,0,0,0
Cascadura,2003,12301,11061,44,1142,10,29,0,0,15
Cavalcanti,2003,5422,5168,34,204,0,16,0,0,0
Engenheiro Leal,2003,1674,1547,17,46,0,59,0,3,2
Honório Gurgel,2003,7091,6839,27,211,1,12,0,1,0
Madureira,2003,22183,18334,99,3667,17,65,0,1,0
Marechal Hermes,2003,13982,13095,42,779,6,60,0,0,0
Oswaldo Cruz,2003,12818,12160,54,556,0,42,0,3,3
Quintino Bocaiúva,2003,10703,10139,40,507,1,16,0,0,0
Rocha Miranda,2003,14266,13350,59,815,2,34,0,4,2
Turiaçu,2003,4835,4575,29,198,24,8,0,0,1
Vaz Lobo,2003,5848,5326,22,494,0,6,0,0,0
Região de Planejamento 3.4,2003,52413,49502,314,2434,3,141,0,12,7
Del Castilho,2003,7520,6973,32,474,0,29,0,7,5
Engenho da Rainha,2003,8672,8354,37,268,0,11,0,2,0
Higienópolis,2003,7055,6386,70,556,2,41,0,0,0
Inhaúma,2003,19240,18281,111,800,1,44,0,2,1
Maria da Graça ,2003,3657,3381,40,227,0,8,0,0,1
Total ,2004,2267057,2071406,9537,177077,281,7992,75,470,219
