,mean
month,8.36871709962889
day,21.879588923779618
hour,16.992520696545817
minute,2.5985041393091635
time,68.81098030259777
dayofyear,262.9301467313731
weekofyear,37.66981672851841
weekday,4.756510419640309
quarter,2.603217813302883
acumulado_chuva_1_h - A602,0.12987578452783655
pressao_minima - A602,1013.792199158118
temperatura - A602,23.36250066023199
pressao_maxima - A602,1014.2898767490406
pressao - A602,1014.0423623215364
velocidade_vento - A602,3.404075755592451
temperatura_orvalho_maximo - A602,18.979964790027218
temperatura_minima - A602,22.792589556163353
temperatura_orvalho_minimo - A602,18.74308854894462
temperatura_orvalho - A602,18.55174051942082
rajada_vento_max - A602,6.179350469511064
temperatura_maxima - A602,23.961328317866673
radiacao_global - A602,743.0079115220241
acumulado_chuva_1_h - A621,0.12993411156251367
pressao_minima - A621,1012.2233386077769
temperatura - A621,24.14866328459257
pressao_maxima - A621,1012.7287111909295
pressao - A621,1012.4806858919744
velocidade_vento - A621,1.341491572756314
temperatura_orvalho_maximo - A621,18.676770708696857
temperatura_minima - A621,23.536354617128247
temperatura_orvalho_minimo - A621,17.460725301022197
temperatura_orvalho - A621,18.059253892102806
rajada_vento_max - A621,3.925200203016307
temperatura_maxima - A621,24.805754501840692
radiacao_global - A621,688.3543673538754
acumulado_chuva_1_h - A636,0.16838896039574597
pressao_minima - A636,1013.1032647330975
temperatura - A636,23.174223722218596
pressao_maxima - A636,1013.5935700839152
pressao - A636,1013.3485951309784
velocidade_vento - A636,0.7955093034704884
temperatura_orvalho_maximo - A636,18.72189889259933
temperatura_minima - A636,22.587465078621303
temperatura_orvalho_minimo - A636,17.562656812560427
temperatura_orvalho - A636,18.106165143274033
rajada_vento_max - A636,3.423888892184136
temperatura_maxima - A636,23.819653840906806
radiacao_global - A636,695.1453025570456
acumulado_chuva_4_h - 13,0.5484886370763732
acumulado_chuva_24_h - 13,3.175996320377997
acumulado_chuva_15_min - 13,0.032759507432418296
acumulado_chuva_1_h - 13,0.1315540130877464
acumulado_chuva_96_h - 13,11.52361271978424
acumulado_chuva_4_h - 15,0.5436967656958875
acumulado_chuva_24_h - 15,3.0666747506847023
acumulado_chuva_15_min - 15,0.0320060211996404
acumulado_chuva_1_h - 15,0.1276310342664799
acumulado_chuva_96_h - 15,10.88006941105141
acumulado_chuva_4_h - 18,0.5616779912608976
acumulado_chuva_24_h - 18,3.250349773159667
acumulado_chuva_15_min - 18,0.03454496038134266
acumulado_chuva_1_h - 18,0.13740879346030824
acumulado_chuva_96_h - 18,12.073954548305494
acumulado_chuva_4_h - 31,0.6701356860613409
acumulado_chuva_24_h - 31,3.7878505571700356
acumulado_chuva_15_min - 31,0.04047082436077022
acumulado_chuva_1_h - 31,0.16019443457172133
acumulado_chuva_96_h - 31,13.850982835399636
acumulado_chuva_4_h - 1,0.7066705692960635
acumulado_chuva_24_h - 1,3.9469214526144136
acumulado_chuva_15_min - 1,0.04230060002926972
acumulado_chuva_1_h - 1,0.1702494198323263
acumulado_chuva_96_h - 1,14.596352156551182
acumulado_chuva_4_h - 2,0.6465643620246283
acumulado_chuva_24_h - 2,3.5959118563274863
acumulado_chuva_15_min - 2,0.037882544793125805
acumulado_chuva_1_h - 2,0.1514682946206435
acumulado_chuva_96_h - 2,12.725317890071302
acumulado_chuva_4_h - 3,0.9843139386590285
acumulado_chuva_24_h - 3,5.564384185988167
acumulado_chuva_15_min - 3,0.059418368840291835
acumulado_chuva_1_h - 3,0.23731554849365463
acumulado_chuva_96_h - 3,20.529021764127872
acumulado_chuva_4_h - 4,0.8196337103552093
acumulado_chuva_24_h - 4,4.539982438167713
acumulado_chuva_15_min - 4,0.04863289498442435
acumulado_chuva_1_h - 4,0.1940452844389622
acumulado_chuva_96_h - 4,16.240306077648395
acumulado_chuva_4_h - 5,0.7483753214442519
acumulado_chuva_24_h - 5,4.119480253392153
acumulado_chuva_15_min - 5,0.0437289623884092
acumulado_chuva_1_h - 5,0.17466705692960638
acumulado_chuva_96_h - 5,14.449831280968406
acumulado_chuva_4_h - 6,0.6117510056281724
acumulado_chuva_24_h - 6,3.4329866947657157
acumulado_chuva_15_min - 6,0.03690676300626374
acumulado_chuva_1_h - 6,0.14769144567935302
acumulado_chuva_96_h - 6,12.577160323473572
acumulado_chuva_4_h - 7,0.6312087608821096
acumulado_chuva_24_h - 7,3.6176522240899183
acumulado_chuva_15_min - 7,0.03773969910601537
acumulado_chuva_1_h - 7,0.15091280095670573
acumulado_chuva_96_h - 7,13.331294479707637
acumulado_chuva_4_h - 8,0.5750116033534737
acumulado_chuva_24_h - 8,3.223664569003367
acumulado_chuva_15_min - 8,0.03351299366519621
acumulado_chuva_1_h - 8,0.1347163973155485
acumulado_chuva_96_h - 8,11.28525266040852
acumulado_chuva_4_h - 9,0.5473274654512764
acumulado_chuva_24_h - 9,2.8851301457213934
acumulado_chuva_15_min - 9,0.02885910810980326
acumulado_chuva_1_h - 9,0.11549162676925004
acumulado_chuva_96_h - 9,9.900060630135268
acumulado_chuva_4_h - 10,0.5428730321339719
acumulado_chuva_24_h - 10,3.16370554661203
acumulado_chuva_15_min - 10,0.03267671593736279
acumulado_chuva_1_h - 10,0.13100541489828776
acumulado_chuva_96_h - 10,11.595331061445505
acumulado_chuva_4_h - 11,0.5535573163847715
acumulado_chuva_24_h - 11,3.138746001547115
acumulado_chuva_15_min - 11,0.03087453743388179
acumulado_chuva_1_h - 11,0.11494135602433572
