EVENTO_ID,EVENTO_TITULO,EVENTO_DESCRICAO,POP_TITULO,EVENTO_PRAZO,EVENTO_GRAVIDADE,EVENTO_BAIRRO,EVENTO_LATITUDE,EVENTO_LONGITUDE,EVENTO_INICIO,EVENTO_FIM,place_id,types,location_type,route,street_number,postal_code,formatted_address,premise,search_lat,search_lng
1258,Bolsão d'agua,R. Pinheiro Machado com Muniz Barreto - Botafogo,Bolsão d'água em via,,BAIXO,,-22.9447735,-43.18391670000001,2015-09-12 20:12:00,2015-09-13 03:39:00,ChIJi27zffJ_mQARL55umyJIS4Q,['street_address'],ROOFTOP,Rua Muniz Barreto,366,22251-090,"R. Muniz Barreto, 366 - Botafogo, Rio de Janeiro - RJ, 22251-090, Brasil",,-22.9447905,-43.18406829999999
1259,Bolsão,"Av. Novo Rio, 3131 - Bonsucesso",Bolsão d'água em via,,BAIXO,,-22.8716844,-43.2562,2015-09-12 22:13:00,2015-09-13 01:21:00,ChIJ-wBnkRx8mQARRqlXSftw2ds,['premise'],ROOFTOP,Avenida Novo Rio,3131,21051-051,"Av. Novo Rio, 3131 - Bonsucesso, Rio de Janeiro - RJ, 21041, Brasil",,-22.871948100000004,-43.25610810000001
1260,Bolsão,"Av. Ataulfo de Paiva, 752 - Leblon",Bolsão d'água em via,,BAIXO,,-22.984337300000004,-43.2231,2015-09-12 22:15:00,2015-09-13 01:20:00,ChIJg668f63VmwARDiaRGOdZ--I,['street_address'],ROOFTOP,Avenida Ataulfo de Paiva,750,22440-033,"Av. Ataulfo de Paiva, 750 - Leblon, Rio de Janeiro - RJ, 22440-033, Brasil",,-22.984207100000003,-43.2230146
1261,Bolsão,Avenida General San Martin / Praça Antero de Quintal - Leblon,Bolsão d'água em via,,BAIXO,,-22.984337300000004,-43.2231,2015-09-12 22:16:00,2015-09-13 01:20:00,ChIJg668f63VmwARDiaRGOdZ--I,['street_address'],ROOFTOP,Avenida Ataulfo de Paiva,750,22440-033,"Av. Ataulfo de Paiva, 750 - Leblon, Rio de Janeiro - RJ, 22440-033, Brasil",,-22.984207100000003,-43.2230146
1263,Bolsão d'água,"Av. Brasil, 40 - São Cristóvão",Bolsão d'água em via,,BAIXO,,-22.8921787,-43.2164,2015-09-13 06:30:00,2015-09-13 16:14:00,ChIJCeABSN5-mQAR6RjL3C-eriQ,['street_address'],ROOFTOP,Avenida Brasil,35,,"Av. Brasil, 35 - São Cristóvão, Rio de Janeiro - RJ, 20931, Brasil",,-22.8921415,-43.2164788
1269,Bolsão d'água,"Praça Gen. Alcio Souto, 8394 - Lagoa",Bolsão d'água em via,,BAIXO,,-22.9607647,-43.2041,2015-09-13 14:30:00,2015-09-13 16:11:00,ChIJs-cxSnvVmwARLsyDfh_IUiE,['street_address'],ROOFTOP,Rua Professor Abelardo Lóbo,1104,22470-240,"Rua Professor Abelardo Lóbo, 1104 - Lagoa, Rio de Janeiro - RJ, 22470-240, Brasil",,-22.960532699999998,-43.204064200000005
1270,Bolsão D'água ,"Estr. da Gávea, 655 - São Conrado",Bolsão d'água em via,,BAIXO,,-22.995186,-43.2571,2015-09-13 14:33:00,2015-09-14 01:05:00,ChIJk8ueH6LWmwARsdv2ZxLiztA,"['establishment', 'point_of_interest']",ROOFTOP,Estrada da Gávea,655/2503,22610-001,"Estr. da Gávea, 655/2503 - São Conrado, Rio de Janeiro - RJ, 22610-001, Brasil",,-22.995202499999998,-43.25711939999999
1271,Bolsão d'água,"Rua Professor Abelardo Lóbo, 46 - Lagoa",Bolsão d'água em via,,BAIXO,,-22.9615945,-43.2052,2015-09-13 15:35:00,2015-09-13 16:11:00,ChIJRcPlMHvVmwARbPrhDT4nUPY,['street_address'],ROOFTOP,Rua Professor Abelardo Lóbo,30,22470-240,"Rua Professor Abelardo Lóbo, 30 - Lagoa, Rio de Janeiro - RJ, 22470-240, Brasil",,-22.9615617,-43.205177899999995
1473,Balsão d'água,"R. Vinte e Quatro de Maio, 1299 - Engenho Novo",Bolsão d'água em via,,BAIXO,,-22.903851100000004,-43.2762,2015-09-27 22:22:00,2015-09-28 04:21:00,ChIJ92uggLl9mQARa25blUBgYAc,['street_address'],ROOFTOP,Rua Maria Calmon,6,20710-030,"Rua Maria Calmon, 6 - Méier, Rio de Janeiro - RJ, 20710-030, Brasil",,-22.9038611,-43.2763304
1990,"Bolsão de Agua , ","Rua Tonelero, com Siqueira Campos - Copacabana",Bolsão d'água em via,,BAIXO,,-22.9667614,-43.1854,2015-11-04 22:12:00,2015-11-04 22:37:00,ChIJI5IoFFrVmwARGjWWFovFvsg,['street_address'],ROOFTOP,Rua Tonelero,196,22030-002,"R. Tonelero, 196 - Copacabana, Rio de Janeiro - RJ, 22030-002, Brasil",,-22.9666595,-43.185441
