oid_;name;popupinfo;x;y
;Bolsão d'água em via;Praia de Botafogo, Alt. R. Farani ;-43,182220400126830;-22,945710799685560
;Bolsão d'água em via;Av. Brasil, 1587 - Caju - Alt. Sabão Português;-43,223510100195831;-22,888126400124719
;Bolsão d'água em via;Av. Brasil - Manguinhos;-43,247619999826476;-22,862865099832518
;Bolsão d'água em via;Av. Brasil - Benfica;-43,232281700246332;-22,886973099857940
;Bolsão d'água em via;Av. Brasil, 3000 - Alt. Viaduto de Benfica;-43,234304499913044;-22,885832999784530
;Bolsão d'água em via;Av. Brasil, 7901 (Alt. Borgauto) - Ramos;;
;Bolsão d'água em via;Rua Tonelero, 254 - Copacabana ( esq Com Siqueira Campos );-43,187942500035646;-22,967962499592165
;Bolsão d'água em via;Av. Pres. Vargas, 3250- Cidade Nova;-43,207119600007125;-22,910010400031478
;Bolsão d'água em via;R. Silveira Martins, 76 - Flamengo ( esq Rua do Catete );-43,175775999650362;-22,925533999645065
;Bolsão d'água em via;Av. Armando Lombardi, Alt. Barra Point - Barra da Tijuca;;
;Bolsão d'água em via;Av. Armando Lombardi, Alt. Estação BRT Jd Oceânico - Barra da Tijuca;;
;Bolsão d'água em via;Estrada da Barra da Tijuca, 1006 - Barra da Tijuca;;
;Bolsão d'água em via;Av. Borges de Medeiros, Alt. do Maconhão - Lagoa;;
;Bolsão d'água em via;Av. Armando Lombardi, 350 - Barra da Tijuca;-43,308572799723457;-23,006276800401523
;Bolsão d'água em via;Autoestrada Eng. Fernando Mac Dowell, Alt. Rocinha - Gávea;-43,262657899972652;-22,997112800152888
;Bolsão d'água em via;Estr. do Itanhangá, Alt. Hotel Serramar - Itanhangá;-43,314307700389129;-22,996416300287269
;Bolsão d'água em via;Rua Mario Ribeiro, Alt. R. Raul Machado - Gávea;-43,222537400253948;-22,977616600270476
;Bolsão d'água em via;Av. Brasil, 870 - Benfica;-43,234828000026809;-22,885269300361827
;Bolsão d'água em via;Túnel U - Barra da Tijuca;-43,656529700016137;-22,921532899765385
;Bolsão d'água em via;Av. Brasil, 5493 - Bonsucesso - Alt. Passarela 11;-43,248202099529600;-22,865317799614527
;Bolsão d'água em via;Av. Brasil, 4327 - Manguinhos - Alt. do Canal do Cunha;-43,242977000183650;-22,875703999759292
;Bolsão d'água em via;Av. Brasil, 2996 - Benfica;-43,229561000421270;-22,886304000080202
;Bolsão d'água em via;Av. Brasil, 19000 - J. América;-43,365513999961216;-22,837953999556962
;Bolsão d'água em via;Av. Brasil, 17241 - Irajá - Alt. da Passarela 26;-43,328008500020609;-22,823075800122606
;Bolsão d'água em via;Av. Brasil, 3938 - Manguinhos;-43,240511099864563;-22,878372499644417
;Bolsão d'água em via;Av. Brasil, 13589 - Cordovil - Alt. do Trevo das Missões;-43,290827299918739;-22,815474799650765
;Bolsão d'água em via;Av. Brasil, 13350 - Alt. do Viaduto de Parada de Lucas;-43,291640600146422;-22,814702399795955
;Bolsão d'água em via;R. Mercúrio, 940 - Pavuna;-43,356095300117019;-22,805521299946545
;Bolsão d'água em via;Av. Brasil, 2021 - São Cristóvão - Alt. da Linha Vermelha;-43,229561000421270;-22,886304000080202
;Bolsão d'água em via;Av. Brasil, 12277 - Alt. do Viaduto de Parada de Lucas;-43,273827000386397;-22,827906800255096
;Bolsão d'água em via;Mergulhão Billy Blanco - Barra;-43,364489599853108;-22,997832500332489
;Bolsão d'água em via;Av. Armando Lombardi, Alt. Barra Point - Barra da Tijuca;-43,366458000324016;-22,972904999845067
;Bolsão d'água em via;Av. Armando Lombardi, Alt. Est. BRT Jardim Oceânico - Barra da Tijuca;-43,381954899651120;-22,973049800294341
;Bolsão d'água em via;Av. Eng. Souza Filho - Rio das Pedras;-43,333674800433521;-22,978604599771970
;Bolsão d'água em via;R. Santo Sepulcro, 146 - Madureira;-43,331100100354625;-22,877562199726949
;Bolsão d'água em via;R. São Clemente - Alt. Guilhermina Guinle -  Botafogo;-43,189168599578558;-22,949373700011847
;Bolsão d'água em via;AV. EPITÁCIO PESSOA- ALT. VINICIUS DE MORAES - LAGOA;-43,206492700441530;-22,974258800215694
;Bolsão d'água em via;Av Brasil - Alt. L. Vermelha;-43,250415600393275;-22,827738199872243
;Bolsão d'água em via;Rua do Catete  - Alt. R. Silveira Martins - Catete;-43,176611500097131;-22,926965600347341
;Bolsão d'água em via;PASSARELA DA ROCINHA;-43,251236699704506;-22,992455799756108
;Bolsão d'água em via;AV. BRASIL, ALT. PASSARELA 5 - Benfica;-43,533606199703371;-22,860856999744218
;Bolsão d'água em via;AV. BRASIL, ALT. PARADA DE LUCAS;;
;Bolsão d'água em via;Estrada do Galeão - Alt. da Base Aérea - Galeão;-43,218170599691454;-22,811956999898534
;Bolsão d'água em via;R. Teixeira de Freitas - Glória;-43,176133899531735;-22,915081600258631
;Bolsão d'água em via;AV. MAL. FLORIANO - ALT. RUA DA CONCEIÇÃO - CENTRO;-43,185497200113261;-22,902255000337888
;Bolsão d'água em via;R. ALEXANDRE CALAZA - ALT. JERÔNIMO DE LEMOS - VILA ISABEL ;-43,259906599776798;-22,918490599719632
;Bolsão d'água em via;Av. Vicente de Carvalho, 1393 - Penha Circular;-43,300656599973877;-22,842971700277076
