objectid;target_fid;join_count_pds;join_count_pdmap;join_count_cetrio;join_count_comando;id_unico;nome_1km;nome_5km;nome_10km;nome_50km;nome_100km;nome_500km;quadrante;masc;fem;pop;dom_ocu;peso_cetrio;peso_pdmap;peso_pds;peso_comando;soma_peso;soma_count;st_area_shape_;st_length_shape_
2723;2723;1;0;0;0;200ME60604N87606;1KME6060N8760;5KME6060N8760;10KME6060N8760;50KME6050N8750;100KME6000N8750;500KME5800N8350;ID_26;37;43;80;25;0;0;2;0;2;1;;
2724;2724;1;0;1;0;200ME60606N87606;1KME6060N8760;5KME6060N8760;10KME6060N8760;50KME6050N8750;100KME6000N8750;500KME5800N8350;ID_26;137;146;283;90;1;0;2;0;2;1;;
2729;2729;1;0;1;0;200ME60606N87608;1KME6060N8760;5KME6060N8760;10KME6060N8760;50KME6050N8750;100KME6000N8750;500KME5800N8350;ID_26;194;199;393;114;1;0;2;0;2;1;;
2744;2744;1;0;0;0;200ME60606N87614;1KME6060N8761;5KME6060N8760;10KME6060N8760;50KME6050N8750;100KME6000N8750;500KME5800N8350;ID_26;200;234;434;108;0;0;2;0;2;1;;
2745;2745;1;0;6;0;200ME60608N87614;1KME6060N8761;5KME6060N8760;10KME6060N8760;50KME6050N8750;100KME6000N8750;500KME5800N8350;ID_26;120;128;248;67;1;0;2;0;2;1;;
2749;2749;1;0;1;0;200ME60606N87616;1KME6060N8761;5KME6060N8760;10KME6060N8760;50KME6050N8750;100KME6000N8750;500KME5800N8350;ID_26;125;145;270;73;1;0;2;0;2;1;;
2750;2750;1;0;6;0;200ME60608N87616;1KME6060N8761;5KME6060N8760;10KME6060N8760;50KME6050N8750;100KME6000N8750;500KME5800N8350;ID_26;62;70;132;38;1;0;2;0;2;1;;
3036;3036;1;0;0;0;200ME60610N87592;1KME6061N8759;5KME6060N8755;10KME6060N8750;50KME6050N8750;100KME6000N8750;500KME5800N8350;ID_26;208;228;436;140;0;0;2;0;2;1;;
3037;3037;1;0;0;0;200ME60612N87592;1KME6061N8759;5KME6060N8755;10KME6060N8750;50KME6050N8750;100KME6000N8750;500KME5800N8350;ID_26;181;182;363;106;0;0;2;0;2;1;;
3042;3042;1;0;0;0;200ME60612N87594;1KME6061N8759;5KME6060N8755;10KME6060N8750;50KME6050N8750;100KME6000N8750;500KME5800N8350;ID_26;267;303;570;173;0;0;2;0;2;1;;
3055;3055;0;0;3;1;200ME60618N87598;1KME6061N8759;5KME6060N8755;10KME6060N8750;50KME6050N8750;100KME6000N8750;500KME5800N8350;ID_26;62;71;133;43;1;0;0;2;2;1;;
3086;3086;0;0;6;1;200ME60610N87612;1KME6061N8761;5KME6060N8760;10KME6060N8760;50KME6050N8750;100KME6000N8750;500KME5800N8350;ID_26;37;40;77;18;1;0;0;2;2;1;;
3093;3093;1;0;1;0;200ME60614N87614;1KME6061N8761;5KME6060N8760;10KME6060N8760;50KME6050N8750;100KME6000N8750;500KME5800N8350;ID_26;27;35;62;18;1;0;2;0;2;1;;
3094;3094;1;0;1;0;200ME60616N87614;1KME6061N8761;5KME6060N8760;10KME6060N8760;50KME6050N8750;100KME6000N8750;500KME5800N8350;ID_26;184;210;394;124;1;0;2;0;2;1;;
3098;3098;1;0;0;0;200ME60614N87616;1KME6061N8761;5KME6060N8760;10KME6060N8760;50KME6050N8750;100KME6000N8750;500KME5800N8350;ID_26;30;30;60;17;0;0;2;0;2;1;;
3099;3099;1;0;1;0;200ME60616N87616;1KME6061N8761;5KME6060N8760;10KME6060N8760;50KME6050N8750;100KME6000N8750;500KME5800N8350;ID_26;233;261;494;140;1;0;2;0;2;1;;
3105;3105;1;0;0;0;200ME60618N87618;1KME6061N8761;5KME6060N8760;10KME6060N8760;50KME6050N8750;100KME6000N8750;500KME5800N8350;ID_26;200;209;409;108;0;0;2;0;2;1;;
3455;3455;0;0;12;1;200ME60628N87588;1KME6062N8758;5KME6060N8755;10KME6060N8750;50KME6050N8750;100KME6000N8750;500KME5800N8350;ID_26;335;337;672;210;1;0;0;2;2;1;;
3464;3464;1;0;3;0;200ME60626N87592;1KME6062N8759;5KME6060N8755;10KME6060N8750;50KME6050N8750;100KME6000N8750;500KME5800N8350;ID_26;35;34;69;21;1;0;2;0;2;1;;
3465;3465;1;0;0;0;200ME60628N87592;1KME6062N8759;5KME6060N8755;10KME6060N8750;50KME6050N8750;100KME6000N8750;500KME5800N8350;ID_26;145;144;289;81;0;0;2;0;2;1;;
3469;3469;1;0;0;0;200ME60626N87594;1KME6062N8759;5KME6060N8755;10KME6060N8750;50KME6050N8750;100KME6000N8750;500KME5800N8350;ID_26;273;288;561;166;0;0;2;0;2;1;;
3470;3470;1;0;0;0;200ME60628N87594;1KME6062N8759;5KME6060N8755;10KME6060N8750;50KME6050N8750;100KME6000N8750;500KME5800N8350;ID_26;247;243;490;129;0;0;2;0;2;1;;
