train size,mae,mse,mape,wape,r2,mpe,model,key
1,132.5,19812.5,0.3087138863000932,0.3136094674556213,-0.12851548593805617,0.3087138863000932,AdaBoostRegressor,11645a57d3a1d507-Others-temporary
2,340.0,121225.0,1.939039408866995,1.5813953488372092,-20.551111111111112,1.939039408866995,AdaBoostRegressor,11645a57d3a1d507-Others-temporary
3,155.0,24050.0,1.151098901098901,1.1481481481481481,-961.0,1.151098901098901,AdaBoostRegressor,11645a57d3a1d507-Others-temporary
4,35.0,1850.0,0.41346153846153844,0.3333333333333333,-1.96,0.41346153846153844,AdaBoostRegressor,11645a57d3a1d507-Others-temporary
5,26.0,1252.0,0.3203125,0.25,-1.1736111111111112,0.3203125,AdaBoostRegressor,11645a57d3a1d507-Others-temporary
6,49.0,2402.0,0.3798076923076923,0.3798449612403101,-2401.0,0.3798076923076923,AdaBoostRegressor,11645a57d3a1d507-Others-temporary
7,44.5,3786.5,1.0686679174484053,0.52046783625731,-0.9121323065269538,1.0686679174484053,AdaBoostRegressor,11645a57d3a1d507-Others-temporary
8,73.5,5584.5,1.502152080344333,1.348623853211009,-29.641975308641975,1.502152080344333,AdaBoostRegressor,11645a57d3a1d507-Others-temporary
9,43.0,2105.0,0.4935294117647059,0.5119047619047619,-7.22265625,0.4935294117647059,AdaBoostRegressor,11645a57d3a1d507-Others-temporary
10,17.5,516.5,0.18307692307692308,0.21212121212121213,-0.686530612244898,0.18307692307692308,AdaBoostRegressor,11645a57d3a1d507-Others-temporary
11,12.5,246.5,0.14529914529914528,0.16129032258064516,-0.5775999999999999,0.14529914529914528,AdaBoostRegressor,11645a57d3a1d507-Others-temporary
12,5.0,50.0,0.05555555555555555,0.058823529411764705,-1.0,0.05555555555555555,AdaBoostRegressor,11645a57d3a1d507-Others-temporary
13,60.0,6906.25,0.309375,0.42857142857142855,-0.9184027777777777,0.309375,AdaBoostRegressor,11645a57d3a1d507-Others-temporary
