train size,mae,mse,mape,wape,r2,mpe,model,key
1,11.5,204.5,0.022732785175483276,0.023115577889447236,-0.5463137996219283,0.022732785175483276,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
2,85.0,11069.0,0.2267012254734784,0.20047169811320756,-1.8795525494276797,0.2267012254734784,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
3,83.5,8612.5,0.21980344960901937,0.20745341614906831,-4.250723975003811,0.21980344960901937,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
4,138.0,22293.0,0.6752544572255038,0.4524590163934426,-0.17060491493383734,0.6752544572255038,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
5,277.0,76730.0,1.668771547813464,1.6686746987951808,-76729.0,1.668771547813464,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
6,14.0,340.0,0.09825918762088974,0.0915032679738562,-1.3611111111111112,0.09825918762088974,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
7,34.0,1220.0,0.1926770504598052,0.19428571428571428,-0.05536332179930792,0.1926770504598052,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
8,38.5,2352.5,0.19267942583732056,0.21448467966573817,-1.703246193622522,0.19267942583732056,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
9,58.0,3365.0,0.38416666666666666,0.3841059602649007,-3364.0,0.38416666666666666,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
10,7.0,74.0,0.04361598440545809,0.044585987261146494,-1.96,0.04361598440545809,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
11,9.5,96.5,0.05933003066761028,0.05956112852664577,-14.44,0.05933003066761028,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
12,59.5,6732.5,0.22436895494220335,0.2786885245901639,-1.1090140183256323,0.22436895494220335,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
13,194.0,44036.0,0.5297157622739018,0.5542857142857143,-5.880625,0.5297157622739018,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
14,152.5,23312.5,0.3607453068086299,0.3609467455621302,-413.44444444444446,0.3607453068086299,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
15,15.0,225.0,0.03614457831325301,0.03614457831325301,0.0,0.03614457831325301,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
16,2.5,12.5,0.006097560975609756,0.006060606060606061,-1.0,0.006097560975609756,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
17,5.0,25.0,0.012195121951219513,0.012195121951219513,0.0,0.012195121951219513,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
18,10.0,125.0,0.023539421440726037,0.023809523809523808,-0.25,0.023539421440726037,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
19,12.5,162.5,0.02920656634746922,0.029239766081871343,-25.0,0.02920656634746922,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
20,8.75,76.5625,0.020588235294117647,0.020588235294117647,0.0,0.020588235294117647,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
21,5.0,27.777777777777843,0.011953697141507206,0.011904761904761904,-0.1111111111111136,0.011953697141507206,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
22,10.0,100.0,0.024096385542168676,0.024096385542168676,0.0,0.024096385542168676,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
23,12.5,212.5,0.03102409638554217,0.03067484662576687,-2.7777777777777777,0.03102409638554217,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
24,17.0,289.0,0.0425,0.0425,0.0,0.0425,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
25,15.0,225.0,0.0375,0.0375,0.0,0.0375,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
26,50.0,3725.0,0.14753787878787877,0.136986301369863,-2.0408163265306123,0.14753787878787877,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
27,82.5,6806.25,0.20833333333333331,0.2,0.0,0.20833333333333331,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
28,145.0,21425.0,0.30402930402930406,0.30526315789473685,-52.5625,0.30402930402930406,AdaBoostRegressor,11b6622567f98f3b-Others-permanent
