train size,mae,mse,mape,wape,r2,mpe,model,key
1,749.0,561001.0,0.8970059880239521,0.8970059880239521,0.0,0.8970059880239521,AdaBoostRegressor,3a8618990d23351f-Others-permanent
2,3.0,18.0,0.0035671819262782403,0.003579952267303103,-1.0,0.0035671819262782403,AdaBoostRegressor,3a8618990d23351f-Others-permanent
3,6.0,36.0,0.007134363852556481,0.007134363852556481,0.0,0.007134363852556481,AdaBoostRegressor,3a8618990d23351f-Others-permanent
4,6.0,36.0,0.007134363852556481,0.007134363852556481,0.0,0.007134363852556481,AdaBoostRegressor,3a8618990d23351f-Others-permanent
5,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,3a8618990d23351f-Others-permanent
6,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,3a8618990d23351f-Others-permanent
7,222.5,99012.5,0.5618686868686869,0.3597413096200485,-1.0,0.5618686868686869,AdaBoostRegressor,3a8618990d23351f-Others-permanent
8,430.5,185540.5,1.0512804515745693,1.048721071863581,-881.4756242568371,1.0512804515745693,AdaBoostRegressor,3a8618990d23351f-Others-permanent
9,31.5,998.5,0.07365253077975376,0.07368421052631578,-158.76,0.07365253077975376,AdaBoostRegressor,3a8618990d23351f-Others-permanent
10,5.0,25.0,0.011627906976744186,0.011627906976744186,0.0,0.011627906976744186,AdaBoostRegressor,3a8618990d23351f-Others-permanent
11,5.0,50.0,0.011904761904761904,0.011764705882352941,-1.0,0.011904761904761904,AdaBoostRegressor,3a8618990d23351f-Others-permanent
12,15.0,325.0,0.03720238095238095,0.036585365853658534,-2.25,0.03720238095238095,AdaBoostRegressor,3a8618990d23351f-Others-permanent
13,25.0,625.0,0.0625,0.0625,0.0,0.0625,AdaBoostRegressor,3a8618990d23351f-Others-permanent
14,22.5,1012.5,0.06338028169014084,0.059602649006622516,-1.0,0.06338028169014084,AdaBoostRegressor,3a8618990d23351f-Others-permanent
15,45.0,2025.0,0.1267605633802817,0.1267605633802817,0.0,0.1267605633802817,AdaBoostRegressor,3a8618990d23351f-Others-permanent
16,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,3a8618990d23351f-Others-permanent
17,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,3a8618990d23351f-Others-permanent
18,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,3a8618990d23351f-Others-permanent
19,2.5,12.5,0.007142857142857143,0.0070921985815602835,-1.0,0.007142857142857143,AdaBoostRegressor,3a8618990d23351f-Others-permanent
20,5.0,25.0,0.014285714285714285,0.014285714285714285,0.0,0.014285714285714285,AdaBoostRegressor,3a8618990d23351f-Others-permanent
21,5.0,25.0,0.014285714285714285,0.014285714285714285,0.0,0.014285714285714285,AdaBoostRegressor,3a8618990d23351f-Others-permanent
22,5.0,25.0,0.014285714285714285,0.014285714285714285,0.0,0.014285714285714285,AdaBoostRegressor,3a8618990d23351f-Others-permanent
23,5.0,25.0,0.014285714285714285,0.014285714285714285,0.0,0.014285714285714285,AdaBoostRegressor,3a8618990d23351f-Others-permanent
24,4.166666666666686,17.36111111111127,0.01190476190476196,0.01190476190476196,0.0,0.01190476190476196,AdaBoostRegressor,3a8618990d23351f-Others-permanent
25,30.0,1525.0,0.0988095238095238,0.09230769230769231,-1.44,0.0988095238095238,AdaBoostRegressor,3a8618990d23351f-Others-permanent
26,53.333333333333314,2844.4444444444425,0.1777777777777777,0.1777777777777777,0.0,0.1777777777777777,AdaBoostRegressor,3a8618990d23351f-Others-permanent
27,72.5,6662.5,0.30277777777777776,0.2761904761904762,-3.7377777777777776,0.30277777777777776,AdaBoostRegressor,3a8618990d23351f-Others-permanent
28,180.83333333333331,40356.94444444444,2.8907407407407404,1.315151515151515,-4.27111111111111,2.8907407407407404,AdaBoostRegressor,3a8618990d23351f-Others-permanent
1,749.0,561001.0,0.8970059880239521,0.8970059880239521,0.0,0.8970059880239521,BaggingRegressor,3a8618990d23351f-Others-permanent
2,227.70000000000005,51856.29000000002,0.2717090432689912,0.27171837708830554,-5760.810000000002,0.2717090432689912,BaggingRegressor,3a8618990d23351f-Others-permanent
3,6.0,36.0,0.007134363852556481,0.007134363852556481,0.0,0.007134363852556481,BaggingRegressor,3a8618990d23351f-Others-permanent
4,1.7999999999999545,3.2399999999998363,0.0021403091557668902,0.0021403091557668902,0.0,0.0021403091557668902,BaggingRegressor,3a8618990d23351f-Others-permanent
5,0.0,0.0,0.0,0.0,1.0,0.0,BaggingRegressor,3a8618990d23351f-Others-permanent
6,0.0,0.0,0.0,0.0,1.0,0.0,BaggingRegressor,3a8618990d23351f-Others-permanent
7,222.5,99012.5,0.5618686868686869,0.3597413096200485,-1.0,0.5618686868686869,BaggingRegressor,3a8618990d23351f-Others-permanent
8,430.5,185540.5,1.0512804515745693,1.048721071863581,-881.4756242568371,1.0512804515745693,BaggingRegressor,3a8618990d23351f-Others-permanent
9,146.5,21468.5,0.3427359781121751,0.34269005847953216,-3433.96,0.3427359781121751,BaggingRegressor,3a8618990d23351f-Others-permanent
10,13.699999999999989,187.68999999999969,0.031860465116279046,0.031860465116279046,0.0,0.031860465116279046,BaggingRegressor,3a8618990d23351f-Others-permanent
11,5.0,25.010000000000005,0.011769102990033222,0.011764705882352941,-0.000400000000000178,0.011769102990033222,BaggingRegressor,3a8618990d23351f-Others-permanent
12,19.5,480.25,0.04818452380952381,0.0475609756097561,-3.8025,0.04818452380952381,BaggingRegressor,3a8618990d23351f-Others-permanent
13,24.0,576.0,0.06,0.06,0.0,0.06,BaggingRegressor,3a8618990d23351f-Others-permanent
14,28.5,1318.5,0.07933098591549295,0.07549668874172186,-1.6044444444444443,0.07933098591549295,BaggingRegressor,3a8618990d23351f-Others-permanent
15,49.0,2401.0,0.13802816901408452,0.13802816901408452,0.0,0.13802816901408452,BaggingRegressor,3a8618990d23351f-Others-permanent
16,18.0,324.0,0.05070422535211268,0.05070422535211268,0.0,0.05070422535211268,BaggingRegressor,3a8618990d23351f-Others-permanent
17,13.5,182.25,0.038028169014084505,0.038028169014084505,0.0,0.038028169014084505,BaggingRegressor,3a8618990d23351f-Others-permanent
18,0.0,0.0,0.0,0.0,1.0,0.0,BaggingRegressor,3a8618990d23351f-Others-permanent
19,7.0,55.25,0.019909456740442658,0.019858156028368795,-7.84,0.019909456740442658,BaggingRegressor,3a8618990d23351f-Others-permanent
20,5.0,25.0,0.014285714285714285,0.014285714285714285,0.0,0.014285714285714285,BaggingRegressor,3a8618990d23351f-Others-permanent
21,1.5,2.25,0.004285714285714286,0.004285714285714286,0.0,0.004285714285714286,BaggingRegressor,3a8618990d23351f-Others-permanent
22,0.0,0.0,0.0,0.0,1.0,0.0,BaggingRegressor,3a8618990d23351f-Others-permanent
