train size,mae,mse,mape,wape,r2,mpe,model,key
1,19.0,362.0,4.503599627370497e+16,19.0,-361.0,inf,AdaBoostRegressor,3fdbc27a4bed0deb-Others-temporary
2,1.0,2.0,0.5,1.0,-1.0,,AdaBoostRegressor,3fdbc27a4bed0deb-Others-temporary
3,2.0,4.0,9007199254740992.0,inf,0.0,inf,AdaBoostRegressor,3fdbc27a4bed0deb-Others-temporary
4,0.0,0.0,0.0,,1.0,,AdaBoostRegressor,3fdbc27a4bed0deb-Others-temporary
5,0.0,0.0,0.0,,1.0,,AdaBoostRegressor,3fdbc27a4bed0deb-Others-temporary
6,0.0,0.0,0.0,,1.0,,AdaBoostRegressor,3fdbc27a4bed0deb-Others-temporary
7,25.0,1250.0,0.5,1.0,-1.0,,AdaBoostRegressor,3fdbc27a4bed0deb-Others-temporary
8,50.0,2500.0,1.0,1.0,0.0,1.0,AdaBoostRegressor,3fdbc27a4bed0deb-Others-temporary
9,15.0,450.0,0.1875,0.23076923076923078,-1.0,0.1875,AdaBoostRegressor,3fdbc27a4bed0deb-Others-temporary
10,30.0,900.0,0.375,0.375,0.0,0.375,AdaBoostRegressor,3fdbc27a4bed0deb-Others-temporary
11,36.5,2664.5,5.214285714285714,0.8390804597701149,-1.0,5.214285714285714,AdaBoostRegressor,3fdbc27a4bed0deb-Others-temporary
12,73.0,5329.0,10.428571428571429,10.428571428571429,0.0,10.428571428571429,AdaBoostRegressor,3fdbc27a4bed0deb-Others-temporary
13,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,3fdbc27a4bed0deb-Others-temporary
14,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,3fdbc27a4bed0deb-Others-temporary
15,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,3fdbc27a4bed0deb-Others-temporary
16,2.5,12.5,1.25,0.5555555555555556,-1.0,1.25,AdaBoostRegressor,3fdbc27a4bed0deb-Others-temporary
17,5.0,25.0,2.5,2.5,0.0,2.5,AdaBoostRegressor,3fdbc27a4bed0deb-Others-temporary
18,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,3fdbc27a4bed0deb-Others-temporary
19,1.0,2.0,4503599627370496.0,1.0,-1.0,inf,AdaBoostRegressor,3fdbc27a4bed0deb-Others-temporary
20,2.0,4.0,9007199254740992.0,inf,0.0,inf,AdaBoostRegressor,3fdbc27a4bed0deb-Others-temporary
21,2.0,4.0,9007199254740992.0,inf,0.0,inf,AdaBoostRegressor,3fdbc27a4bed0deb-Others-temporary
22,2.0,4.0,9007199254740992.0,inf,0.0,inf,AdaBoostRegressor,3fdbc27a4bed0deb-Others-temporary
1,19.0,362.0,4.503599627370497e+16,19.0,-361.0,inf,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
2,3.0,10.0,9007199254740992.0,3.0,-9.0,inf,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
3,1.6,2.5600000000000005,7205759403792794.0,inf,0.0,inf,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
4,0.4,0.16000000000000003,1801439850948198.5,inf,0.0,inf,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
5,0.0,0.0,0.0,,1.0,,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
6,0.0,0.0,0.0,,1.0,,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
7,25.0,1250.0,0.5,1.0,-1.0,,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
8,50.0,2500.0,1.0,1.0,0.0,1.0,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
9,25.0,850.0,0.35,0.38461538461538464,-2.7777777777777777,0.35,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
10,30.0,900.0,0.375,0.375,0.0,0.375,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
11,36.5,1794.5,4.236607142857143,0.8390804597701149,-0.34696941264777625,4.236607142857143,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
12,62.0,3844.0,8.857142857142858,8.857142857142858,0.0,8.857142857142858,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
13,36.5,1332.25,5.214285714285714,5.214285714285714,0.0,5.214285714285714,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
14,14.600000000000001,213.16000000000005,2.085714285714286,2.085714285714286,0.0,2.085714285714286,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
15,7.300000000000001,53.29000000000001,1.042857142857143,1.042857142857143,0.0,1.042857142857143,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
16,2.5,12.5,1.25,0.5555555555555556,-1.0,1.25,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
17,5.0,25.0,2.5,2.5,0.0,2.5,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
18,2.0,4.0,1.0,1.0,0.0,1.0,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
19,1.5,3.25,5629499534213120.0,1.5,-2.25,inf,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
20,2.0,4.0,9007199254740992.0,inf,0.0,inf,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
21,1.2,1.44,5404319552844595.0,inf,0.0,inf,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
22,0.4,0.16000000000000003,1801439850948198.5,inf,0.0,inf,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
1,19.0,362.0,4.503599627370497e+16,19.0,-361.0,inf,BayesianRidge,3fdbc27a4bed0deb-Others-temporary
2,30.999999599999995,1041.9999734,9.007199142151002e+16,30.999999599999995,-1040.9999734,inf,BayesianRidge,3fdbc27a4bed0deb-Others-temporary
