train size,mae,mse,mape,wape,r2,mpe,model,key
1,124.0,20852.0,3.1830357142857144,0.7948717948717948,-0.3561394380853278,3.1830357142857144,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
2,247.5,61256.5,7.617424242424242,7.615384615384615,-245025.0,7.617424242424242,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
3,16.5,512.5,7.205759403792794e+16,1.0,-0.8824609733700643,inf,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
4,32.0,1024.0,1.4411518807585587e+17,inf,0.0,inf,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
5,0.5,0.5,0.5,1.0,-1.0,,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
6,0.5,0.5,0.5,1.0,-1.0,,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
7,1.0,1.0,4503599627370496.0,inf,0.0,inf,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
8,28.5,1568.5,2251799813685248.5,1.0,-0.9310557094490612,inf,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
9,52.5,2768.5,0.9812280701754386,0.9813084112149533,-225.0,0.9812280701754386,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
10,17.0,389.0,0.52,0.425,-2.89,0.52,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
11,17.5,312.5,0.5476190476190476,0.5384615384615384,-49.0,0.5476190476190476,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
12,51.0,4717.0,0.45331833520809894,0.6296296296296297,-1.2292060491493384,0.45331833520809894,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
13,72.5,5856.5,0.6895820714718353,0.7073170731707317,-8.75676801332778,0.6895820714718353,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
14,40.0,1681.0,0.47556089743589747,0.45977011494252873,-19.753086419753085,0.47556089743589747,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
15,33.0,1314.0,0.28422619047619047,0.2972972972972973,-4.84,0.28422619047619047,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
16,59.0,3881.0,0.3927137119908204,0.4041095890410959,-8.7025,0.3927137119908204,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
17,46.0,2152.0,0.2665493434411804,0.26744186046511625,-58.77777777777778,0.2665493434411804,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
18,23.0,650.0,0.1624957439564181,0.14838709677419354,-0.22873345935727785,0.1624957439564181,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
19,31.5,1064.5,0.2286963595688428,0.22419928825622776,-13.73356401384083,0.2286963595688428,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
20,23.5,1028.9444444444448,0.2278150633855332,0.18725099601593626,-0.8631859564408235,0.2278150633855332,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
21,43.0,1865.0,0.40766488413547236,0.4056603773584906,-115.5625,0.40766488413547236,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
22,10.5,210.25,0.08111888111888112,0.0875,-1.1025,0.08111888111888112,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
23,20.0,400.0,0.15384615384615385,0.15384615384615385,0.0,0.15384615384615385,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
24,8.5,95.61111111111107,0.06750624007261176,0.06995884773662552,-0.32333717800845774,0.06750624007261176,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
25,17.0,289.0,0.1504424778761062,0.1504424778761062,0.0,0.1504424778761062,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
26,5.357142857142861,48.948979591836775,0.047128556921100115,0.045592705167173286,-1.417233560090705,0.047128556921100115,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
27,7.111111111111114,86.56790123456796,0.05347579044667376,0.05555555555555558,-1.4046639231824432,0.05347579044667376,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
28,65.5,6406.25,18.656094527363184,0.9562043795620438,-0.49321135131985305,18.656094527363184,AdaBoostRegressor,41e0f8ccfe523e0d-Others-temporary
1,124.0,20852.0,3.1830357142857144,0.7948717948717948,-0.3561394380853278,3.1830357142857144,BaggingRegressor,41e0f8ccfe523e0d-Others-temporary
2,242.5,58806.5,7.463541666666666,7.461538461538462,-235225.0,7.463541666666666,BaggingRegressor,41e0f8ccfe523e0d-Others-temporary
3,65.1,4510.259999999999,1.8374686479671622e+17,3.9454545454545453,-15.566611570247932,inf,BaggingRegressor,41e0f8ccfe523e0d-Others-temporary
4,32.7,1069.2900000000002,1.4726770781501523e+17,inf,0.0,inf,BaggingRegressor,41e0f8ccfe523e0d-Others-temporary
5,6.0,36.25,1.4636698788954114e+16,12.0,-144.0,inf,BaggingRegressor,41e0f8ccfe523e0d-Others-temporary
6,0.5,0.5,0.5,1.0,-1.0,,BaggingRegressor,41e0f8ccfe523e0d-Others-temporary
7,0.8,0.6400000000000001,3602879701896397.0,inf,0.0,inf,BaggingRegressor,41e0f8ccfe523e0d-Others-temporary
8,28.5,1601.86,900719925474099.8,1.0,-0.9721268082486918,inf,BaggingRegressor,41e0f8ccfe523e0d-Others-temporary
9,53.4,2863.8099999999995,0.9981228070175439,0.9981308411214953,-232.78040816326526,0.9981228070175439,BaggingRegressor,41e0f8ccfe523e0d-Others-temporary
10,10.0,133.63999999999996,0.22800000000000004,0.25,-0.3363999999999996,0.22800000000000004,BaggingRegressor,41e0f8ccfe523e0d-Others-temporary
11,8.200000000000003,73.49000000000005,0.25976190476190486,0.2523076923076924,-10.758400000000009,0.25976190476190486,BaggingRegressor,41e0f8ccfe523e0d-Others-temporary
12,46.0,3965.0,0.39325084364454443,0.5679012345679012,-0.8738185255198487,0.39325084364454443,BaggingRegressor,41e0f8ccfe523e0d-Others-temporary
13,66.5,5022.5,0.6274984857662023,0.6487804878048781,-7.36734693877551,0.6274984857662023,BaggingRegressor,41e0f8ccfe523e0d-Others-temporary
14,9.0,123.25,0.0967548076923077,0.10344827586206896,-0.521604938271605,0.0967548076923077,BaggingRegressor,41e0f8ccfe523e0d-Others-temporary
15,19.900000000000006,621.0100000000002,0.16401289682539688,0.17927927927927934,-1.7600444444444454,0.16401289682539688,BaggingRegressor,41e0f8ccfe523e0d-Others-temporary
16,50.5,2950.25,0.33338114362210747,0.3458904109589041,-6.375625,0.33338114362210747,BaggingRegressor,41e0f8ccfe523e0d-Others-temporary
17,56.7,3250.8900000000003,0.32883443887911196,0.32965116279069767,-89.30250000000001,0.32883443887911196,BaggingRegressor,41e0f8ccfe523e0d-Others-temporary
18,23.0,545.0,0.14781239359891046,0.14838709677419354,-0.030245746691871522,0.14781239359891046,BaggingRegressor,41e0f8ccfe523e0d-Others-temporary
19,33.900000000000006,1221.4600000000005,0.24584095993491972,0.24128113879003563,-15.906020761245681,0.24584095993491972,BaggingRegressor,41e0f8ccfe523e0d-Others-temporary
20,24.900000000000006,1172.2600000000002,0.24195288853796557,0.19840637450199208,-1.1226980534178366,0.24195288853796557,BaggingRegressor,41e0f8ccfe523e0d-Others-temporary
21,37.900000000000006,1452.4100000000005,0.3594830659536542,0.3575471698113208,-89.77562500000003,0.3594830659536542,BaggingRegressor,41e0f8ccfe523e0d-Others-temporary
22,10.0,132.49000000000004,0.07993006993006993,0.08333333333333333,-0.3249000000000004,0.07993006993006993,BaggingRegressor,41e0f8ccfe523e0d-Others-temporary
