train size,mae,mse,mape,wape,r2,mpe,model,key
1,26.0,676.0,0.01625,0.01625,0.0,0.01625,AdaBoostRegressor,505ceb6546aa8435-Palm oil
2,267.5,143112.5,0.1252927400468384,0.14323962516733602,-1.0,0.1252927400468384,AdaBoostRegressor,505ceb6546aa8435-Palm oil
3,717.5,548112.5,0.3052927400468384,0.30960086299892126,-15.456746106211298,0.3052927400468384,AdaBoostRegressor,505ceb6546aa8435-Palm oil
4,717.5,548112.5,0.3052927400468384,0.30960086299892126,-15.456746106211298,0.3052927400468384,AdaBoostRegressor,505ceb6546aa8435-Palm oil
5,182.5,66612.5,0.08548009367681499,0.07874865156418555,-1.0,0.08548009367681499,AdaBoostRegressor,505ceb6546aa8435-Palm oil
6,340.0,116225.0,0.1372857142857143,0.13737373737373737,-184.96,0.1372857142857143,AdaBoostRegressor,505ceb6546aa8435-Palm oil
7,50.0,2500.0,0.02040816326530612,0.02040816326530612,0.0,0.02040816326530612,AdaBoostRegressor,505ceb6546aa8435-Palm oil
8,25.0,1250.0,0.01,0.010101010101010102,-1.0,0.01,AdaBoostRegressor,505ceb6546aa8435-Palm oil
9,50.0,2500.0,0.02,0.02,0.0,0.02,AdaBoostRegressor,505ceb6546aa8435-Palm oil
10,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,505ceb6546aa8435-Palm oil
11,16.666666666666515,277.7777777777727,0.006666666666666606,0.006666666666666606,0.0,0.006666666666666606,AdaBoostRegressor,505ceb6546aa8435-Palm oil
12,375.0,263125.0,0.21214285714285716,0.17647058823529413,-0.8711111111111112,0.21214285714285716,AdaBoostRegressor,505ceb6546aa8435-Palm oil
13,725.0,525625.0,0.4142857142857143,0.4142857142857143,0.0,0.4142857142857143,AdaBoostRegressor,505ceb6546aa8435-Palm oil
14,275.0,151250.0,0.22916666666666666,0.1864406779661017,-1.0,0.22916666666666666,AdaBoostRegressor,505ceb6546aa8435-Palm oil
15,550.0,302500.0,0.4583333333333333,0.4583333333333333,0.0,0.4583333333333333,AdaBoostRegressor,505ceb6546aa8435-Palm oil
16,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,505ceb6546aa8435-Palm oil
