train size,mae,mse,mape,wape,r2,mpe,model,key
1,50.0,2600.0,0.8285714285714285,0.8333333333333334,-25.0,0.8285714285714285,AdaBoostRegressor,56aa50429893f5ca-Rice
2,20.0,400.0,0.4,0.4,0.0,0.4,AdaBoostRegressor,56aa50429893f5ca-Rice
3,15.0,450.0,0.75,0.42857142857142855,-1.0,0.75,AdaBoostRegressor,56aa50429893f5ca-Rice
4,25.0,650.0,1.0833333333333333,1.0,-25.0,1.0833333333333333,AdaBoostRegressor,56aa50429893f5ca-Rice
5,7.5,62.5,0.26666666666666666,0.2727272727272727,-9.0,0.26666666666666666,AdaBoostRegressor,56aa50429893f5ca-Rice
6,37.5,2462.5,0.44999999999999996,0.6,-0.7511111111111111,0.44999999999999996,AdaBoostRegressor,56aa50429893f5ca-Rice
7,85.0,7450.0,0.7346153846153847,0.7391304347826086,-32.111111111111114,0.7346153846153847,AdaBoostRegressor,56aa50429893f5ca-Rice
8,30.0,900.0,0.32967032967032966,0.3,0.0,0.32967032967032966,AdaBoostRegressor,56aa50429893f5ca-Rice
9,60.0,3600.0,0.8571428571428571,0.8571428571428571,0.0,0.8571428571428571,AdaBoostRegressor,56aa50429893f5ca-Rice
10,5.0,50.0,0.08333333333333333,0.07692307692307693,-1.0,0.08333333333333333,AdaBoostRegressor,56aa50429893f5ca-Rice
11,15.0,250.0,0.2833333333333333,0.2727272727272727,-9.0,0.2833333333333333,AdaBoostRegressor,56aa50429893f5ca-Rice
12,15.0,250.0,0.2833333333333333,0.2727272727272727,-9.0,0.2833333333333333,AdaBoostRegressor,56aa50429893f5ca-Rice
13,5.0,25.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,AdaBoostRegressor,56aa50429893f5ca-Rice
14,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,56aa50429893f5ca-Rice
15,5.0,50.0,0.1,0.09090909090909091,-1.0,0.1,AdaBoostRegressor,56aa50429893f5ca-Rice
16,10.0,100.0,0.2,0.2,0.0,0.2,AdaBoostRegressor,56aa50429893f5ca-Rice
17,6.25,39.0625,0.125,0.125,0.0,0.125,AdaBoostRegressor,56aa50429893f5ca-Rice
18,15.0,325.0,0.4666666666666667,0.375,-2.25,0.4666666666666667,AdaBoostRegressor,56aa50429893f5ca-Rice
19,37.5,1462.5,2.0,1.6666666666666667,-25.0,2.0,AdaBoostRegressor,56aa50429893f5ca-Rice
20,27.5,762.5,2.3333333333333335,2.2,-121.0,2.3333333333333335,AdaBoostRegressor,56aa50429893f5ca-Rice
21,10.0,100.0,1.0,1.0,0.0,1.0,AdaBoostRegressor,56aa50429893f5ca-Rice
22,5.0,25.0,0.5,0.5,0.0,0.5,AdaBoostRegressor,56aa50429893f5ca-Rice
23,5.0,25.0,0.5,0.5,0.0,0.5,AdaBoostRegressor,56aa50429893f5ca-Rice
24,7.0,53.0,1.0,0.875,-12.25,1.0,AdaBoostRegressor,56aa50429893f5ca-Rice
25,5.666666666666666,32.11111111111111,0.9444444444444443,0.9444444444444443,0.0,0.9444444444444443,AdaBoostRegressor,56aa50429893f5ca-Rice
26,2.0,8.0,0.3333333333333333,0.25,-1.0,0.3333333333333333,AdaBoostRegressor,56aa50429893f5ca-Rice
27,2.5,6.25,0.25,0.25,0.0,0.25,AdaBoostRegressor,56aa50429893f5ca-Rice
1,50.0,2600.0,0.8285714285714285,0.8333333333333334,-25.0,0.8285714285714285,BaggingRegressor,56aa50429893f5ca-Rice
2,4.0,16.0,0.08,0.08,0.0,0.08,BaggingRegressor,56aa50429893f5ca-Rice
3,15.0,450.0,0.75,0.42857142857142855,-1.0,0.75,BaggingRegressor,56aa50429893f5ca-Rice
4,25.0,650.0,1.0833333333333333,1.0,-25.0,1.0833333333333333,BaggingRegressor,56aa50429893f5ca-Rice
5,2.5,8.5,0.09666666666666666,0.09090909090909091,-0.3600000000000001,0.09666666666666666,BaggingRegressor,56aa50429893f5ca-Rice
6,37.5,2666.5,0.40499999999999997,0.6,-0.8961777777777777,0.40499999999999997,BaggingRegressor,56aa50429893f5ca-Rice
7,85.5,7535.25,0.7390384615384615,0.7434782608695653,-32.49,0.7390384615384615,BaggingRegressor,56aa50429893f5ca-Rice
8,30.0,1110.25,0.28186813186813187,0.3,-0.2336111111111112,0.28186813186813187,BaggingRegressor,56aa50429893f5ca-Rice
9,43.5,1892.25,0.6214285714285714,0.6214285714285714,0.0,0.6214285714285714,BaggingRegressor,56aa50429893f5ca-Rice
10,26.0,701.0,0.4083333333333333,0.4,-27.04,0.4083333333333333,BaggingRegressor,56aa50429893f5ca-Rice
11,15.0,250.0,0.2833333333333333,0.2727272727272727,-9.0,0.2833333333333333,BaggingRegressor,56aa50429893f5ca-Rice
12,6.0,61.0,0.11833333333333333,0.10909090909090909,-1.44,0.11833333333333333,BaggingRegressor,56aa50429893f5ca-Rice
13,5.0,25.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,BaggingRegressor,56aa50429893f5ca-Rice
14,1.0,1.0,0.016666666666666666,0.016666666666666666,0.0,0.016666666666666666,BaggingRegressor,56aa50429893f5ca-Rice
15,5.0,41.0,0.09833333333333333,0.09090909090909091,-0.6399999999999999,0.09833333333333333,BaggingRegressor,56aa50429893f5ca-Rice
16,10.0,100.0,0.2,0.2,0.0,0.2,BaggingRegressor,56aa50429893f5ca-Rice
17,4.0,16.0,0.08,0.08,0.0,0.08,BaggingRegressor,56aa50429893f5ca-Rice
18,11.0,221.0,0.36,0.275,-1.21,0.36,BaggingRegressor,56aa50429893f5ca-Rice
19,28.5,868.5,1.5499999999999998,1.2666666666666666,-14.44,1.5499999999999998,BaggingRegressor,56aa50429893f5ca-Rice
20,21.5,468.5,1.8333333333333333,1.72,-73.96,1.8333333333333333,BaggingRegressor,56aa50429893f5ca-Rice
21,11.0,121.0,1.1,1.1,0.0,1.1,BaggingRegressor,56aa50429893f5ca-Rice
22,8.0,64.0,0.8,0.8,0.0,0.8,BaggingRegressor,56aa50429893f5ca-Rice
23,0.5,0.25,0.05,0.05,0.0,0.05,BaggingRegressor,56aa50429893f5ca-Rice
24,2.0,8.0,0.3333333333333333,0.25,-1.0,0.3333333333333333,BaggingRegressor,56aa50429893f5ca-Rice
25,4.0,16.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,BaggingRegressor,56aa50429893f5ca-Rice
26,2.0,4.16,0.2533333333333333,0.25,-0.040000000000000036,0.2533333333333333,BaggingRegressor,56aa50429893f5ca-Rice
27,4.0,16.0,0.4,0.4,0.0,0.4,BaggingRegressor,56aa50429893f5ca-Rice
1,50.0,2600.0,0.8285714285714285,0.8333333333333334,-25.0,0.8285714285714285,BayesianRidge,56aa50429893f5ca-Rice
