train size,mae,mse,mape,wape,r2,mpe,model,key
1,9788.0,95804944.0,4894.0,4894.0,0.0,4894.0,AdaBoostRegressor,6471ede39ca61b39-Cocoa
2,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,6471ede39ca61b39-Cocoa
3,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,6471ede39ca61b39-Cocoa
4,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,6471ede39ca61b39-Cocoa
5,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,6471ede39ca61b39-Cocoa
6,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,6471ede39ca61b39-Cocoa
7,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,6471ede39ca61b39-Cocoa
8,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,6471ede39ca61b39-Cocoa
9,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,6471ede39ca61b39-Cocoa
10,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,6471ede39ca61b39-Cocoa
11,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,6471ede39ca61b39-Cocoa
12,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,6471ede39ca61b39-Cocoa
13,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,6471ede39ca61b39-Cocoa
14,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,6471ede39ca61b39-Cocoa
15,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,6471ede39ca61b39-Cocoa
16,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,6471ede39ca61b39-Cocoa
17,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,6471ede39ca61b39-Cocoa
18,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,6471ede39ca61b39-Cocoa
19,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,6471ede39ca61b39-Cocoa
