train size,mae,mse,mape,wape,r2,mpe,model,key
1,200.0,40000.0,1.0,1.0,0.0,1.0,AdaBoostRegressor,66fdcb391ed58d3d-Beans
2,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,66fdcb391ed58d3d-Beans
3,25.0,1250.0,0.1,0.1111111111111111,-1.0,0.1,AdaBoostRegressor,66fdcb391ed58d3d-Beans
4,125.0,21250.0,0.35,0.38461538461538464,-2.7777777777777777,0.35,AdaBoostRegressor,66fdcb391ed58d3d-Beans
5,100.0,12500.0,0.3125,0.3333333333333333,-0.25,0.3125,AdaBoostRegressor,66fdcb391ed58d3d-Beans
6,150.0,25000.0,0.6666666666666666,0.6,-9.0,0.6666666666666666,AdaBoostRegressor,66fdcb391ed58d3d-Beans
7,100.0,10000.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,AdaBoostRegressor,66fdcb391ed58d3d-Beans
8,250.0,125000.0,0.3125,0.45454545454545453,-1.0,0.3125,AdaBoostRegressor,66fdcb391ed58d3d-Beans
9,450.0,205000.0,0.5982142857142857,0.6,-81.0,0.5982142857142857,AdaBoostRegressor,66fdcb391ed58d3d-Beans
10,150.0,25000.0,0.17142857142857143,0.17647058823529413,-0.11111111111111116,0.17142857142857143,AdaBoostRegressor,66fdcb391ed58d3d-Beans
11,300.0,90000.0,0.3,0.3,0.0,0.3,AdaBoostRegressor,66fdcb391ed58d3d-Beans
12,260.0,135200.0,0.5416666666666666,0.35135135135135137,-1.0,0.5416666666666666,AdaBoostRegressor,66fdcb391ed58d3d-Beans
13,535.0,286450.0,1.1527777777777777,1.1505376344086022,-1272.111111111111,1.1527777777777777,AdaBoostRegressor,66fdcb391ed58d3d-Beans
14,30.0,900.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,AdaBoostRegressor,66fdcb391ed58d3d-Beans
15,30.0,900.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,AdaBoostRegressor,66fdcb391ed58d3d-Beans
16,55.0,3650.0,0.13333333333333333,0.12941176470588237,-4.84,0.13333333333333333,AdaBoostRegressor,66fdcb391ed58d3d-Beans
17,107.5,14862.5,0.3519736842105263,0.31386861313868614,-3.495274102079395,0.3519736842105263,AdaBoostRegressor,66fdcb391ed58d3d-Beans
18,57.5,6612.5,0.20175438596491227,0.1678832116788321,-1.0,0.20175438596491227,AdaBoostRegressor,66fdcb391ed58d3d-Beans
19,125.0,15725.0,0.30446428571428574,0.3048780487804878,-156.25,0.30446428571428574,AdaBoostRegressor,66fdcb391ed58d3d-Beans
20,67.5,4656.25,0.16413690476190476,0.16463414634146342,-45.5625,0.16413690476190476,AdaBoostRegressor,66fdcb391ed58d3d-Beans
21,37.75,1621.0625,0.09014310747663551,0.09118357487922706,-7.270727040816327,0.09014310747663551,AdaBoostRegressor,66fdcb391ed58d3d-Beans
22,39.0,2268.11111111111,0.0941588785046729,0.10025706940874037,-0.49119731171013137,0.0941588785046729,AdaBoostRegressor,66fdcb391ed58d3d-Beans
23,25.0,641.0,0.06625,0.06666666666666667,-0.025600000000000067,0.06625,AdaBoostRegressor,66fdcb391ed58d3d-Beans
24,33.625,1130.640625,0.0840625,0.0840625,0.0,0.0840625,AdaBoostRegressor,66fdcb391ed58d3d-Beans
25,34.428571428571445,1185.326530612246,0.08607142857142862,0.08607142857142862,0.0,0.08607142857142862,AdaBoostRegressor,66fdcb391ed58d3d-Beans
26,20.25,410.0625,0.050625,0.050625,0.0,0.050625,AdaBoostRegressor,66fdcb391ed58d3d-Beans
27,23.857142857142833,569.1632653061213,0.05964285714285708,0.05964285714285708,0.0,0.05964285714285708,AdaBoostRegressor,66fdcb391ed58d3d-Beans
1,200.0,40000.0,1.0,1.0,0.0,1.0,BaggingRegressor,66fdcb391ed58d3d-Beans
2,60.0,3600.0,0.3,0.3,0.0,0.3,BaggingRegressor,66fdcb391ed58d3d-Beans
3,25.0,850.0,0.12000000000000001,0.1111111111111111,-0.3600000000000001,0.12000000000000001,BaggingRegressor,66fdcb391ed58d3d-Beans
