train size,mae,mse,mape,wape,r2,mpe,model,key
1,34605.229325,1214708374.6086922,0.3383618818636843,0.3361909360573339,-69.67814455803261,0.3383618818636843,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
2,6932.435750000004,49905219.46695022,0.06541912024821132,0.06557352628821256,-26.026135391102702,0.06541912024821132,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
3,6628.726885000011,59235686.784649186,0.06760856059303023,0.06599018649767453,-2.8727103608866917,0.06760856059303023,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
4,13428.967864999999,211775995.80481467,0.15206144709785546,0.14768112005050912,-5.7361310013419375,0.15206144709785546,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
5,8139.382409999991,75703223.90346551,0.0933973705582862,0.09207462640683706,-7.007806570771693,0.0933973705582862,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
6,7575.341285000002,59419198.930174455,0.08132607897902805,0.08154252460884706,-28.221550681792596,0.08132607897902805,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
7,3913.79191,16445277.374114435,0.04091124987404627,0.04103009706615003,-13.585479145744639,0.04091124987404627,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
8,8653.242885000007,117513729.19780606,0.0803312217312539,0.08402861384495884,-1.756266150952119,0.0803312217312539,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
9,15900.258422499996,255369378.8252952,0.14293112946217518,0.14310825230162005,-99.09928284872002,0.14293112946217518,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
10,1889.6192999999985,5273298.535984727,0.016856261819826794,0.01705215184759413,-0.4768409518229768,0.016856261819826794,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
11,395.8935500000007,192405.18524466583,0.0036312840282451695,0.0036282768188355364,-4.3935072431718165,0.0036312840282451695,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
12,653.8340000000026,627142.2756920957,0.005922365270565899,0.005946319171101134,-0.46700325157196976,0.005922365270565899,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
13,3510.371299999999,18129469.67281441,0.030619155567675863,0.031059832840247367,-2.1221301170495623,0.030619155567675863,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
14,3604.351299999995,18354012.083266404,0.03145892640568506,0.03186487287345862,-2.4225550591775122,0.03145892640568506,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
15,4289.718150000001,19444213.677419685,0.03699421406603288,0.03727350389733969,-0.056654162480705095,0.03699421406603288,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
16,8064.392400000004,66968800.04662907,0.06665203989221292,0.06677582818564212,-33.62037653330251,0.06665203989221292,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
17,9111.157150000006,88685058.60979734,0.07281911719122697,0.0731581718030709,-14.635935961232395,0.07281911719122697,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
18,7990.424749999991,74262259.06119409,0.06081677360548696,0.061394258830680365,-6.130063478473008,0.06081677360548696,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
19,14390.793249999988,217163386.40644252,0.1049053097012336,0.10538864670684545,-20.568687939471744,0.1049053097012336,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
20,6539.4908,42802314.362914726,0.046736819523395076,0.04673863944120186,-1144.2295950534044,0.046736819523395076,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
21,6388.217199999999,40928066.98273872,0.045701082134543325,0.04570688329077134,-343.66324480095096,0.045701082134543325,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
22,1783.0181000000011,5370947.630674425,0.012496910914634672,0.012627311566944948,-0.6894269354318701,0.012496910914634672,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
23,8026.344150000019,85688884.80653995,0.05345578039672008,0.05437979816333114,-3.0292545479051496,0.05345578039672008,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
24,12118.370200000005,146990527.86211577,0.07980408520903434,0.07980949850514292,-1082.7487246558935,0.07980408520903434,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
25,1282.3172500000073,1942184.357834488,0.008509452056790372,0.008496265296455523,-5.520748834752461,0.008509452056790372,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
26,562.6592000000092,596265.2651399387,0.003740762322532962,0.0037284356669899706,-1.1319561645149925,0.003740762322532962,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
27,771.4232000000047,677045.5259910828,0.0051000285821088025,0.0051035972420513925,-7.261511684207591,0.0051000285821088025,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
28,789.9158000000025,1155864.933577904,0.005183678502830678,0.005208585870899057,-0.8524457016681475,0.005183678502830678,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
29,2697.1438500000077,8522971.611592934,0.01751166862633078,0.017563680121667074,-5.82718892901636,0.01751166862633078,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
30,8398.20040000003,95656215.94136149,0.05165506821457431,0.05258944513260896,-2.8069934763889286,0.05165506821457431,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
31,10282.554799999998,105797135.21850926,0.06232999304405661,0.06233227414779483,-1597.095671055041,0.06232999304405661,AdaBoostRegressor,74d75dde6dc4a5ec-Livestock
1,34605.22932499997,1214708374.6086903,0.33836188186368404,0.33619093605733363,-69.6781445580325,0.33836188186368404,BaggingRegressor,74d75dde6dc4a5ec-Livestock
2,12443.007774999991,156674996.52778232,0.11788241231028554,0.11769772225272981,-83.84723068625263,0.11788241231028554,BaggingRegressor,74d75dde6dc4a5ec-Livestock
3,3910.967485000001,26266340.1789297,0.040279259972787196,0.03893439542750007,-0.7172406242764537,0.040279259972787196,BaggingRegressor,74d75dde6dc4a5ec-Livestock
4,13686.940079999986,218771146.63912204,0.15490924838333528,0.1505180935272573,-5.958631442031493,0.15490924838333528,BaggingRegressor,74d75dde6dc4a5ec-Livestock
5,13886.512829000014,202288916.4372302,0.1584890194555167,0.15708753028399947,-20.397906597821702,0.1584890194555167,BaggingRegressor,74d75dde6dc4a5ec-Livestock
6,5332.528126999983,30469259.571194917,0.05717828956207462,0.05740042457021329,-13.984365808139856,0.05717828956207462,BaggingRegressor,74d75dde6dc4a5ec-Livestock
7,4637.19535899999,22631091.056864038,0.04849596385010968,0.0486138711688609,-19.07173847823976,0.04849596385010968,BaggingRegressor,74d75dde6dc4a5ec-Livestock
8,10738.700952000021,157954814.90748897,0.1006641207170188,0.10427976742179483,-2.7048054953356644,0.1006641207170188,BaggingRegressor,74d75dde6dc4a5ec-Livestock
9,15981.218454999973,257950504.22944486,0.1436599505498915,0.14383692277033136,-100.11102827836588,0.1436599505498915,BaggingRegressor,74d75dde6dc4a5ec-Livestock
10,6547.454523999979,46439821.84278028,0.05881134219311969,0.059085017155818036,-12.005944993397533,0.05881134219311969,BaggingRegressor,74d75dde6dc4a5ec-Livestock
11,3270.9172699999544,10734573.269497018,0.029980319451587533,0.029977233291801877,-299.9118418912042,0.029980319451587533,BaggingRegressor,74d75dde6dc4a5ec-Livestock
12,653.8340000000026,452710.3753806931,0.005937942393961303,0.005946319171101134,-0.05897436426356695,0.005937942393961303,BaggingRegressor,74d75dde6dc4a5ec-Livestock
13,3810.0132199999935,20322963.74552545,0.0332715988360075,0.03371107031678741,-2.4998782823061636,0.0332715988360075,BaggingRegressor,74d75dde6dc4a5ec-Livestock
14,2634.4694000000018,12303092.80899112,0.022880927302958036,0.023290469083858997,-1.294212968037297,0.022880927302958036,BaggingRegressor,74d75dde6dc4a5ec-Livestock
15,4289.718150000001,19026830.798057474,0.037068931486299264,0.03727350389733969,-0.03397238351329834,0.037068931486299264,BaggingRegressor,74d75dde6dc4a5ec-Livestock
16,8599.604939999997,75887580.3895236,0.07108436405313472,0.07120756449522953,-38.231053945378484,0.07108436405313472,BaggingRegressor,74d75dde6dc4a5ec-Livestock
17,8594.980570000007,79545564.99647875,0.06867295348442767,0.06901352427930807,-13.024564901709244,0.06867295348442767,BaggingRegressor,74d75dde6dc4a5ec-Livestock
18,8546.75202999996,83462341.6380901,0.06509393238412617,0.06566878766882336,-7.01338124458632,0.06509393238412617,BaggingRegressor,74d75dde6dc4a5ec-Livestock
19,12009.223599999983,154289907.51699385,0.08745484660520947,0.08794760658547505,-14.324088109473644,0.08745484660520947,BaggingRegressor,74d75dde6dc4a5ec-Livestock
20,7184.94789000001,51660850.62164569,0.05134999885519741,0.051351809965775104,-1381.2508412956954,0.05134999885519741,BaggingRegressor,74d75dde6dc4a5ec-Livestock
21,3860.5912400000234,15022912.710727807,0.027616129252266995,0.027622040346413912,-125.51088172389466,0.027616129252266995,BaggingRegressor,74d75dde6dc4a5ec-Livestock
22,1783.0181000000011,6301806.734247088,0.012471274328311965,0.012627311566944948,-0.9822278619734217,0.012471274328311965,BaggingRegressor,74d75dde6dc4a5ec-Livestock
23,8147.363029999979,87646208.73491086,0.054276504351084304,0.05519972092584441,-3.121291646508049,0.054276504351084304,BaggingRegressor,74d75dde6dc4a5ec-Livestock
24,10786.483190000028,116483851.1660208,0.0710324552039602,0.07103792010150475,-857.825578629124,0.0710324552039602,BaggingRegressor,74d75dde6dc4a5ec-Livestock
25,3685.8679200000042,13883469.151872063,0.02440874442183092,0.024421500760451097,-45.61278159779437,0.02440874442183092,BaggingRegressor,74d75dde6dc4a5ec-Livestock
26,528.8476999999984,283908.99749321816,0.0035029181734137636,0.0035043852959048285,-0.015121243436649445,0.0035029181734137636,BaggingRegressor,74d75dde6dc4a5ec-Livestock
27,782.3719200000196,694057.5936973526,0.005172463605618678,0.005176032005740207,-7.4690980144209735,0.005172463605618678,BaggingRegressor,74d75dde6dc4a5ec-Livestock
28,789.9158000000025,906245.4603529349,0.005190479421609239,0.005208585870899057,-0.45239331942577565,0.005190479421609239,BaggingRegressor,74d75dde6dc4a5ec-Livestock
29,3247.411089999994,11794065.45145502,0.021095173988087274,0.02114699577789073,-8.447445884806708,0.021095173988087274,BaggingRegressor,74d75dde6dc4a5ec-Livestock
30,7606.693750000006,82988235.78908996,0.046693773435361824,0.04763303857409539,-2.3028242770941763,0.046693773435361824,BaggingRegressor,74d75dde6dc4a5ec-Livestock
31,11715.833369999964,137326953.55711097,0.07101846899512956,0.07102072896209811,-2073.362500889351,0.07101846899512956,BaggingRegressor,74d75dde6dc4a5ec-Livestock
1,34605.229325,1214708374.6086922,0.3383618818636843,0.3361909360573339,-69.67814455803261,0.3383618818636843,BayesianRidge,74d75dde6dc4a5ec-Livestock
2,12443.007671707608,156674993.88706553,0.11788241132994703,0.11769772127569288,-83.84722925617437,0.11788241132994703,BayesianRidge,74d75dde6dc4a5ec-Livestock
3,14018.14532666211,211804064.63793242,0.14128325293192223,0.13955319633868665,-12.84732481592166,0.14128325293192223,BayesianRidge,74d75dde6dc4a5ec-Livestock
4,21009.3508448747,472831639.6729911,0.23574264655080596,0.23104414989269215,-14.039739769903441,0.23574264655080596,BayesianRidge,74d75dde6dc4a5ec-Livestock
5,20461.23598997549,428115857.23689485,0.23295393338636056,0.23146235975895424,-44.285640397624135,0.23295393338636056,BayesianRidge,74d75dde6dc4a5ec-Livestock
6,12037.9235786426,146945008.26289672,0.1298448730572106,0.12957867411129903,-71.2655485718791,0.1298448730572106,BayesianRidge,74d75dde6dc4a5ec-Livestock
7,7626.690064036971,59293912.563099906,0.0800879727293102,0.07995413164949768,-51.58835746485973,0.0800879727293102,BayesianRidge,74d75dde6dc4a5ec-Livestock
8,6529.557876836065,43739264.874181956,0.06301260268711006,0.06340625181827039,-0.025897621181844688,0.06301260268711006,BayesianRidge,74d75dde6dc4a5ec-Livestock
9,9786.331244587214,98323443.60896699,0.08789213145578281,0.08808062885794364,-37.54066700458789,0.08789213145578281,BayesianRidge,74d75dde6dc4a5ec-Livestock
10,8675.035770498762,78826903.97070251,0.07801647576965023,0.07828456623080414,-21.076277133741225,0.07801647576965023,BayesianRidge,74d75dde6dc4a5ec-Livestock
11,6013.864576757216,36202240.77447455,0.05511290745255683,0.05511573865112062,-1013.822171179463,0.05511290745255683,BayesianRidge,74d75dde6dc4a5ec-Livestock
12,6371.156153192656,41019129.97802012,0.05790942048070439,0.05794273160436487,-94.95142822735271,0.05790942048070439,BayesianRidge,74d75dde6dc4a5ec-Livestock
13,8994.917862988972,86715311.20027949,0.07916859952104231,0.07958720641209453,-13.933502722018057,0.07916859952104231,BayesianRidge,74d75dde6dc4a5ec-Livestock
14,8618.52547506024,79641644.83549184,0.075806162483243,0.07619352159692634,-13.851135175041325,0.075806162483243,BayesianRidge,74d75dde6dc4a5ec-Livestock
15,9863.546941771194,115691239.14419396,0.08443267738628377,0.08570468793519721,-5.286992697792944,0.08443267738628377,BayesianRidge,74d75dde6dc4a5ec-Livestock
16,15195.717032872875,232844190.83745044,0.12570959201933676,0.12582554759423092,-119.37177842177039,0.12570959201933676,BayesianRidge,74d75dde6dc4a5ec-Livestock
17,18156.045169989186,335313847.62564456,0.14547174797041326,0.14578423464141252,-58.1187053442372,0.14547174797041326,BayesianRidge,74d75dde6dc4a5ec-Livestock
18,22888.509357033785,534299218.76081985,0.17535631870710316,0.17586337543748012,-50.29910393816568,0.17535631870710316,BayesianRidge,74d75dde6dc4a5ec-Livestock
19,21744.297816757186,481011781.84828866,0.15883938778486517,0.15924084799833085,-46.774135362199395,0.15883938778486517,BayesianRidge,74d75dde6dc4a5ec-Livestock
20,20102.315865627286,404177756.60760236,0.1436769865800887,0.14367401406493385,-10813.282718561792,0.1436769865800887,BayesianRidge,74d75dde6dc4a5ec-Livestock
21,14742.05284083703,218239905.27447498,0.10546131346901709,0.10547751705476176,-1836.8408618388014,0.10546131346901709,BayesianRidge,74d75dde6dc4a5ec-Livestock
22,11854.723845243127,141685996.81169093,0.08387241474512125,0.08395500389703084,-43.56720784617434,0.08387241474512125,BayesianRidge,74d75dde6dc4a5ec-Livestock
23,14792.241064925169,233547655.48133042,0.0995043564204915,0.10021985956009216,-9.981855524497558,0.0995043564204915,BayesianRidge,74d75dde6dc4a5ec-Livestock
24,15532.671985317618,242700746.9122762,0.10227695629821637,0.10229550188135707,-1788.4120714087362,0.10227695629821637,BayesianRidge,74d75dde6dc4a5ec-Livestock
25,10151.285394317412,105166540.71192807,0.06722550910125549,0.06725949745287632,-352.0893424385682,0.06722550910125549,BayesianRidge,74d75dde6dc4a5ec-Livestock
26,6435.228886036333,41598722.05227898,0.042653305926233606,0.04264275231604071,-147.7369080512981,0.042653305926233606,BayesianRidge,74d75dde6dc4a5ec-Livestock
27,3676.596277045828,15144249.618164418,0.024307805562950327,0.02432370016829594,-183.7946561435066,0.024307805562950327,BayesianRidge,74d75dde6dc4a5ec-Livestock
28,1448.4125869445852,2145652.2346509704,0.009558379029787688,0.009550614553591527,-2.4387272629254433,0.009558379029787688,BayesianRidge,74d75dde6dc4a5ec-Livestock
29,1083.1205093244207,1183652.0200276822,0.007048749975256691,0.007053232314246491,0.05185464234691839,0.007048749975256691,BayesianRidge,74d75dde6dc4a5ec-Livestock
30,5033.026546233217,41284335.281713635,0.030761994750834756,0.03151676082939092,-0.6430630623197959,0.030761994750834756,BayesianRidge,74d75dde6dc4a5ec-Livestock
31,8114.314546892798,66427007.36006884,0.049195873324245326,0.0491885225701264,-1002.3987468943791,0.049195873324245326,BayesianRidge,74d75dde6dc4a5ec-Livestock
1,34605.229325,1214708374.6086922,0.3383618818636843,0.3361909360573339,-69.67814455803261,0.3383618818636843,DecisionTreeRegressor,74d75dde6dc4a5ec-Livestock
2,6932.435750000004,49905219.46695022,0.06541912024821132,0.06557352628821256,-26.026135391102702,0.06541912024821132,DecisionTreeRegressor,74d75dde6dc4a5ec-Livestock
3,6628.726885000011,59235686.784649186,0.06760856059303023,0.06599018649767453,-2.8727103608866917,0.06760856059303023,DecisionTreeRegressor,74d75dde6dc4a5ec-Livestock
4,13428.967864999999,211775995.80481467,0.15206144709785546,0.14768112005050912,-5.7361310013419375,0.15206144709785546,DecisionTreeRegressor,74d75dde6dc4a5ec-Livestock
5,8139.382409999991,75703223.90346551,0.0933973705582862,0.09207462640683706,-7.007806570771693,0.0933973705582862,DecisionTreeRegressor,74d75dde6dc4a5ec-Livestock
6,7575.341285000002,59419198.930174455,0.08132607897902805,0.08154252460884706,-28.221550681792596,0.08132607897902805,DecisionTreeRegressor,74d75dde6dc4a5ec-Livestock
7,3913.79191,16445277.374114435,0.04091124987404627,0.04103009706615003,-13.585479145744639,0.04091124987404627,DecisionTreeRegressor,74d75dde6dc4a5ec-Livestock
8,8653.242885000007,117513729.19780606,0.0803312217312539,0.08402861384495884,-1.756266150952119,0.0803312217312539,DecisionTreeRegressor,74d75dde6dc4a5ec-Livestock
9,14656.349729999994,217359748.33108407,0.13173317340542712,0.1319126104273618,-84.200328356536,0.13173317340542712,DecisionTreeRegressor,74d75dde6dc4a5ec-Livestock
10,1889.6192999999985,5273298.535984727,0.016856261819826794,0.01705215184759413,-0.4768409518229768,0.016856261819826794,DecisionTreeRegressor,74d75dde6dc4a5ec-Livestock
