train size,mae,mse,mape,wape,r2,mpe,model,key
1,60.0,6964.0,0.18298707063186379,0.22140221402214022,-0.9344444444444444,0.18298707063186379,AdaBoostRegressor,764cd56389d50070-Others-permanent
2,127.0,16178.0,0.3754717807259512,0.3757396449704142,-329.16326530612247,0.3754717807259512,AdaBoostRegressor,764cd56389d50070-Others-permanent
3,39.0,2146.0,0.10130251330031187,0.10540540540540541,-2.4336,0.10130251330031187,AdaBoostRegressor,764cd56389d50070-Others-permanent
4,131.0,23722.0,0.8602836204435138,0.4962121212121212,-0.38232037760037296,0.8602836204435138,AdaBoostRegressor,764cd56389d50070-Others-permanent
5,266.5,71042.5,2.0777043414989085,2.0739299610894943,-3507.2716049382716,2.0777043414989085,AdaBoostRegressor,764cd56389d50070-Others-permanent
6,22.5,688.5,0.14279919832029014,0.15358361774744028,-0.3600000000000001,0.14279919832029014,AdaBoostRegressor,764cd56389d50070-Others-permanent
7,85.0,8825.0,0.38414011073881327,0.40669856459330145,-4.515625,0.38414011073881327,AdaBoostRegressor,764cd56389d50070-Others-permanent
8,130.5,19580.5,0.41921399885255306,0.4357262103505843,-6.677874718164886,0.41921399885255306,AdaBoostRegressor,764cd56389d50070-Others-permanent
9,98.0,9613.0,0.28236710963455147,0.2824207492795389,-1067.111111111111,0.28236710963455147,AdaBoostRegressor,764cd56389d50070-Others-permanent
10,15.0,306.0,0.04080649172988435,0.04178272980501393,-0.3600000000000001,0.04080649172988435,AdaBoostRegressor,764cd56389d50070-Others-permanent
11,30.0,900.0,0.08021390374331551,0.08021390374331551,0.0,0.08021390374331551,AdaBoostRegressor,764cd56389d50070-Others-permanent
12,18.5,348.5,0.04909485981967745,0.049136786188579015,-54.76,0.04909485981967745,AdaBoostRegressor,764cd56389d50070-Others-permanent
13,11.0,157.0,0.03040582987812539,0.029891304347826088,-0.2975206611570247,0.03040582987812539,AdaBoostRegressor,764cd56389d50070-Others-permanent
14,7.5,56.25,0.02100840336134454,0.02100840336134454,0.0,0.02100840336134454,AdaBoostRegressor,764cd56389d50070-Others-permanent
15,6.875,47.265625,0.019257703081232494,0.019257703081232494,0.0,0.019257703081232494,AdaBoostRegressor,764cd56389d50070-Others-permanent
16,49.5,4900.5,0.19186046511627908,0.16097560975609757,-1.0,0.19186046511627908,AdaBoostRegressor,764cd56389d50070-Others-permanent
17,75.0,6250.0,0.2749672807812343,0.26501766784452296,-9.0,0.2749672807812343,AdaBoostRegressor,764cd56389d50070-Others-permanent
18,50.0,2500.0,0.16233766233766234,0.16233766233766234,0.0,0.16233766233766234,AdaBoostRegressor,764cd56389d50070-Others-permanent
19,27.0,1458.0,0.1062992125984252,0.09608540925266904,-1.0,0.1062992125984252,AdaBoostRegressor,764cd56389d50070-Others-permanent
20,47.5,2262.5,0.18529778372298059,0.18518518518518517,-361.0,0.18529778372298059,AdaBoostRegressor,764cd56389d50070-Others-permanent
21,108.16666666666669,20256.27777777778,1.3861003861003862,0.6496496496496498,-1.367424722019317,1.3861003861003862,AdaBoostRegressor,764cd56389d50070-Others-permanent
