train size,mae,mse,mape,wape,r2,mpe,model,key
1,600.0,360000.0,0.46153846153846156,0.46153846153846156,0.0,0.46153846153846156,AdaBoostRegressor,93656feaf53efbef-Cassava
2,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,93656feaf53efbef-Cassava
3,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,93656feaf53efbef-Cassava
4,525.0,551250.0,2.1,0.6774193548387096,-1.0,2.1,AdaBoostRegressor,93656feaf53efbef-Cassava
5,1000.0,1002500.0,3.4571428571428573,3.3333333333333335,-400.0,3.4571428571428573,AdaBoostRegressor,93656feaf53efbef-Cassava
6,950.0,902500.0,2.7142857142857144,2.7142857142857144,0.0,2.7142857142857144,AdaBoostRegressor,93656feaf53efbef-Cassava
7,15.0,450.0,0.039473684210526314,0.0410958904109589,-1.0,0.039473684210526314,AdaBoostRegressor,93656feaf53efbef-Cassava
8,75.0,7650.0,0.3003432494279176,0.2459016393442623,-0.3600000000000001,0.3003432494279176,AdaBoostRegressor,93656feaf53efbef-Cassava
9,190.0,37700.0,1.0927536231884059,1.0,-22.5625,1.0927536231884059,AdaBoostRegressor,93656feaf53efbef-Cassava
10,125.0,21250.0,0.75,0.5555555555555556,-2.7777777777777777,0.75,AdaBoostRegressor,93656feaf53efbef-Cassava
11,50.0,2900.0,0.19166666666666665,0.2,-0.15999999999999992,0.19166666666666665,AdaBoostRegressor,93656feaf53efbef-Cassava
12,50.0,2500.0,0.25,0.25,0.0,0.25,AdaBoostRegressor,93656feaf53efbef-Cassava
13,65.0,4225.0,0.325,0.325,0.0,0.325,AdaBoostRegressor,93656feaf53efbef-Cassava
14,90.0,11700.0,1.0125,0.6428571428571429,-2.25,1.0125,AdaBoostRegressor,93656feaf53efbef-Cassava
15,110.0,15700.0,1.1875,0.7857142857142857,-3.3611111111111107,1.1875,AdaBoostRegressor,93656feaf53efbef-Cassava
16,207.5,50712.5,0.6933333333333334,0.7217391304347827,-5.6236734693877555,0.6933333333333334,AdaBoostRegressor,93656feaf53efbef-Cassava
17,87.5,15312.5,0.23333333333333334,0.30434782608695654,-1.0,0.23333333333333334,AdaBoostRegressor,93656feaf53efbef-Cassava
18,175.0,30625.0,0.875,0.875,0.0,0.875,AdaBoostRegressor,93656feaf53efbef-Cassava
19,35.0,1225.0,0.175,0.175,0.0,0.175,AdaBoostRegressor,93656feaf53efbef-Cassava
20,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,93656feaf53efbef-Cassava
21,20.0,625.0,0.09791666666666667,0.09090909090909091,-0.5625,0.09791666666666667,AdaBoostRegressor,93656feaf53efbef-Cassava
22,100.0,17439.0625,0.2402935606060606,0.29411764705882354,-0.74390625,0.2402935606060606,AdaBoostRegressor,93656feaf53efbef-Cassava
23,220.0,48400.0,0.5,0.5,0.0,0.5,AdaBoostRegressor,93656feaf53efbef-Cassava
24,180.0,64800.0,0.225,0.2903225806451613,-1.0,0.225,AdaBoostRegressor,93656feaf53efbef-Cassava
25,360.0,129600.0,0.45,0.45,0.0,0.45,AdaBoostRegressor,93656feaf53efbef-Cassava
