train size,mae,mse,mape,wape,r2,mpe,model,key
1,30.0,900.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,AdaBoostRegressor,9ce50fa197613de1-Beans
2,30.0,900.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,AdaBoostRegressor,9ce50fa197613de1-Beans
3,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,9ce50fa197613de1-Beans
4,65.0,8450.0,1.3,0.5652173913043478,-1.0,1.3,AdaBoostRegressor,9ce50fa197613de1-Beans
5,130.0,16900.0,2.6,2.6,0.0,2.6,AdaBoostRegressor,9ce50fa197613de1-Beans
6,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,9ce50fa197613de1-Beans
7,5.0,50.0,0.08333333333333333,0.09090909090909091,-1.0,0.08333333333333333,AdaBoostRegressor,9ce50fa197613de1-Beans
8,10.0,100.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,AdaBoostRegressor,9ce50fa197613de1-Beans
9,10.0,100.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,AdaBoostRegressor,9ce50fa197613de1-Beans
10,35.0,2450.0,0.2692307692307692,0.3684210526315789,-1.0,0.2692307692307692,AdaBoostRegressor,9ce50fa197613de1-Beans
11,70.0,4900.0,0.5384615384615384,0.5384615384615384,0.0,0.5384615384615384,AdaBoostRegressor,9ce50fa197613de1-Beans
12,25.0,1250.0,0.3125,0.23809523809523808,-1.0,0.3125,AdaBoostRegressor,9ce50fa197613de1-Beans
13,50.0,2500.0,0.625,0.625,0.0,0.625,AdaBoostRegressor,9ce50fa197613de1-Beans
14,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,9ce50fa197613de1-Beans
15,10.0,200.0,0.16666666666666666,0.14285714285714285,-1.0,0.16666666666666666,AdaBoostRegressor,9ce50fa197613de1-Beans
16,20.0,400.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,AdaBoostRegressor,9ce50fa197613de1-Beans
17,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,9ce50fa197613de1-Beans
18,15.0,250.0,0.2833333333333333,0.2727272727272727,-9.0,0.2833333333333333,AdaBoostRegressor,9ce50fa197613de1-Beans
19,24.0,592.0,0.5333333333333333,0.5217391304347826,-36.0,0.5333333333333333,AdaBoostRegressor,9ce50fa197613de1-Beans
1,30.0,900.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,BaggingRegressor,9ce50fa197613de1-Beans
2,6.0,36.0,0.03333333333333333,0.03333333333333333,0.0,0.03333333333333333,BaggingRegressor,9ce50fa197613de1-Beans
