train size,mae,mse,mape,wape,r2,mpe,model,key
1,10.0,100.0,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,AdaBoostRegressor,9ce50fa197613de1-Corn
2,10.0,200.0,0.041666666666666664,0.04,-1.0,0.041666666666666664,AdaBoostRegressor,9ce50fa197613de1-Corn
3,15.0,250.0,0.06166666666666666,0.061224489795918366,-9.0,0.06166666666666666,AdaBoostRegressor,9ce50fa197613de1-Corn
4,25.0,850.0,0.12000000000000001,0.1111111111111111,-0.3600000000000001,0.12000000000000001,AdaBoostRegressor,9ce50fa197613de1-Corn
5,25.0,1250.0,0.125,0.1111111111111111,-1.0,0.125,AdaBoostRegressor,9ce50fa197613de1-Corn
6,25.0,1250.0,0.1,0.1111111111111111,-1.0,0.1,AdaBoostRegressor,9ce50fa197613de1-Corn
7,75.0,6250.0,0.4583333333333333,0.42857142857142855,-9.0,0.4583333333333333,AdaBoostRegressor,9ce50fa197613de1-Corn
8,85.0,8450.0,0.9166666666666666,0.7391304347826086,-5.8979591836734695,0.9166666666666666,AdaBoostRegressor,9ce50fa197613de1-Corn
9,70.0,4900.0,0.875,0.875,0.0,0.875,AdaBoostRegressor,9ce50fa197613de1-Corn
10,10.0,200.0,0.16666666666666666,0.14285714285714285,-1.0,0.16666666666666666,AdaBoostRegressor,9ce50fa197613de1-Corn
11,25.0,650.0,0.4666666666666667,0.45454545454545453,-25.0,0.4666666666666667,AdaBoostRegressor,9ce50fa197613de1-Corn
12,15.0,250.0,0.35,0.3333333333333333,-9.0,0.35,AdaBoostRegressor,9ce50fa197613de1-Corn
13,10.0,100.0,0.25,0.25,0.0,0.25,AdaBoostRegressor,9ce50fa197613de1-Corn
14,10.0,100.0,0.25,0.25,0.0,0.25,AdaBoostRegressor,9ce50fa197613de1-Corn
15,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,9ce50fa197613de1-Corn
16,3.3333333333333357,11.111111111111127,0.0833333333333334,0.0833333333333334,0.0,0.0833333333333334,AdaBoostRegressor,9ce50fa197613de1-Corn
17,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,9ce50fa197613de1-Corn
18,7.5,56.25,0.1875,0.1875,0.0,0.1875,AdaBoostRegressor,9ce50fa197613de1-Corn
19,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,9ce50fa197613de1-Corn
1,10.0,100.0,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,BaggingRegressor,9ce50fa197613de1-Corn
2,10.0,164.0,0.041346153846153845,0.04,-0.6399999999999999,0.041346153846153845,BaggingRegressor,9ce50fa197613de1-Corn
3,15.0,250.0,0.06166666666666666,0.061224489795918366,-9.0,0.06166666666666666,BaggingRegressor,9ce50fa197613de1-Corn
4,25.0,1154.0,0.124,0.1111111111111111,-0.8464,0.124,BaggingRegressor,9ce50fa197613de1-Corn
5,25.0,1025.0,0.1225,0.1111111111111111,-0.6399999999999999,0.1225,BaggingRegressor,9ce50fa197613de1-Corn
6,25.0,850.0,0.10500000000000001,0.1111111111111111,-0.3600000000000001,0.10500000000000001,BaggingRegressor,9ce50fa197613de1-Corn
7,65.0,4850.0,0.4,0.37142857142857144,-6.76,0.4,BaggingRegressor,9ce50fa197613de1-Corn
8,100.0,11225.0,1.0604166666666668,0.8695652173913043,-8.16326530612245,1.0604166666666668,BaggingRegressor,9ce50fa197613de1-Corn
9,75.0,5625.0,0.9375,0.9375,0.0,0.9375,BaggingRegressor,9ce50fa197613de1-Corn
10,29.0,941.0,0.44375,0.4142857142857143,-8.41,0.44375,BaggingRegressor,9ce50fa197613de1-Corn
11,37.0,1394.0,0.6866666666666666,0.6727272727272727,-54.76,0.6866666666666666,BaggingRegressor,9ce50fa197613de1-Corn
12,39.0,1546.0,0.8900000000000001,0.8666666666666667,-60.84,0.8900000000000001,BaggingRegressor,9ce50fa197613de1-Corn
13,17.0,289.0,0.425,0.425,0.0,0.425,BaggingRegressor,9ce50fa197613de1-Corn
14,10.0,100.0,0.25,0.25,0.0,0.25,BaggingRegressor,9ce50fa197613de1-Corn
15,2.0,4.0,0.05,0.05,0.0,0.05,BaggingRegressor,9ce50fa197613de1-Corn
16,2.0,4.0,0.05,0.05,0.0,0.05,BaggingRegressor,9ce50fa197613de1-Corn
17,0.0,0.0,0.0,0.0,1.0,0.0,BaggingRegressor,9ce50fa197613de1-Corn
18,0.0,0.0,0.0,0.0,1.0,0.0,BaggingRegressor,9ce50fa197613de1-Corn
19,0.0,0.0,0.0,0.0,1.0,0.0,BaggingRegressor,9ce50fa197613de1-Corn
1,10.0,100.0,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,BayesianRidge,9ce50fa197613de1-Corn
2,24.99999919999999,849.9999540000006,0.10256409932692304,0.09999999679999996,-7.499999540000006,0.10256409932692304,BayesianRidge,9ce50fa197613de1-Corn
3,22.08323563607655,496.17635458344046,0.09041626936448909,0.09013565565745531,-18.84705418333762,0.09041626936448909,BayesianRidge,9ce50fa197613de1-Corn
4,27.493572152120436,1380.842945432556,0.136220539030552,0.12219365400942415,-1.2093487126920897,0.136220539030552,BayesianRidge,9ce50fa197613de1-Corn
5,26.989811447054734,1353.5226994442494,0.13395487926552813,0.11995471754246549,-1.1656363191107992,0.13395487926552813,BayesianRidge,9ce50fa197613de1-Corn
6,21.54605029165677,550.6900027846139,0.0923080941457492,0.09576022351847453,0.11889599554461783,0.0923080941457492,BayesianRidge,9ce50fa197613de1-Corn
7,59.749544842152375,4143.152087585778,0.3684893662603739,0.341425970526585,-5.629043340137244,0.3684893662603739,BayesianRidge,9ce50fa197613de1-Corn
8,95.72016869341034,10198.998589979565,1.0112262491807604,0.8323492929861769,-7.325713134677196,1.0112262491807604,BayesianRidge,9ce50fa197613de1-Corn
9,95.01566034608797,9051.961865991789,1.1876957543260995,1.1876957543260995,0.0,1.1876957543260995,BayesianRidge,9ce50fa197613de1-Corn
10,54.03964957627471,2926.550257900633,0.793293439927665,0.7719949939467816,-28.26550257900633,0.793293439927665,BayesianRidge,9ce50fa197613de1-Corn
11,33.732521308288995,1151.5648325518791,0.6122647290481325,0.6133185692416181,-45.062593302075165,0.6122647290481325,BayesianRidge,9ce50fa197613de1-Corn
12,12.830239127136394,184.33482772781338,0.27757863734755744,0.2851164250474754,-6.373393109112535,0.27757863734755744,BayesianRidge,9ce50fa197613de1-Corn
13,9.740994833328216,142.27854657613167,0.2435248708332054,0.2435248708332054,0.0,0.2435248708332054,BayesianRidge,9ce50fa197613de1-Corn
14,27.37191086854682,845.0871745916597,0.6842977717136705,0.6842977717136705,0.0,0.6842977717136705,BayesianRidge,9ce50fa197613de1-Corn
15,42.08808418881995,1863.0646470382462,1.0522021047204988,1.0522021047204988,0.0,1.0522021047204988,BayesianRidge,9ce50fa197613de1-Corn
16,52.701663589002465,2862.337204175117,1.3175415897250615,1.3175415897250615,0.0,1.3175415897250615,BayesianRidge,9ce50fa197613de1-Corn
17,60.35740528913357,3720.1121611131457,1.508935132228339,1.508935132228339,0.0,1.508935132228339,BayesianRidge,9ce50fa197613de1-Corn
18,65.851568467312,4405.657396918987,1.6462892116828,1.6462892116828,0.0,1.6462892116828,BayesianRidge,9ce50fa197613de1-Corn
19,69.74693746839034,4926.377534681567,1.7436734367097586,1.7436734367097586,0.0,1.7436734367097586,BayesianRidge,9ce50fa197613de1-Corn
1,10.0,100.0,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,DecisionTreeRegressor,9ce50fa197613de1-Corn
2,10.0,200.0,0.041666666666666664,0.04,-1.0,0.041666666666666664,DecisionTreeRegressor,9ce50fa197613de1-Corn
3,15.0,250.0,0.06166666666666666,0.061224489795918366,-9.0,0.06166666666666666,DecisionTreeRegressor,9ce50fa197613de1-Corn
4,25.0,850.0,0.12000000000000001,0.1111111111111111,-0.3600000000000001,0.12000000000000001,DecisionTreeRegressor,9ce50fa197613de1-Corn
5,25.0,1250.0,0.125,0.1111111111111111,-1.0,0.125,DecisionTreeRegressor,9ce50fa197613de1-Corn
6,25.0,1250.0,0.1,0.1111111111111111,-1.0,0.1,DecisionTreeRegressor,9ce50fa197613de1-Corn
7,75.0,6250.0,0.4583333333333333,0.42857142857142855,-9.0,0.4583333333333333,DecisionTreeRegressor,9ce50fa197613de1-Corn
8,85.0,8450.0,0.9166666666666666,0.7391304347826086,-5.8979591836734695,0.9166666666666666,DecisionTreeRegressor,9ce50fa197613de1-Corn
9,70.0,4900.0,0.875,0.875,0.0,0.875,DecisionTreeRegressor,9ce50fa197613de1-Corn
10,10.0,200.0,0.16666666666666666,0.14285714285714285,-1.0,0.16666666666666666,DecisionTreeRegressor,9ce50fa197613de1-Corn
11,25.0,650.0,0.4666666666666667,0.45454545454545453,-25.0,0.4666666666666667,DecisionTreeRegressor,9ce50fa197613de1-Corn
12,15.0,250.0,0.35,0.3333333333333333,-9.0,0.35,DecisionTreeRegressor,9ce50fa197613de1-Corn
13,10.0,100.0,0.25,0.25,0.0,0.25,DecisionTreeRegressor,9ce50fa197613de1-Corn
14,0.0,0.0,0.0,0.0,1.0,0.0,DecisionTreeRegressor,9ce50fa197613de1-Corn
15,0.0,0.0,0.0,0.0,1.0,0.0,DecisionTreeRegressor,9ce50fa197613de1-Corn
16,0.0,0.0,0.0,0.0,1.0,0.0,DecisionTreeRegressor,9ce50fa197613de1-Corn
17,0.0,0.0,0.0,0.0,1.0,0.0,DecisionTreeRegressor,9ce50fa197613de1-Corn
18,0.0,0.0,0.0,0.0,1.0,0.0,DecisionTreeRegressor,9ce50fa197613de1-Corn
19,0.0,0.0,0.0,0.0,1.0,0.0,DecisionTreeRegressor,9ce50fa197613de1-Corn
1,10.0,100.0,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,DummyRegressor,9ce50fa197613de1-Corn
2,10.0,125.0,0.040865384615384616,0.04,-0.25,0.040865384615384616,DummyRegressor,9ce50fa197613de1-Corn
3,11.666666666666686,161.11111111111154,0.04805555555555563,0.0476190476190477,-5.4444444444444615,0.04805555555555563,DummyRegressor,9ce50fa197613de1-Corn
4,27.5,1381.25,0.13625,0.12222222222222222,-1.21,0.13625,DummyRegressor,9ce50fa197613de1-Corn
5,27.0,1354.0,0.134,0.12,-1.1663999999999999,0.134,DummyRegressor,9ce50fa197613de1-Corn
6,25.0,961.1111111111114,0.12166666666666667,0.1111111111111111,-0.5377777777777784,0.12166666666666667,DummyRegressor,9ce50fa197613de1-Corn
7,69.28571428571428,5425.510204081631,0.425,0.39591836734693875,-7.680816326530609,0.425,DummyRegressor,9ce50fa197613de1-Corn
8,123.75,16539.0625,1.2880208333333334,1.076086956521739,-12.501275510204081,1.2880208333333334,DummyRegressor,9ce50fa197613de1-Corn
9,148.88888888888889,22167.9012345679,1.8611111111111112,1.8611111111111112,0.0,1.8611111111111112,DummyRegressor,9ce50fa197613de1-Corn
10,144.0,20836.0,2.1208333333333336,2.057142857142857,-207.36,2.1208333333333336,DummyRegressor,9ce50fa197613de1-Corn
11,146.8181818181818,21580.578512396693,2.7,2.6694214876033056,-862.2231404958677,2.7,DummyRegressor,9ce50fa197613de1-Corn
12,145.0,21050.0,3.275,3.2222222222222223,-841.0,3.275,DummyRegressor,9ce50fa197613de1-Corn
13,139.23076923076923,19385.207100591713,3.480769230769231,3.480769230769231,0.0,3.480769230769231,DummyRegressor,9ce50fa197613de1-Corn
14,129.28571428571428,16714.795918367345,3.2321428571428568,3.2321428571428568,0.0,3.2321428571428568,DummyRegressor,9ce50fa197613de1-Corn
15,120.66666666666666,14560.444444444442,3.0166666666666666,3.0166666666666666,0.0,3.0166666666666666,DummyRegressor,9ce50fa197613de1-Corn
16,113.125,12797.265625,2.828125,2.828125,0.0,2.828125,DummyRegressor,9ce50fa197613de1-Corn
17,106.47058823529412,11335.98615916955,2.661764705882353,2.661764705882353,0.0,2.661764705882353,DummyRegressor,9ce50fa197613de1-Corn
18,100.55555555555554,10111.419753086417,2.5138888888888884,2.5138888888888884,0.0,2.5138888888888884,DummyRegressor,9ce50fa197613de1-Corn
19,95.26315789473685,9075.069252077563,2.3815789473684212,2.3815789473684212,0.0,2.3815789473684212,DummyRegressor,9ce50fa197613de1-Corn
1,10.0,100.0,0.038461538461538464,0.038461538461538464,0.0,0.038461538461538464,ElasticNet,9ce50fa197613de1-Corn
2,11.333333333333343,235.22222222222263,0.04706196581196585,0.04533333333333337,-1.3522222222222262,0.04706196581196585,ElasticNet,9ce50fa197613de1-Corn
3,17.73809523809524,328.9716553287982,0.07274603174603175,0.07240038872691935,-12.158866213151928,0.07274603174603175,ElasticNet,9ce50fa197613de1-Corn
4,24.07142857142857,1060.295918367347,0.11928571428571429,0.10698412698412697,-0.6964734693877552,0.11928571428571429,ElasticNet,9ce50fa197613de1-Corn
5,25.700000000000003,1148.9000000000005,0.1267,0.11422222222222224,-0.8382400000000008,0.1267,ElasticNet,9ce50fa197613de1-Corn
6,21.41463414634147,565.7006411527535,0.09119105691056914,0.09517615176151764,0.09487897415559432,0.09119105691056914,ElasticNet,9ce50fa197613de1-Corn
7,51.214285714285666,3151.5380448475635,0.3179100529100526,0.29265306122448953,-4.042460871756101,0.3179100529100526,ElasticNet,9ce50fa197613de1-Corn
8,93.20652173913042,9707.980387523627,0.9864039855072463,0.8104914933837428,-6.924881948998879,0.9864039855072463,ElasticNet,9ce50fa197613de1-Corn
9,94.69896640826877,8992.163228037853,1.1837370801033598,1.1837370801033598,0.0,1.1837370801033598,ElasticNet,9ce50fa197613de1-Corn
10,54.51428571428568,2978.273469387751,0.8002976190476185,0.7787755102040811,-28.78273469387751,0.8002976190476185,ElasticNet,9ce50fa197613de1-Corn
11,35.69913419913422,1287.0137834748243,0.6485714285714288,0.6490751672569859,-50.480551338992974,0.6485714285714288,ElasticNet,9ce50fa197613de1-Corn
12,15.617449664429557,261.8959956758712,0.3407885906040275,0.3470544369873235,-9.475839827034847,0.3407885906040275,ElasticNet,9ce50fa197613de1-Corn
13,9.531830238726798,104.89343131943657,0.23829575596816993,0.23829575596816993,0.0,0.23829575596816993,ElasticNet,9ce50fa197613de1-Corn
14,24.16417910447757,675.8875118771028,0.6041044776119393,0.6041044776119392,0.0,0.6041044776119393,ElasticNet,9ce50fa197613de1-Corn
