train size,mae,mse,mape,wape,r2,mpe,model,key
1,360.0,259200.0,0.043478260869565216,0.041666666666666664,-1.0,0.043478260869565216,AdaBoostRegressor,ad622472210b0b57-Cassava
2,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,ad622472210b0b57-Cassava
3,3000.0,18000000.0,0.2,0.25,-1.0,0.2,AdaBoostRegressor,ad622472210b0b57-Cassava
4,4000.0,20000000.0,0.34285714285714286,0.36363636363636365,-0.25,0.34285714285714286,AdaBoostRegressor,ad622472210b0b57-Cassava
5,7500.0,56500000.0,1.0089285714285714,1.0,-225.0,1.0089285714285714,AdaBoostRegressor,ad622472210b0b57-Cassava
6,1100.0,1220000.0,0.13567073170731708,0.13580246913580246,-121.0,0.13567073170731708,AdaBoostRegressor,ad622472210b0b57-Cassava
7,250.0,65000.0,0.030267411107846018,0.030303030303030304,-25.0,0.030267411107846018,AdaBoostRegressor,ad622472210b0b57-Cassava
8,350.0,125000.0,0.04188181296615032,0.041916167664670656,-49.0,0.04188181296615032,AdaBoostRegressor,ad622472210b0b57-Cassava
9,1450.0,3665000.0,0.25735930735930734,0.20863309352517986,-0.7431629013079668,0.25735930735930734,AdaBoostRegressor,ad622472210b0b57-Cassava
10,3050.0,9365000.0,0.5845454545454545,0.580952380952381,-148.84,0.5845454545454545,AdaBoostRegressor,ad622472210b0b57-Cassava
11,450.0,205000.0,0.0892156862745098,0.0891089108910891,-81.0,0.0892156862745098,AdaBoostRegressor,ad622472210b0b57-Cassava
12,200.0,80000.0,0.0392156862745098,0.03773584905660377,-1.0,0.0392156862745098,AdaBoostRegressor,ad622472210b0b57-Cassava
13,612.5,396423.61111111107,0.13111819953925216,0.12531969309462915,-0.05668934240362811,0.13111819953925216,AdaBoostRegressor,ad622472210b0b57-Cassava
14,1012.5,1070312.5,0.22838123677989297,0.22562674094707522,-22.70242214532872,0.22838123677989297,AdaBoostRegressor,ad622472210b0b57-Cassava
15,425.0,180625.0,0.09042553191489362,0.09042553191489362,0.0,0.09042553191489362,AdaBoostRegressor,ad622472210b0b57-Cassava
16,150.0,45000.0,0.03,0.030927835051546393,-1.0,0.03,AdaBoostRegressor,ad622472210b0b57-Cassava
17,500.0,253402.77777777775,0.11395833333333333,0.1111111111111111,-0.013611111111111018,0.11395833333333333,AdaBoostRegressor,ad622472210b0b57-Cassava
18,1000.0,1000000.0,0.25,0.25,0.0,0.25,AdaBoostRegressor,ad622472210b0b57-Cassava
19,437.5,231406.25,0.10667613636363636,0.10416666666666667,-4.78515625,0.10667613636363636,AdaBoostRegressor,ad622472210b0b57-Cassava
20,345.0,167425.0,0.07257231404958678,0.07467532467532467,-2.459194214876033,0.07257231404958678,AdaBoostRegressor,ad622472210b0b57-Cassava
21,505.0,259694.4444444444,0.11623474239187509,0.11649365628604383,-0.01830975176725569,0.11623474239187509,AdaBoostRegressor,ad622472210b0b57-Cassava
22,335.0,167450.0,0.08552364374818683,0.08043217286914765,-0.49209177990643793,0.08552364374818683,AdaBoostRegressor,ad622472210b0b57-Cassava
23,275.0,78125.0,0.06032608695652174,0.06043956043956044,-30.25,0.06032608695652174,AdaBoostRegressor,ad622472210b0b57-Cassava
24,430.0,184900.0,0.09347826086956522,0.09347826086956522,0.0,0.09347826086956522,AdaBoostRegressor,ad622472210b0b57-Cassava
25,316.66666666666697,100277.77777777797,0.068840579710145,0.068840579710145,0.0,0.068840579710145,AdaBoostRegressor,ad622472210b0b57-Cassava
26,537.5,341806.25,0.10926383399209487,0.11128364389233955,-5.461365784499055,0.10926383399209487,AdaBoostRegressor,ad622472210b0b57-Cassava
27,3384.0,18394681.0,0.36534777251873934,0.439766081871345,-1.6492992809537355,0.36534777251873934,AdaBoostRegressor,ad622472210b0b57-Cassava
28,5800.0,33640000.0,0.5614714424007744,0.5614714424007744,0.0,0.5614714424007744,AdaBoostRegressor,ad622472210b0b57-Cassava
1,360.0,259200.0,0.043478260869565216,0.041666666666666664,-1.0,0.043478260869565216,BaggingRegressor,ad622472210b0b57-Cassava
2,648.0,419904.0,0.072,0.072,0.0,0.072,BaggingRegressor,ad622472210b0b57-Cassava
3,3144.0,18884736.0,0.21280000000000002,0.262,-1.0983040000000002,0.21280000000000002,BaggingRegressor,ad622472210b0b57-Cassava
4,4000.0,20293184.0,0.3401142857142857,0.36363636363636365,-0.268324,0.3401142857142857,BaggingRegressor,ad622472210b0b57-Cassava
5,3900.0,15460000.0,0.5267857142857143,0.52,-60.84,0.5267857142857143,BaggingRegressor,ad622472210b0b57-Cassava
6,3100.0,9620000.0,0.3829268292682927,0.38271604938271603,-961.0,0.3829268292682927,BaggingRegressor,ad622472210b0b57-Cassava
7,550.0,305000.0,0.0666323831913018,0.06666666666666667,-121.0,0.0666323831913018,BaggingRegressor,ad622472210b0b57-Cassava
8,350.0,125000.0,0.04188181296615032,0.041916167664670656,-49.0,0.04188181296615032,BaggingRegressor,ad622472210b0b57-Cassava
