train size,mae,mse,mape,wape,r2,mpe,model,key
1,346.0,129917.0,0.3070919427825641,0.2972508591065292,-11.735712185079894,0.3070919427825641,AdaBoostRegressor,b0e4b4b27117562a-Others-permanent
2,472.0,223409.0,0.4555649556703587,0.45472061657032753,-356.4544,0.4555649556703587,AdaBoostRegressor,b0e4b4b27117562a-Others-permanent
3,75.0,6250.0,0.07660025073832494,0.07591093117408906,-9.0,0.07660025073832494,AdaBoostRegressor,b0e4b4b27117562a-Others-permanent
4,123.0,15658.0,0.13152849544374123,0.13085106382978723,-28.599243856332702,0.13152849544374123,AdaBoostRegressor,b0e4b4b27117562a-Others-permanent
5,45.5,2070.5,0.04959159236213569,0.04959128065395095,-8281.0,0.04959159236213569,AdaBoostRegressor,b0e4b4b27117562a-Others-permanent
6,15.0,421.0,0.015872357869621892,0.016094420600858368,-1.1479591836734695,0.015872357869621892,AdaBoostRegressor,b0e4b4b27117562a-Others-permanent
7,211.5,78404.5,0.16521804237668847,0.18725099601593626,-1.3284603790955458,0.16521804237668847,AdaBoostRegressor,b0e4b4b27117562a-Others-permanent
8,317.0,106573.0,0.25370324413599527,0.25668016194331983,-16.516929651545038,0.25370324413599527,AdaBoostRegressor,b0e4b4b27117562a-Others-permanent
9,166.0,27656.0,0.14481238820867054,0.14472537053182213,-275.56,0.14481238820867054,AdaBoostRegressor,b0e4b4b27117562a-Others-permanent
10,20.0,400.0,0.01759014951627089,0.01759014951627089,0.0,0.01759014951627089,AdaBoostRegressor,b0e4b4b27117562a-Others-permanent
11,80.0,10000.0,0.07762496659687684,0.07428040854224698,-1.7777777777777777,0.07762496659687684,AdaBoostRegressor,b0e4b4b27117562a-Others-permanent
12,113.5,13584.5,0.10948409744621804,0.10876856732151413,-18.344250622997507,0.10948409744621804,AdaBoostRegressor,b0e4b4b27117562a-Others-permanent
13,44.0,2377.0,0.03997428225643784,0.04032997250229148,-4.390022675736962,0.03997428225643784,AdaBoostRegressor,b0e4b4b27117562a-Others-permanent
14,54.0,3060.0,0.05175341798274528,0.05103969754253308,-0.04938271604938271,0.05175341798274528,AdaBoostRegressor,b0e4b4b27117562a-Others-permanent
15,78.0,6084.0,0.07768924302788845,0.07768924302788845,0.0,0.07768924302788845,AdaBoostRegressor,b0e4b4b27117562a-Others-permanent
16,119.66666666666674,21630.361111111128,0.14016453194823755,0.13028488477590283,-1.9589085340598649,0.14016453194823755,AdaBoostRegressor,b0e4b4b27117562a-Others-permanent
17,121.66666666666674,21202.777777777796,0.14202861406395395,0.13326031398320562,-2.3129340277777803,0.14202861406395395,AdaBoostRegressor,b0e4b4b27117562a-Others-permanent
18,296.5,106544.5,0.2515750060852508,0.2625055334218681,-4.7182841578445975,0.2515750060852508,AdaBoostRegressor,b0e4b4b27117562a-Others-permanent
19,340.5,120496.5,0.2534301835858611,0.25534308211473566,-25.44641975308642,0.2534301835858611,AdaBoostRegressor,b0e4b4b27117562a-Others-permanent
20,82.5,9562.5,0.059753945594416685,0.06117908787541713,-2.4693877551020407,0.059753945594416685,AdaBoostRegressor,b0e4b4b27117562a-Others-permanent
21,433.0,295073.0,0.6350405092592593,0.44731404958677684,-1.742721966091612,0.6350405092592593,AdaBoostRegressor,b0e4b4b27117562a-Others-permanent
22,790.5,642980.5,1.7591307277628032,1.5637982195845697,-34.54293058415445,1.7591307277628032,AdaBoostRegressor,b0e4b4b27117562a-Others-permanent
23,219.0,50461.0,0.5419392128922234,0.5201900237529691,-19.1844,0.5419392128922234,AdaBoostRegressor,b0e4b4b27117562a-Others-permanent
1,346.0,129917.0,0.3070919427825641,0.2972508591065292,-11.735712185079894,0.3070919427825641,BaggingRegressor,b0e4b4b27117562a-Others-permanent
2,300.5,90925.25,0.29024747891706965,0.2894990366088632,-144.4804,0.29024747891706965,BaggingRegressor,b0e4b4b27117562a-Others-permanent
3,135.5999999999999,19012.359999999975,0.137975580178346,0.13724696356275295,-29.41977599999996,0.137975580178346,BaggingRegressor,b0e4b4b27117562a-Others-permanent
4,83.0,7418.0,0.08894981264247155,0.08829787234042553,-13.022684310018903,0.08894981264247155,BaggingRegressor,b0e4b4b27117562a-Others-permanent
