train size,mae,mse,mape,wape,r2,mpe,model,key
1,135.0,18450.0,0.9642857142857143,0.627906976744186,-0.012345679012345734,0.9642857142857143,AdaBoostRegressor,b73e63cd3a2904c9-Rice
2,170.0,38900.0,0.6190476190476191,0.68,-2.89,0.6190476190476191,AdaBoostRegressor,b73e63cd3a2904c9-Rice
3,200.0,40000.0,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,AdaBoostRegressor,b73e63cd3a2904c9-Rice
4,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,b73e63cd3a2904c9-Rice
5,25.0,1250.0,0.125,0.14285714285714285,-1.0,0.125,AdaBoostRegressor,b73e63cd3a2904c9-Rice
6,50.0,2500.0,0.25,0.25,0.0,0.25,AdaBoostRegressor,b73e63cd3a2904c9-Rice
7,25.0,1250.0,0.16666666666666666,0.14285714285714285,-1.0,0.16666666666666666,AdaBoostRegressor,b73e63cd3a2904c9-Rice
8,50.0,2500.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,AdaBoostRegressor,b73e63cd3a2904c9-Rice
9,25.0,1250.0,0.125,0.14285714285714285,-1.0,0.125,AdaBoostRegressor,b73e63cd3a2904c9-Rice
10,50.0,2500.0,0.25,0.25,0.0,0.25,AdaBoostRegressor,b73e63cd3a2904c9-Rice
11,25.0,625.0,0.125,0.125,0.0,0.125,AdaBoostRegressor,b73e63cd3a2904c9-Rice
12,125.0,25625.0,0.34375,0.4166666666666667,-1.5625,0.34375,AdaBoostRegressor,b73e63cd3a2904c9-Rice
13,250.0,65000.0,0.55,0.5555555555555556,-25.0,0.55,AdaBoostRegressor,b73e63cd3a2904c9-Rice
14,201.5,50904.5,0.3155049786628734,0.3349958437240233,-3.9411050984008344,0.3155049786628734,AdaBoostRegressor,b73e63cd3a2904c9-Rice
15,356.5,150654.5,0.3968564708533442,0.4162288382953882,-5.393892773398126,0.3968564708533442,AdaBoostRegressor,b73e63cd3a2904c9-Rice
16,310.5,96422.5,0.3063558125724077,0.3063640848544647,-7870.224489795918,0.3063558125724077,AdaBoostRegressor,b73e63cd3a2904c9-Rice
17,153.5,45024.5,0.21470910022573989,0.1777649102489867,-0.9108743859351294,0.21470910022573989,AdaBoostRegressor,b73e63cd3a2904c9-Rice
18,151.0,45002.0,0.21225574792629293,0.1753774680603949,-0.9736853646769879,0.21225574792629293,AdaBoostRegressor,b73e63cd3a2904c9-Rice
19,265.5,71822.5,0.38725522421174596,0.35565974547890156,-0.018899776919502953,0.38725522421174596,AdaBoostRegressor,b73e63cd3a2904c9-Rice
20,536.5,287862.5,1.1285707966559029,1.128286014721346,-9515.11570247934,1.1285707966559029,AdaBoostRegressor,b73e63cd3a2904c9-Rice
21,90.0,14341.0,0.14170212765957446,0.16071428571428573,-0.7704938271604937,0.14170212765957446,AdaBoostRegressor,b73e63cd3a2904c9-Rice
22,155.0,24650.0,0.2467948717948718,0.248,-38.44,0.2467948717948718,AdaBoostRegressor,b73e63cd3a2904c9-Rice
23,185.0,52450.0,0.5265151515151515,0.3978494623655914,-1.877914951989026,0.5265151515151515,AdaBoostRegressor,b73e63cd3a2904c9-Rice
24,435.0,208825.0,6.196969696969697,2.289473684210526,-9.654336734693878,6.196969696969697,AdaBoostRegressor,b73e63cd3a2904c9-Rice
25,295.0,87250.0,10.55,8.428571428571429,-386.77777777777777,10.55,AdaBoostRegressor,b73e63cd3a2904c9-Rice
26,22.5,562.5,0.9642857142857143,0.8181818181818182,-9.0,0.9642857142857143,AdaBoostRegressor,b73e63cd3a2904c9-Rice
27,15.0,225.0,0.42857142857142855,0.42857142857142855,0.0,0.42857142857142855,AdaBoostRegressor,b73e63cd3a2904c9-Rice
28,17.5,406.25,1.0238095238095237,0.7,-3.0625,1.0238095238095237,AdaBoostRegressor,b73e63cd3a2904c9-Rice
1,135.0,18450.0,0.9642857142857143,0.627906976744186,-0.012345679012345734,0.9642857142857143,BaggingRegressor,b73e63cd3a2904c9-Rice
2,146.0,31316.0,0.5047619047619047,0.584,-2.1316,0.5047619047619047,BaggingRegressor,b73e63cd3a2904c9-Rice
3,92.0,8464.0,0.6133333333333333,0.6133333333333333,0.0,0.6133333333333333,BaggingRegressor,b73e63cd3a2904c9-Rice
4,0.0,0.0,0.0,0.0,1.0,0.0,BaggingRegressor,b73e63cd3a2904c9-Rice
5,25.0,1250.0,0.125,0.14285714285714285,-1.0,0.125,BaggingRegressor,b73e63cd3a2904c9-Rice
6,50.0,2500.0,0.25,0.25,0.0,0.25,BaggingRegressor,b73e63cd3a2904c9-Rice
7,25.0,850.0,0.15833333333333333,0.14285714285714285,-0.3600000000000001,0.15833333333333333,BaggingRegressor,b73e63cd3a2904c9-Rice
8,35.0,1225.0,0.23333333333333334,0.23333333333333334,0.0,0.23333333333333334,BaggingRegressor,b73e63cd3a2904c9-Rice
9,25.0,650.0,0.14166666666666666,0.14285714285714285,-0.040000000000000036,0.14166666666666666,BaggingRegressor,b73e63cd3a2904c9-Rice
10,45.0,2025.0,0.225,0.225,0.0,0.225,BaggingRegressor,b73e63cd3a2904c9-Rice
11,15.0,225.0,0.075,0.075,0.0,0.075,BaggingRegressor,b73e63cd3a2904c9-Rice
12,100.0,20000.0,0.25,0.3333333333333333,-1.0,0.25,BaggingRegressor,b73e63cd3a2904c9-Rice
13,255.0,67525.0,0.56125,0.5666666666666667,-26.01,0.56125,BaggingRegressor,b73e63cd3a2904c9-Rice
14,281.5,89544.5,0.4524039829302987,0.4679966749792186,-7.691742095173385,0.4524039829302987,BaggingRegressor,b73e63cd3a2904c9-Rice
15,386.5,172944.5,0.4330450826021436,0.45125510799766494,-6.339897505543825,0.4330450826021436,BaggingRegressor,b73e63cd3a2904c9-Rice
16,421.70000000000005,177843.14000000004,0.41607591732624594,0.41608288110508146,-14516.807346938778,0.41607591732624594,BaggingRegressor,b73e63cd3a2904c9-Rice
17,153.5,25790.090000000004,0.17353172130125888,0.1777649102489867,-0.09455124192299147,0.17353172130125888,BaggingRegressor,b73e63cd3a2904c9-Rice
18,155.29999999999995,46919.08999999999,0.2178287312809664,0.18037166085946568,-1.0577645717293098,0.2178287312809664,BaggingRegressor,b73e63cd3a2904c9-Rice
19,265.5,73581.61,0.43748931738062175,0.35565974547890156,-0.04385514308716454,0.43748931738062175,BaggingRegressor,b73e63cd3a2904c9-Rice
20,385.29999999999995,148486.33999999997,0.8105471756535585,0.8103049421661408,-4907.639338842974,0.8105471756535585,BaggingRegressor,b73e63cd3a2904c9-Rice
21,90.0,13502.25,0.18662847790507364,0.16071428571428573,-0.6669444444444443,0.18662847790507364,BaggingRegressor,b73e63cd3a2904c9-Rice
22,149.5,22975.25,0.23798076923076922,0.2392,-35.7604,0.23798076923076922,BaggingRegressor,b73e63cd3a2904c9-Rice
23,150.10000000000002,40755.01,0.44455303030303034,0.32279569892473126,-1.2362145404663925,0.44455303030303034,BaggingRegressor,b73e63cd3a2904c9-Rice
24,417.0,193489.0,5.98969696969697,2.194736842105263,-8.87188775510204,5.98969696969697,BaggingRegressor,b73e63cd3a2904c9-Rice
25,376.0,141601.0,13.385,10.742857142857142,-628.3377777777778,13.385,BaggingRegressor,b73e63cd3a2904c9-Rice
26,119.5,14336.5,4.775,4.345454545454546,-253.8711111111111,4.775,BaggingRegressor,b73e63cd3a2904c9-Rice
27,79.0,6241.0,2.257142857142857,2.257142857142857,0.0,2.257142857142857,BaggingRegressor,b73e63cd3a2904c9-Rice
28,66.0,4456.0,3.333333333333333,2.64,-43.56,3.333333333333333,BaggingRegressor,b73e63cd3a2904c9-Rice
1,135.0,18450.0,0.9642857142857143,0.627906976744186,-0.012345679012345734,0.9642857142857143,BayesianRidge,b73e63cd3a2904c9-Rice
2,349.99999993333313,124099.99995466653,1.590476190126983,1.3999999997333326,-11.409999995466654,1.590476190126983,BayesianRidge,b73e63cd3a2904c9-Rice
