train size,mae,mse,mape,wape,r2,mpe,model,key
1,18.0,580.0,0.296875,0.375,-1.265625,0.296875,AdaBoostRegressor,c0019c9a4b4819f2-Corn
2,20.5,552.5,0.5818181818181818,0.47126436781609193,-3.177693761814745,0.5818181818181818,AdaBoostRegressor,c0019c9a4b4819f2-Corn
3,295.5,161576.5,0.6824242424242424,0.9022900763358779,-1.1759313189125495,0.6824242424242424,AdaBoostRegressor,c0019c9a4b4819f2-Corn
4,375.0,169525.0,0.8483974358974359,0.872093023255814,-4.865916955017301,0.8483974358974359,AdaBoostRegressor,c0019c9a4b4819f2-Corn
5,340.0,115600.0,1.3076923076923077,1.3076923076923077,0.0,1.3076923076923077,AdaBoostRegressor,c0019c9a4b4819f2-Corn
6,70.0,9800.0,0.5833333333333334,0.3684210526315789,-1.0,0.5833333333333334,AdaBoostRegressor,c0019c9a4b4819f2-Corn
7,155.0,24250.0,1.5277777777777777,1.4761904761904763,-106.77777777777777,1.5277777777777777,AdaBoostRegressor,c0019c9a4b4819f2-Corn
8,25.0,650.0,0.26666666666666666,0.2631578947368421,-25.0,0.26666666666666666,AdaBoostRegressor,c0019c9a4b4819f2-Corn
9,20.0,500.0,0.3,0.25,-0.25,0.3,AdaBoostRegressor,c0019c9a4b4819f2-Corn
10,55.0,3250.0,1.5,1.2222222222222223,-13.444444444444445,1.5,AdaBoostRegressor,c0019c9a4b4819f2-Corn
11,35.0,1450.0,1.0,0.7777777777777778,-5.444444444444445,1.0,AdaBoostRegressor,c0019c9a4b4819f2-Corn
12,40.0,1700.0,0.5625,0.5714285714285714,-16.0,0.5625,AdaBoostRegressor,c0019c9a4b4819f2-Corn
13,20.0,400.0,0.375,0.3333333333333333,0.0,0.375,AdaBoostRegressor,c0019c9a4b4819f2-Corn
14,30.0,900.0,0.75,0.75,0.0,0.75,AdaBoostRegressor,c0019c9a4b4819f2-Corn
15,10.0,100.0,0.25,0.25,0.0,0.25,AdaBoostRegressor,c0019c9a4b4819f2-Corn
16,18.833333333333336,594.9444444444445,1.9490740740740742,0.7687074829931974,-1.4763556480517979,1.9490740740740742,AdaBoostRegressor,c0019c9a4b4819f2-Corn
17,29.5,872.5,2.8888888888888893,2.8095238095238093,-386.77777777777777,2.8888888888888893,AdaBoostRegressor,c0019c9a4b4819f2-Corn
18,2.0,5.0,0.175,0.18181818181818182,-4.0,0.175,AdaBoostRegressor,c0019c9a4b4819f2-Corn
19,14.5,210.25,1.45,1.45,0.0,1.45,AdaBoostRegressor,c0019c9a4b4819f2-Corn
20,1.0,1.0,0.1,0.1,0.0,0.1,AdaBoostRegressor,c0019c9a4b4819f2-Corn
21,2.0,4.0,0.2,0.2,0.0,0.2,AdaBoostRegressor,c0019c9a4b4819f2-Corn
22,10.0,120.25,0.5166666666666667,0.5,-0.2024999999999999,0.5166666666666667,AdaBoostRegressor,c0019c9a4b4819f2-Corn
23,20.0,400.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,AdaBoostRegressor,c0019c9a4b4819f2-Corn
24,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,c0019c9a4b4819f2-Corn
