train size,mae,mse,mape,wape,r2,mpe,model,key
1,175.0,31250.0,0.41666666666666663,0.4117647058823529,-49.0,0.41666666666666663,AdaBoostRegressor,cead2cbd1f8f0b86-Corn
2,100.0,12500.0,0.2121212121212121,0.2,-4.0,0.2121212121212121,AdaBoostRegressor,cead2cbd1f8f0b86-Corn
3,75.0,6250.0,0.14090909090909093,0.14285714285714285,-9.0,0.14090909090909093,AdaBoostRegressor,cead2cbd1f8f0b86-Corn
4,125.0,16250.0,0.26666666666666666,0.2631578947368421,-25.0,0.26666666666666666,AdaBoostRegressor,cead2cbd1f8f0b86-Corn
5,25.0,1250.0,0.05555555555555555,0.05263157894736842,-1.0,0.05555555555555555,AdaBoostRegressor,cead2cbd1f8f0b86-Corn
6,47.5,2262.5,0.09545454545454546,0.09547738693467336,-361.0,0.09545454545454546,AdaBoostRegressor,cead2cbd1f8f0b86-Corn
7,47.5,3012.5,0.11395202020202021,0.10614525139664804,-0.33518005540166196,0.11395202020202021,AdaBoostRegressor,cead2cbd1f8f0b86-Corn
8,78.33333333333331,6161.111111111108,0.1935975609756097,0.19341563786008226,-245.44444444444431,0.1935975609756097,AdaBoostRegressor,cead2cbd1f8f0b86-Corn
9,15.0,250.0,0.03600464576074332,0.03614457831325301,-9.0,0.03600464576074332,AdaBoostRegressor,cead2cbd1f8f0b86-Corn
10,25.0,850.0,0.05634920634920635,0.05747126436781609,-2.7777777777777777,0.05634920634920635,AdaBoostRegressor,cead2cbd1f8f0b86-Corn
11,55.0,3650.0,0.11333333333333334,0.11578947368421053,-4.84,0.11333333333333334,AdaBoostRegressor,cead2cbd1f8f0b86-Corn
12,89.16666666666669,8106.944444444448,0.17349206349206353,0.1739837398373984,-50.88444444444447,0.17349206349206353,AdaBoostRegressor,cead2cbd1f8f0b86-Corn
13,55.833333333333314,3273.611111111109,0.10339105339105337,0.10387596899224803,-19.951111111111096,0.10339105339105337,AdaBoostRegressor,cead2cbd1f8f0b86-Corn
14,62.5,4531.25,0.10700757575757576,0.10869565217391304,-6.25,0.10700757575757576,AdaBoostRegressor,cead2cbd1f8f0b86-Corn
15,250.0,96111.11111111112,2.2222222222222223,0.7142857142857143,-0.5377777777777779,2.2222222222222223,AdaBoostRegressor,cead2cbd1f8f0b86-Corn
16,505.0,255050.0,5.333333333333334,5.315789473684211,-10201.0,5.333333333333334,AdaBoostRegressor,cead2cbd1f8f0b86-Corn
