train size,mae,mse,mape,wape,r2,mpe,model,key
1,11867.112520000002,199422277.25762966,0.10641885402178482,0.1109996348532941,-2.403463791151548,0.10641885402178482,AdaBoostRegressor,f39d21744916469c-Livestock
2,24368.620369999997,617321530.7786169,0.20275702054003605,0.20407044980594272,-25.278090127926063,0.20275702054003605,AdaBoostRegressor,f39d21744916469c-Livestock
3,28879.685799999985,849064822.9709547,0.22467288434419352,0.22538255743710048,-55.496710122469146,0.22467288434419352,AdaBoostRegressor,f39d21744916469c-Livestock
4,11597.031900000002,149265114.77426663,0.08462955487081904,0.0853622648957212,-9.103252974840153,0.08462955487081904,AdaBoostRegressor,f39d21744916469c-Livestock
5,13390.629750000022,211835984.03037396,0.09069388238829976,0.0920928384985378,-5.512616003764383,0.09069388238829976,AdaBoostRegressor,f39d21744916469c-Livestock
6,17665.445999999996,351242478.79049665,0.11085065892231005,0.11225721631442061,-7.966100676833767,0.11085065892231005,AdaBoostRegressor,f39d21744916469c-Livestock
7,16221.92379999999,276870555.19090194,0.09650369255829667,0.09694641461725911,-19.180447021316418,0.09650369255829667,AdaBoostRegressor,f39d21744916469c-Livestock
8,8403.885800000004,71617016.55032367,0.048819793679502274,0.04885166869485328,-71.21495559682518,0.048819793679502274,AdaBoostRegressor,f39d21744916469c-Livestock
9,5066.127949999995,35117742.408723645,0.02847252900085789,0.028768650267712005,-2.715341516823699,0.02847252900085789,AdaBoostRegressor,f39d21744916469c-Livestock
10,11343.102050000001,138922283.8938604,0.061907013292731405,0.0621962827777702,-12.545042170332522,0.061907013292731405,AdaBoostRegressor,f39d21744916469c-Livestock
11,6655.018150000018,44351726.708189726,0.03581097263440363,0.035812716612884744,-709.0805864867287,0.03581097263440363,AdaBoostRegressor,f39d21744916469c-Livestock
12,2654.929099999994,11693055.399876751,0.013975207300409576,0.014104455617171592,-1.5176638734460872,0.013975207300409576,AdaBoostRegressor,f39d21744916469c-Livestock
13,6043.232199999984,38041473.42612687,0.03149719845294862,0.031537311800553726,-24.013823712521674,0.03149719845294862,AdaBoostRegressor,f39d21744916469c-Livestock
14,6090.350099999996,38578111.41377004,0.031343410234978344,0.031381620578152254,-24.965463509666147,0.031343410234978344,AdaBoostRegressor,f39d21744916469c-Livestock
15,5117.681899999996,26236219.71151413,0.02617541935715903,0.02617657990856116,-574.9659929530595,0.02617541935715903,AdaBoostRegressor,f39d21744916469c-Livestock
16,1012.1532000000007,1425923.1456415032,0.005181552828016073,0.005198329185089349,-0.39188582999019483,0.005181552828016073,AdaBoostRegressor,f39d21744916469c-Livestock
17,252.17921666665643,109766.76178812876,0.0012992689492707476,0.0013004953061018087,-1.377323924306105,0.0012992689492707476,AdaBoostRegressor,f39d21744916469c-Livestock
18,3370.547233333331,17027568.865894977,0.01700816551125032,0.01715242751392498,-2.0046988384639643,0.01700816551125032,AdaBoostRegressor,f39d21744916469c-Livestock
19,6139.477799999993,38593102.660375014,0.030700933158715683,0.0307227764129769,-41.885275278732585,0.030700933158715683,AdaBoostRegressor,f39d21744916469c-Livestock
20,4288.525375000012,18399615.815609246,0.021368385756190593,0.02136858416460223,-2252.2191995499666,0.021368385756190593,AdaBoostRegressor,f39d21744916469c-Livestock
21,2098.6682299999957,4567973.865337839,0.010478913873647307,0.010482952153925472,-26.927485605831848,0.010478913873647307,AdaBoostRegressor,f39d21744916469c-Livestock
22,498.38640000000305,265724.4455169852,0.0025024100162962786,0.0025007422562607594,-0.06979150265691003,0.0025024100162962786,AdaBoostRegressor,f39d21744916469c-Livestock
23,549.990775000013,340576.3219071187,0.002764846119722559,0.0027638816293797464,-7.942186765270886,0.002764846119722559,AdaBoostRegressor,f39d21744916469c-Livestock
24,1278.3030799999688,1877873.6012686193,0.006395647408041279,0.006401723155627494,-6.7020480988957285,0.006395647408041279,AdaBoostRegressor,f39d21744916469c-Livestock
25,1365.5148000000045,2459561.123430071,0.006833136229010456,0.006847996360104986,-3.134199392877,0.006833136229010456,AdaBoostRegressor,f39d21744916469c-Livestock
