train size,mae,mse,mape,wape,r2,mpe,model,key
1,20.0,400.0,2.0,2.0,0.0,2.0,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
2,2.5,12.5,0.16666666666666666,0.2,-1.0,0.16666666666666666,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
3,3.0,13.0,0.2121212121212121,0.23076923076923078,-2.25,0.2121212121212121,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
4,7.0,58.0,1.1818181818181819,0.875,-5.444444444444445,1.1818181818181819,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
5,6.0,52.0,1.0769230769230769,0.6666666666666666,-2.25,1.0769230769230769,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
6,9.0,82.0,0.641025641025641,0.6428571428571429,-81.0,0.641025641025641,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
7,7.0,74.0,0.30666666666666664,0.35,-1.96,0.30666666666666664,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
8,9.5,96.5,0.415,0.4222222222222222,-14.44,0.415,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
9,10.0,125.0,0.875,0.6666666666666666,-4.0,0.875,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
10,10.0,100.0,1.0,1.0,0.0,1.0,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
11,2.5,12.5,0.16666666666666666,0.2,-1.0,0.16666666666666666,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
12,7.5,62.5,0.41666666666666663,0.42857142857142855,-9.0,0.41666666666666663,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
13,10.0,106.25,0.4375,0.4444444444444444,-16.0,0.4375,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
14,5.0,31.25,0.2125,0.2222222222222222,-4.0,0.2125,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
15,7.5,62.5,0.4583333333333333,0.42857142857142855,-9.0,0.4583333333333333,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
16,4.166666666666668,23.611111111111118,0.26388888888888895,0.23809523809523817,-2.777777777777779,0.26388888888888895,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
17,40.125,2979.015625,0.48836436170212766,0.7039473684210527,-1.1760523192111032,0.48836436170212766,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
18,75.66666666666667,5725.444444444445,0.8049645390070922,0.8049645390070922,0.0,0.8049645390070922,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
19,19.5,760.5,0.35454545454545455,0.26174496644295303,-1.0,0.35454545454545455,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
20,44.0,1961.0,0.898989898989899,0.88,-77.44,0.898989898989899,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
21,13.5,194.5,0.33479532163742687,0.3253012048192771,-14.877551020408163,0.33479532163742687,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
22,7.0,49.0,0.18421052631578946,0.18421052631578946,0.0,0.18421052631578946,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
23,15.75,444.0625,1.5105263157894737,0.65625,-1.265625,1.5105263157894737,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
24,29.0,847.25,2.458333333333333,2.32,-134.56,2.458333333333333,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
25,2.5,12.5,0.16666666666666666,0.2,-1.0,0.16666666666666666,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
26,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
27,2.0,8.0,0.3333333333333333,0.25,-1.0,0.3333333333333333,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
28,5.5,32.5,1.5,1.2222222222222223,-13.444444444444445,1.5,AdaBoostRegressor,f3c2cc112eb0e6fe-Rice
1,20.0,400.0,2.0,2.0,0.0,2.0,BaggingRegressor,f3c2cc112eb0e6fe-Rice
2,2.5,6.5,0.2,0.2,-0.040000000000000036,0.2,BaggingRegressor,f3c2cc112eb0e6fe-Rice
3,3.0,13.0,0.2121212121212121,0.23076923076923078,-2.25,0.2121212121212121,BaggingRegressor,f3c2cc112eb0e6fe-Rice
