train size,mae,mse,mape,wape,r2,mpe,model,key
1,27.5,768.5,0.07052828646389536,0.07060333761232349,-61.734693877551024,0.07052828646389536,AdaBoostRegressor,77c880feff17c521-Others-permanent
2,43.0,3145.0,0.09275379819091947,0.10023310023310024,-0.7009194159004868,0.09275379819091947,AdaBoostRegressor,77c880feff17c521-Others-permanent
3,113.0,13498.0,0.2241815428239995,0.22645290581162325,-17.515775034293554,0.2241815428239995,AdaBoostRegressor,77c880feff17c521-Others-permanent
4,97.0,11258.0,0.16570988344640772,0.1704745166959578,-5.088696592752839,0.16570988344640772,AdaBoostRegressor,77c880feff17c521-Others-permanent
5,60.5,4310.5,0.10145573380867498,0.10315430520034101,-5.628988850442138,0.10145573380867498,AdaBoostRegressor,77c880feff17c521-Others-permanent
6,59.0,3545.0,0.10692243536280234,0.10669077757685352,-54.390625,0.10692243536280234,AdaBoostRegressor,77c880feff17c521-Others-permanent
7,68.0,7328.0,0.10278462595481551,0.11092985318107668,-0.5847750865051904,0.10278462595481551,AdaBoostRegressor,77c880feff17c521-Others-permanent
8,141.0,20050.0,0.20289033308617205,0.20317002881844382,-117.63905325443787,0.20289033308617205,AdaBoostRegressor,77c880feff17c521-Others-permanent
9,76.5,8402.5,0.13300849166917725,0.12133227597145123,-0.43577256610705284,0.13300849166917725,AdaBoostRegressor,77c880feff17c521-Others-permanent
10,211.5,48154.5,0.44701112772513607,0.42684157416750756,-13.071005917159763,0.44701112772513607,AdaBoostRegressor,77c880feff17c521-Others-permanent
11,96.5,9732.5,0.21336518483766265,0.21092896174863388,-22.158834027364662,0.21336518483766265,AdaBoostRegressor,77c880feff17c521-Others-permanent
12,31.5,1082.5,0.06685217090090337,0.0672358591248666,-10.994459833795014,0.06685217090090337,AdaBoostRegressor,77c880feff17c521-Others-permanent
13,31.0,1105.0,0.061963962381711056,0.06326530612244897,-0.1498439125910509,0.061963962381711056,AdaBoostRegressor,77c880feff17c521-Others-permanent
14,32.0,1924.0,0.0616891435003381,0.065439672801636,-0.87890625,0.0616891435003381,AdaBoostRegressor,77c880feff17c521-Others-permanent
15,21.5,462.5,0.046995786073977815,0.046994535519125684,-1849.0,0.046995786073977815,AdaBoostRegressor,77c880feff17c521-Others-permanent
16,21.5,464.5,0.047108786410096457,0.047097480832420595,-205.44444444444446,0.047108786410096457,AdaBoostRegressor,77c880feff17c521-Others-permanent
17,40.5,1946.5,0.09432234432234432,0.09257142857142857,-5.355918367346939,0.09432234432234432,AdaBoostRegressor,77c880feff17c521-Others-permanent
18,41.5,1747.25,0.09779900332225913,0.0976470588235294,-68.89,0.09779900332225913,AdaBoostRegressor,77c880feff17c521-Others-permanent
19,7.5,56.25,0.01744186046511628,0.01744186046511628,0.0,0.01744186046511628,AdaBoostRegressor,77c880feff17c521-Others-permanent
20,88.0,13444.25,0.3075456364091023,0.24823695345557123,-1.3585369062760404,0.3075456364091023,AdaBoostRegressor,77c880feff17c521-Others-permanent
21,159.5,25440.25,0.5716845878136201,0.5716845878136201,0.0,0.5716845878136201,AdaBoostRegressor,77c880feff17c521-Others-permanent
22,55.0,6050.0,0.3254437869822485,0.24553571428571427,-1.0,0.3254437869822485,AdaBoostRegressor,77c880feff17c521-Others-permanent
23,112.5,12662.5,0.6760535430798095,0.6756756756756757,-2025.0,0.6760535430798095,AdaBoostRegressor,77c880feff17c521-Others-permanent
1,27.5,768.5,0.07052828646389536,0.07060333761232349,-61.734693877551024,0.07052828646389536,BaggingRegressor,77c880feff17c521-Others-permanent
2,43.0,3629.8399999999992,0.09129050671818742,0.10023310023310024,-0.9631368307193073,0.09129050671818742,BaggingRegressor,77c880feff17c521-Others-permanent
3,112.30000000000001,13340.29,0.22277461816072697,0.22505010020040084,-17.299437585733884,0.22277461816072697,BaggingRegressor,77c880feff17c521-Others-permanent
4,146.5,23311.25,0.25320429185615945,0.25746924428822493,-11.607490535424553,0.25320429185615945,BaggingRegressor,77c880feff17c521-Others-permanent
5,90.69999999999999,8876.739999999998,0.15304515745692215,0.15464620630861037,-12.651272587466355,0.15304515745692215,BaggingRegressor,77c880feff17c521-Others-permanent
6,24.600000000000023,669.1600000000012,0.04470326579338996,0.04448462929475592,-9.455625000000019,0.04470326579338996,BaggingRegressor,77c880feff17c521-Others-permanent
7,68.0,5326.25,0.10745665440730712,0.11092985318107668,-0.15187067474048432,0.10745665440730712,BaggingRegressor,77c880feff17c521-Others-permanent
8,140.70000000000005,19965.490000000013,0.20245790469544128,0.20273775216138334,-117.13899408284031,0.20245790469544128,BaggingRegressor,77c880feff17c521-Others-permanent
9,76.5,6752.25,0.1290045649742901,0.12133227597145123,-0.15378700499807763,0.1290045649742901,BaggingRegressor,77c880feff17c521-Others-permanent
10,211.5,48154.5,0.44701112772513607,0.42684157416750756,-13.071005917159763,0.44701112772513607,BaggingRegressor,77c880feff17c521-Others-permanent
11,170.39999999999998,29456.409999999993,0.37522021581149523,0.3724590163934426,-69.09258774538964,0.37522021581149523,BaggingRegressor,77c880feff17c521-Others-permanent
12,38.69999999999999,1587.9399999999991,0.08304937967748696,0.08260405549626465,-16.594903047091403,0.08304937967748696,BaggingRegressor,77c880feff17c521-Others-permanent
13,31.0,1551.4900000000005,0.060369492220005934,0.06326530612244897,-0.6144536940686789,0.060369492220005934,BaggingRegressor,77c880feff17c521-Others-permanent
14,32.0,1042.49,0.06629902938718253,0.065439672801636,-0.01805664062500001,0.06629902938718253,BaggingRegressor,77c880feff17c521-Others-permanent
15,46.80000000000001,2190.4900000000007,0.10229639857433617,0.10229508196721314,-8760.960000000003,0.10229639857433617,BaggingRegressor,77c880feff17c521-Others-permanent
16,1.5,2.7399999999999842,0.0032909448629972644,0.0032858707557502738,-0.21777777777777074,0.0032909448629972644,BaggingRegressor,77c880feff17c521-Others-permanent
17,24.69999999999999,916.3399999999995,0.058150183150183124,0.05645714285714283,-1.992130612244896,0.058150183150183124,BaggingRegressor,77c880feff17c521-Others-permanent
18,30.5,955.25,0.07191306755260243,0.07176470588235294,-37.21,0.07191306755260243,BaggingRegressor,77c880feff17c521-Others-permanent
19,4.0,16.0,0.009302325581395349,0.009302325581395349,0.0,0.009302325581395349,BaggingRegressor,77c880feff17c521-Others-permanent
20,75.5,10884.25,0.2684066850045845,0.21297602256699577,-0.9094337967632999,0.2684066850045845,BaggingRegressor,77c880feff17c521-Others-permanent
21,155.60000000000002,24211.360000000008,0.5577060931899642,0.5577060931899642,0.0,0.5577060931899642,BaggingRegressor,77c880feff17c521-Others-permanent
22,115.39999999999998,16342.159999999994,0.6123857394328858,0.5151785714285714,-4.402366942148759,0.6123857394328858,BaggingRegressor,77c880feff17c521-Others-permanent
23,156.8,24592.490000000005,0.9421796074469622,0.9417417417417419,-3933.798400000001,0.9421796074469622,BaggingRegressor,77c880feff17c521-Others-permanent
1,27.5,768.5,0.07052828646389536,0.07060333761232349,-61.734693877551024,0.07052828646389536,BayesianRidge,77c880feff17c521-Others-permanent
2,27.500000064516144,866.4999981290318,0.06723127259473878,0.06410256425295138,0.5313683082049585,0.06723127259473878,BayesianRidge,77c880feff17c521-Others-permanent
3,101.20244451862976,10794.521139556975,0.20084957874587409,0.20281051005737427,-13.807299231216701,0.20084957874587409,BayesianRidge,77c880feff17c521-Others-permanent
4,78.845703458007,7029.804391059931,0.13555574005574067,0.13856889887171703,-2.8019493732071017,0.13555574005574067,BayesianRidge,77c880feff17c521-Others-permanent
5,45.13749833458087,2488.4256573251814,0.07552918523747963,0.07696078147413618,-2.8268752900041236,0.07552918523747963,BayesianRidge,77c880feff17c521-Others-permanent
6,99.95282026361542,11034.282845872749,0.18162966663737082,0.18074651042245105,-171.4106694667617,0.18162966663737082,BayesianRidge,77c880feff17c521-Others-permanent
7,47.50415742406551,4246.29027927057,0.08663249792705902,0.07749454718444618,0.08168462818543032,0.08663249792705902,BayesianRidge,77c880feff17c521-Others-permanent
8,48.178875904509084,2332.5583712126736,0.06953736152021518,0.06942201138978255,-12.802120539719962,0.06953736152021518,BayesianRidge,77c880feff17c521-Others-permanent
9,94.63549215995613,14315.966443751797,0.16663801505179102,0.15009594315615563,-1.4462328922639665,0.16663801505179102,BayesianRidge,77c880feff17c521-Others-permanent
10,254.03823156902638,70503.47784031984,0.5386052553980272,0.5126906792513146,-19.60149838273646,0.5386052553980272,BayesianRidge,77c880feff17c521-Others-permanent
11,256.5448714484774,65852.79794985904,0.5624831727677198,0.5607538173737211,-155.69910279561938,0.5624831727677198,BayesianRidge,77c880feff17c521-Others-permanent
