train size,mae,mse,mape,wape,r2,mpe,model,key
1,18750.0,352125000.0,6.15,5.769230769230769,-625.0,6.15,RandomForestRegressor,8e0eb10270d768f8-Corn
2,4130.0,18056900.0,0.9020833333333333,0.826,-17.0569,0.9020833333333333,RandomForestRegressor,8e0eb10270d768f8-Corn
3,1625.0,2640625.0,0.2708333333333333,0.2708333333333333,0.0,0.2708333333333333,RandomForestRegressor,8e0eb10270d768f8-Corn
4,1500.0,2628225.0,0.42624999999999996,0.3333333333333333,-0.16809999999999992,0.42624999999999996,RandomForestRegressor,8e0eb10270d768f8-Corn
5,2835.0,8037225.0,0.945,0.945,0.0,0.945,RandomForestRegressor,8e0eb10270d768f8-Corn
6,930.0,874900.0,0.3013541666666667,0.3,-86.49,0.3013541666666667,RandomForestRegressor,8e0eb10270d768f8-Corn
7,320.0,124900.0,0.08776041666666666,0.09090909090909091,-0.2197265625,0.08776041666666666,RandomForestRegressor,8e0eb10270d768f8-Corn
8,620.0,394400.0,0.19375,0.19254658385093168,-0.026014568158168494,0.19375,RandomForestRegressor,8e0eb10270d768f8-Corn
9,742.0,630766.2399999999,0.2533242673095758,0.2220227408737283,-0.1456728736350359,0.2533242673095758,RandomForestRegressor,8e0eb10270d768f8-Corn
10,1074.4,1154399.3600000003,0.2625582761998041,0.26256109481915935,-18036.490000000005,0.2625582761998041,RandomForestRegressor,8e0eb10270d768f8-Corn
11,3880.2,26958452.04,0.3856543237250554,0.513933774834437,-1.2649403100189036,0.3856543237250554,RandomForestRegressor,8e0eb10270d768f8-Corn
12,7921.32,63557310.54239999,0.6637337215909092,0.6656571428571428,-77.46581548444443,0.6637337215909092,RandomForestRegressor,8e0eb10270d768f8-Corn
13,2000.0,6849749.134400003,0.16178764204545454,0.18518518518518517,-0.7124372836000006,0.16178764204545454,RandomForestRegressor,8e0eb10270d768f8-Corn
14,1761.42,3962856.6664,0.19191234695618786,0.1810763299922899,-3.606600261724341,0.19191234695618786,RandomForestRegressor,8e0eb10270d768f8-Corn
15,2479.3199999999997,8552628.6624,0.19004516463560872,0.2031230542356218,-2.5552980990613157,0.19004516463560872,RandomForestRegressor,8e0eb10270d768f8-Corn
16,2978.25,9330335.3125,0.22563692135030378,0.22772106892992316,-19.267377076421884,0.22563692135030378,RandomForestRegressor,8e0eb10270d768f8-Corn
17,1800.0,5743863.1696000025,0.1144745564516129,0.1267605633802817,-0.7727972745679019,0.1144745564516129,RandomForestRegressor,8e0eb10270d768f8-Corn
18,4942.67,25992486.7289,0.28276539695945946,0.28653159420289853,-15.635191506496,0.28276539695945946,RandomForestRegressor,8e0eb10270d768f8-Corn
19,5233.18,29416797.912400004,0.2588530577884676,0.2626439146800502,-13.486573302505388,0.2588530577884676,RandomForestRegressor,8e0eb10270d768f8-Corn
20,2150.0,8360110.224100003,0.10198253243319345,0.11197916666666667,-0.8085690046727967,0.10198253243319345,RandomForestRegressor,8e0eb10270d768f8-Corn
21,3466.0499999999993,13514127.602499994,0.22637233860924755,0.2190236966824644,-8.005666040816322,0.22637233860924755,RandomForestRegressor,8e0eb10270d768f8-Corn
22,4876.57,25470934.964899994,0.3798423573059361,0.3666593984962406,-14.0715591508284,0.3798423573059361,RandomForestRegressor,8e0eb10270d768f8-Corn
23,5035.0,27367625.0,0.2968642387856819,0.29556794834164957,-0.07953856273217563,0.2968642387856819,RandomForestRegressor,8e0eb10270d768f8-Corn
24,7035.0,51346269.0,0.5447981139555959,0.4679082141669438,-0.03748228094980477,0.5447981139555959,RandomForestRegressor,8e0eb10270d768f8-Corn
25,11731.5,137628092.25,1.4664375,1.4664375,0.0,1.4664375,RandomForestRegressor,8e0eb10270d768f8-Corn
26,7000.0,58173629.44,0.47612727272727273,0.4666666666666667,-0.18721692734693862,0.47612727272727273,RandomForestRegressor,8e0eb10270d768f8-Corn
27,6121.1,71328626.21000001,0.2859432107701216,0.3782893517087943,-1.106527558846064,0.2859432107701216,RandomForestRegressor,8e0eb10270d768f8-Corn
28,7061.4000000000015,50630745.96000002,0.7594063137421847,0.7444022770398484,-64.97905845374369,0.7594063137421847,RandomForestRegressor,8e0eb10270d768f8-Corn
1,18750.0,352125000.0,6.15,5.769230769230769,-625.0,6.15,BaggingRegressor,8e0eb10270d768f8-Corn
2,1400.0,2960000.0,0.3333333333333333,0.28,-1.96,0.3333333333333333,BaggingRegressor,8e0eb10270d768f8-Corn
3,2450.0,6002500.0,0.4083333333333333,0.4083333333333333,0.0,0.4083333333333333,BaggingRegressor,8e0eb10270d768f8-Corn
