train size,mae,mse,mape,wape,r2,mpe,model,key
1,2.5,8.5,0.046840958605664486,0.047619047619047616,-2.7777777777777777,0.046840958605664486,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
2,3.0,9.0,0.05555555555555555,0.05555555555555555,0.0,0.05555555555555555,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
3,0.5,0.5,0.00909090909090909,0.009174311926605505,-1.0,0.00909090909090909,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
4,1.5,2.5,0.026948051948051947,0.02702702702702703,-9.0,0.026948051948051947,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
5,5.5,50.5,0.08585164835164835,0.09090909090909091,-1.4938271604938271,0.08585164835164835,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
6,9.0,81.0,0.13846153846153847,0.13846153846153847,0.0,0.13846153846153847,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
7,0.5,0.5,0.007575757575757576,0.007633587786259542,-1.0,0.007575757575757576,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
8,0.5,0.5,0.007575757575757576,0.007633587786259542,-1.0,0.007575757575757576,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
9,3.0,13.0,0.0429035752979415,0.04411764705882353,-0.4444444444444444,0.0429035752979415,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
10,28.5,1318.5,0.2620811073336571,0.3048128342245989,-1.6044444444444443,0.2620811073336571,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
11,50.5,2580.5,0.41443795818626117,0.4156378600823045,-84.30578512396694,0.41443795818626117,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
12,8.5,78.5,0.06789725054859946,0.06827309236947791,-11.56,0.06789725054859946,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
13,16.5,404.5,0.16190594469282993,0.1493212669683258,-2.058601134215501,0.16190594469282993,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
14,25.5,656.5,0.2650977863743821,0.26424870466321243,-104.04,0.2650977863743821,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
15,2.5,12.5,0.026595744680851064,0.025906735751295335,-1.0,0.026595744680851064,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
16,34.0,1997.0,0.2258894679276845,0.265625,-1.3745541022592151,0.2258894679276845,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
17,54.66666666666667,3013.4444444444453,0.3589554717853171,0.35964912280701755,-119.5377777777778,0.3589554717853171,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
18,32.5,1562.5,0.16373058657425235,0.181058495821727,-0.47928994082840237,0.16373058657425235,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
19,65.5,4290.5,0.30823146425724157,0.30823529411764705,-17161.0,0.30823146425724157,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
20,3.0,13.0,0.014424712526365926,0.014285714285714285,-0.4444444444444444,0.014424712526365926,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
21,4.5,20.5,0.021692679301374952,0.021686746987951807,-81.0,0.021692679301374952,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
22,4.0,25.0,0.019903846153846154,0.0196078431372549,-0.5625,0.019903846153846154,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
23,5.0,34.0,0.024761904761904763,0.024390243902439025,-0.3600000000000001,0.024761904761904763,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
24,20.5,530.5,0.09090909090909091,0.09297052154195011,-3.811791383219955,0.09090909090909091,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
25,24.333333333333343,592.1111111111115,0.10533910533910538,0.10533910533910538,0.0,0.10533910533910538,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
26,39.5,3120.5,0.2598684210526316,0.206266318537859,-1.0,0.2598684210526316,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
27,79.0,6241.0,0.5197368421052632,0.5197368421052632,0.0,0.5197368421052632,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
28,10.5,220.5,0.06069364161849711,0.06461538461538462,-1.0,0.06069364161849711,AdaBoostRegressor,ab984377b2dc0284-Others-permanent
1,2.5,8.5,0.046840958605664486,0.047619047619047616,-2.7777777777777777,0.046840958605664486,BaggingRegressor,ab984377b2dc0284-Others-permanent
2,3.200000000000003,10.240000000000018,0.05925925925925931,0.05925925925925931,0.0,0.05925925925925931,BaggingRegressor,ab984377b2dc0284-Others-permanent
3,1.1000000000000014,1.460000000000003,0.020101010101010126,0.020183486238532135,-4.840000000000012,0.020101010101010126,BaggingRegressor,ab984377b2dc0284-Others-permanent
4,1.5,2.5,0.026948051948051947,0.02702702702702703,-9.0,0.026948051948051947,BaggingRegressor,ab984377b2dc0284-Others-permanent
5,5.700000000000003,52.74000000000004,0.08917582417582423,0.09421487603305789,-1.6044444444444461,0.08917582417582423,BaggingRegressor,ab984377b2dc0284-Others-permanent
6,9.5,90.25,0.14615384615384616,0.14615384615384616,0.0,0.14615384615384616,BaggingRegressor,ab984377b2dc0284-Others-permanent
7,6.899999999999999,47.85999999999998,0.10529137529137526,0.10534351145038166,-190.4399999999999,0.10529137529137526,BaggingRegressor,ab984377b2dc0284-Others-permanent
8,1.4000000000000057,2.210000000000016,0.021317016317016404,0.021374045801526805,-7.840000000000064,0.021317016317016404,BaggingRegressor,ab984377b2dc0284-Others-permanent
9,3.0,14.289999999999988,0.04270855904658721,0.04411764705882353,-0.5877777777777764,0.04270855904658721,BaggingRegressor,ab984377b2dc0284-Others-permanent
10,28.299999999999997,1307.1399999999999,0.2598105876639145,0.3026737967914438,-1.5820049382716048,0.2598105876639145,BaggingRegressor,ab984377b2dc0284-Others-permanent
