train size,mae,mse,mape,wape,r2,mpe,model,key
1,3341.175449999806,17326393.445157707,0.02549032205106487,0.02513272005517789,-1.8113843853046978,0.02549032205106487,RandomForestRegressor,eac302b92f87d9ca-Livestock
2,3983.9404499998054,16097228.086932272,0.029303688057051268,0.02931553747648612,-70.40151890926678,0.029303688057051268,RandomForestRegressor,eac302b92f87d9ca-Livestock
3,5989.486299999997,49814039.07917755,0.047352681871853236,0.04593730662229698,-0.3885854343346773,0.047352681871853236,RandomForestRegressor,eac302b92f87d9ca-Livestock
4,16403.249224999956,292882811.2684681,0.13914870580714836,0.13724931653694378,-11.297616324996293,0.13914870580714836,RandomForestRegressor,eac302b92f87d9ca-Livestock
5,8644.691550000003,98662125.3276128,0.07326603480650543,0.07012312494136995,-0.3202356715054553,0.07326603480650543,RandomForestRegressor,eac302b92f87d9ca-Livestock
6,29598.055928,1146645083.7570357,0.18952134943411975,0.19948360518481792,-3.23741451391132,0.18952134943411975,RandomForestRegressor,eac302b92f87d9ca-Livestock
7,43930.809242000134,1978137582.3648155,0.2545390435951259,0.2557574283599373,-40.0218311450449,0.2545390435951259,RandomForestRegressor,eac302b92f87d9ca-Livestock
8,21469.596193000165,520030838.5024296,0.12376487033071565,0.12553496419523702,-7.801062728892946,0.12376487033071565,RandomForestRegressor,eac302b92f87d9ca-Livestock
9,5024.661261999718,26568669.906689607,0.031032180596987705,0.0309803862049375,-19.105707990397782,0.031032180596987705,RandomForestRegressor,eac302b92f87d9ca-Livestock
10,4636.381050000011,21978292.07109517,0.02788928412849385,0.027984744764221706,-0.02243497275211359,0.02788928412849385,RandomForestRegressor,eac302b92f87d9ca-Livestock
11,7958.894253000224,63871068.72105189,0.04651580862958461,0.046532987674568975,-120.1811498995638,0.04651580862958461,RandomForestRegressor,eac302b92f87d9ca-Livestock
12,9763.612049000134,128996985.49277827,0.05397556165973324,0.054985768740012396,-2.8313434247709304,0.05397556165973324,RandomForestRegressor,eac302b92f87d9ca-Livestock
13,13306.093137000033,177131969.1353296,0.07245085843191051,0.07245305451595131,-2217.182135939609,0.07245085843191051,RandomForestRegressor,eac302b92f87d9ca-Livestock
14,3533.144732999921,12660076.131103048,0.019247661241026157,0.01925281484375836,-70.54023190766722,0.019247661241026157,RandomForestRegressor,eac302b92f87d9ca-Livestock
15,4416.750321999891,34534141.3725321,0.023203040010964612,0.02362291719577542,-1.2982223389893566,0.023203040010964612,RandomForestRegressor,eac302b92f87d9ca-Livestock
16,13816.460125000012,227148073.4978946,0.06931133837963847,0.07018192374424403,-5.265548264260981,0.06931133837963847,RandomForestRegressor,eac302b92f87d9ca-Livestock
17,13675.506232000276,187129724.31786755,0.06751238512369254,0.06751489093424107,-1696.2660892806134,0.06751238512369254,RandomForestRegressor,eac302b92f87d9ca-Livestock
18,3820.750443000041,14620158.600174708,0.018907060991049385,0.01890759015984988,-662.8088209115397,0.018907060991049385,RandomForestRegressor,eac302b92f87d9ca-Livestock
19,1072.3105639998394,1479679.1076526535,0.005317453624062529,0.005325545712369608,-3.486198548177419,0.005317453624062529,RandomForestRegressor,eac302b92f87d9ca-Livestock
20,5317.242449999991,49894151.62135499,0.025234644388041343,0.02579993648803302,-0.7647236906136008,0.025234644388041343,RandomForestRegressor,eac302b92f87d9ca-Livestock
21,5548.003670000238,53065667.612064935,0.026334024149695285,0.026841929646642754,-1.3811935718697885,0.026334024149695285,RandomForestRegressor,eac302b92f87d9ca-Livestock
22,7593.906599000184,60173042.71347743,0.037960775045151586,0.03789600808855969,-23.015180248403713,0.037960775045151586,RandomForestRegressor,eac302b92f87d9ca-Livestock
23,4461.651236000107,22253178.349453695,0.0223305029325505,0.022270723274389396,-8.482161454764746,0.0223305029325505,RandomForestRegressor,eac302b92f87d9ca-Livestock
24,4382.22540000001,27573301.641944822,0.022526122181801875,0.022189968676039593,-0.43581785066824263,0.022526122181801875,RandomForestRegressor,eac302b92f87d9ca-Livestock
25,14156.969132999846,239804747.19986293,0.07699030642510936,0.0757750871320989,-5.088737251917179,0.07699030642510936,RandomForestRegressor,eac302b92f87d9ca-Livestock
26,14049.004003999944,199387206.17004246,0.07726978843969728,0.07720431065598252,-98.06490423218007,0.07726978843969728,RandomForestRegressor,eac302b92f87d9ca-Livestock
27,2815.274749999997,8663462.405804021,0.015052865769441068,0.015119163222527335,-0.09307490746009073,0.015052865769441068,RandomForestRegressor,eac302b92f87d9ca-Livestock
28,6284.847773999878,46359703.003729284,0.03261432567702998,0.032795032754152006,-5.7575885814563845,0.03261432567702998,RandomForestRegressor,eac302b92f87d9ca-Livestock
29,9921.19452199983,108041357.834467,0.05003520670702313,0.05026961386724166,-10.241126609174595,0.05003520670702313,RandomForestRegressor,eac302b92f87d9ca-Livestock
30,18857.635854000066,473044791.6504938,0.08684533484864451,0.08924723285889974,-3.028163350235558,0.08684533484864451,RandomForestRegressor,eac302b92f87d9ca-Livestock
31,25528.607284999904,651760211.4241421,0.11480775965587829,0.1148086623664644,-12925.232881647935,0.11480775965587829,RandomForestRegressor,eac302b92f87d9ca-Livestock
1,3341.1754500000097,17326393.445159066,0.025490322051066404,0.02513272005517942,-1.8113843853049185,0.025490322051066404,BaggingRegressor,eac302b92f87d9ca-Livestock
2,3110.3850900000107,9899941.985881995,0.022875615692906495,0.022887543580678626,-42.91258489276394,0.022875615692906495,BaggingRegressor,eac302b92f87d9ca-Livestock
3,5989.486299999997,56516035.4235183,0.047638566065658514,0.04593730662229698,-0.5754061514807776,0.047638566065658514,BaggingRegressor,eac302b92f87d9ca-Livestock
4,16574.272409999983,298522732.0518931,0.14058208149433582,0.1386803022478388,-11.534426336473402,0.14058208149433582,BaggingRegressor,eac302b92f87d9ca-Livestock
5,8644.691550000003,80083343.994597,0.0717921500403049,0.07012312494136995,-0.07162588565805539,0.0717921500403049,BaggingRegressor,eac302b92f87d9ca-Livestock
6,25582.255640000003,925051972.6703315,0.16211902039389747,0.17241810057528592,-2.4185195669021313,0.16211902039389747,BaggingRegressor,eac302b92f87d9ca-Livestock
7,45783.75021999999,2144373365.9151602,0.2653441993735546,0.26654492414280384,-43.4691627684167,0.2653441993735546,BaggingRegressor,eac302b92f87d9ca-Livestock
8,22819.347190000015,579809883.989704,0.13167298021077795,0.1334270988007358,-8.812770285933121,0.13167298021077795,BaggingRegressor,eac302b92f87d9ca-Livestock
9,9066.701410000009,83526523.56694517,0.05595530462715293,0.055902258210111244,-62.208278705259524,0.05595530462715293,BaggingRegressor,eac302b92f87d9ca-Livestock
10,4636.381050000011,27368556.027234692,0.02841633126077458,0.027984744764221706,-0.27319123549057633,0.02841633126077458,BaggingRegressor,eac302b92f87d9ca-Livestock
11,8231.485059999992,68284417.28361496,0.048109584448286724,0.04812673477801106,-128.55449740146187,0.048109584448286724,BaggingRegressor,eac302b92f87d9ca-Livestock
12,10971.227600000013,154036700.30039972,0.06078376456070202,0.06178670153833287,-3.575048762689006,0.06078376456070202,BaggingRegressor,eac302b92f87d9ca-Livestock
13,12875.327429999961,165853910.99451965,0.07010528901301159,0.07010749065046983,-2075.949657024863,0.07010528901301159,BaggingRegressor,eac302b92f87d9ca-Livestock
