train size,mae,mse,mape,wape,r2,mpe,model,key
1,2.5,6.5,0.18681318681318682,0.18518518518518517,-25.0,0.18681318681318682,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
2,2.5,8.5,0.23846153846153847,0.21739130434782608,-2.7777777777777777,0.23846153846153847,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
3,6.0,40.0,0.8666666666666667,0.75,-9.0,0.8666666666666667,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
4,4.0,16.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
5,0.5,0.5,0.07142857142857142,0.07692307692307693,-1.0,0.07142857142857142,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
6,2.0,5.0,0.5714285714285714,0.4,-0.25,0.5714285714285714,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
7,3.5,12.5,0.8166666666666667,0.5384615384615384,-0.020408163265306145,0.8166666666666667,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
8,8.0,65.0,0.725,0.7272727272727273,-64.0,0.725,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
9,1.0,2.0,0.08333333333333333,0.09090909090909091,-1.0,0.08333333333333333,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
10,3.0,10.0,0.35,0.3333333333333333,-9.0,0.35,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
11,2.5,6.5,0.3392857142857143,0.3333333333333333,-25.0,0.3392857142857143,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
12,4.5,32.5,1.8014398509481984e+16,1.2857142857142858,-1.6530612244897958,inf,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
13,7.666666666666667,58.777777777777786,3.4527597143173804e+16,inf,0.0,inf,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
14,0.0,0.0,0.0,,1.0,,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
15,0.0,0.0,0.0,,1.0,,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
16,0.0,0.0,0.0,,1.0,,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
17,0.0,0.0,0.0,,1.0,,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
18,5.0,50.0,0.5,1.0,-1.0,,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
19,10.0,100.0,1.0,1.0,0.0,1.0,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
20,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
21,5.0,50.0,2.251799813685248e+16,1.0,-1.0,inf,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
22,10.0,100.0,4.503599627370496e+16,inf,0.0,inf,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
23,0.0,0.0,0.0,,1.0,,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
24,0.0,0.0,0.0,,1.0,,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
25,0.0,0.0,0.0,,1.0,,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
26,12.5,312.5,0.5,1.0,-1.0,,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
27,20.0,425.0,1.0,1.0,-16.0,1.0,AdaBoostRegressor,1096f26c5a236d0b-Others-temporary
1,2.5,6.5,0.18681318681318682,0.18518518518518517,-25.0,0.18681318681318682,BaggingRegressor,1096f26c5a236d0b-Others-temporary
2,3.0999999999999996,11.859999999999998,0.2915384615384615,0.2695652173913043,-4.27111111111111,0.2915384615384615,BaggingRegressor,1096f26c5a236d0b-Others-temporary
3,5.1,30.009999999999998,0.7466666666666666,0.6375,-6.5024999999999995,0.7466666666666666,BaggingRegressor,1096f26c5a236d0b-Others-temporary
4,5.0,25.0,0.8333333333333334,0.8333333333333334,0.0,0.8333333333333334,BaggingRegressor,1096f26c5a236d0b-Others-temporary
5,0.7000000000000002,0.7400000000000002,0.11428571428571432,0.10769230769230773,-1.9600000000000009,0.11428571428571432,BaggingRegressor,1096f26c5a236d0b-Others-temporary
6,2.0,5.960000000000001,0.6095238095238096,0.4,-0.4900000000000002,0.6095238095238096,BaggingRegressor,1096f26c5a236d0b-Others-temporary
7,3.5,12.5,0.8166666666666667,0.5384615384615384,-0.020408163265306145,0.8166666666666667,BaggingRegressor,1096f26c5a236d0b-Others-temporary
8,7.199999999999999,52.84,0.6516666666666666,0.6545454545454544,-51.84,0.6516666666666666,BaggingRegressor,1096f26c5a236d0b-Others-temporary
9,2.3000000000000007,6.290000000000003,0.20250000000000007,0.20909090909090916,-5.290000000000003,0.20250000000000007,BaggingRegressor,1096f26c5a236d0b-Others-temporary
10,1.0,2.0,0.125,0.1111111111111111,-1.0,0.125,BaggingRegressor,1096f26c5a236d0b-Others-temporary
11,2.9000000000000004,8.660000000000002,0.3928571428571429,0.3866666666666667,-33.64000000000001,0.3928571428571429,BaggingRegressor,1096f26c5a236d0b-Others-temporary
12,5.9,47.06000000000001,2.1166918248641332e+16,1.6857142857142857,-2.8416326530612253,inf,BaggingRegressor,1096f26c5a236d0b-Others-temporary
13,7.9,62.410000000000004,3.557843705622692e+16,inf,0.0,inf,BaggingRegressor,1096f26c5a236d0b-Others-temporary
14,4.2,17.64,1.8915118434956084e+16,inf,0.0,inf,BaggingRegressor,1096f26c5a236d0b-Others-temporary
