train size,mae,mse,mape,wape,r2,mpe,model,key
1,21.0,441.0,0.006572769953051643,0.006572769953051643,0.0,0.006572769953051643,AdaBoostRegressor,205ccde9be499e17-Cocoa
2,241.0,106481.0,0.06669766420623696,0.0705710102489019,-1.200020661157025,0.06669766420623696,AdaBoostRegressor,205ccde9be499e17-Cocoa
3,466.0,217832.0,0.12724360732101225,0.1272876263316034,-321.23668639053255,0.12724360732101225,AdaBoostRegressor,205ccde9be499e17-Cocoa
4,26.0,1352.0,0.007051803634391104,0.0071018847309478285,-1.0,0.007051803634391104,AdaBoostRegressor,205ccde9be499e17-Cocoa
5,52.0,2704.0,0.014305364511691884,0.014305364511691884,0.0,0.014305364511691884,AdaBoostRegressor,205ccde9be499e17-Cocoa
6,8.5,144.5,0.0023274917853231105,0.00233292164127899,-1.0,0.0023274917853231105,AdaBoostRegressor,205ccde9be499e17-Cocoa
7,226.0,94757.0,0.07029624178532311,0.06596614127262113,-0.8552157569112695,0.07029624178532311,AdaBoostRegressor,205ccde9be499e17-Cocoa
8,452.0,204304.0,0.14125,0.14125,0.0,0.14125,AdaBoostRegressor,205ccde9be499e17-Cocoa
9,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,205ccde9be499e17-Cocoa
10,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,205ccde9be499e17-Cocoa
11,550.0,605000.0,0.2619047619047619,0.20754716981132076,-1.0,0.2619047619047619,AdaBoostRegressor,205ccde9be499e17-Cocoa
12,1100.0,1210000.0,0.5238095238095238,0.5238095238095238,0.0,0.5238095238095238,AdaBoostRegressor,205ccde9be499e17-Cocoa
13,27.5,1512.5,0.012761020881670533,0.012925969447708578,-1.0,0.012761020881670533,AdaBoostRegressor,205ccde9be499e17-Cocoa
14,55.0,3025.0,0.025522041763341066,0.025522041763341066,0.0,0.025522041763341066,AdaBoostRegressor,205ccde9be499e17-Cocoa
15,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,205ccde9be499e17-Cocoa
16,53.5,5724.5,0.026123046875,0.025458006186057577,-1.0,0.026123046875,AdaBoostRegressor,205ccde9be499e17-Cocoa
17,500.0,404449.0,0.17261254818733596,0.19623233908948196,-0.617796,0.17261254818733596,AdaBoostRegressor,205ccde9be499e17-Cocoa
18,1024.0,1054352.0,0.32738681102362205,0.32778489116517284,-181.54016620498615,0.32738681102362205,AdaBoostRegressor,205ccde9be499e17-Cocoa
19,152.0,23104.0,0.0475,0.0475,0.0,0.0475,AdaBoostRegressor,205ccde9be499e17-Cocoa
20,576.0,663552.0,0.28125,0.21951219512195122,-1.0,0.28125,AdaBoostRegressor,205ccde9be499e17-Cocoa
21,576.0,663552.0,0.28125,0.21951219512195122,-1.0,0.28125,AdaBoostRegressor,205ccde9be499e17-Cocoa
22,1152.0,1327104.0,0.36,0.36,0.0,0.36,AdaBoostRegressor,205ccde9be499e17-Cocoa
23,50.0,5000.0,0.016129032258064516,0.015873015873015872,-1.0,0.016129032258064516,AdaBoostRegressor,205ccde9be499e17-Cocoa
24,324.0,155152.0,0.11944728263513842,0.11265646731571627,-2.092155612244898,0.11944728263513842,AdaBoostRegressor,205ccde9be499e17-Cocoa
25,274.0,125252.0,0.10195591884396438,0.0952712100139082,-1.4962531887755102,0.10195591884396438,AdaBoostRegressor,205ccde9be499e17-Cocoa
26,598.0,380104.0,0.18225806451612903,0.184,-15.89351111111111,0.18225806451612903,AdaBoostRegressor,205ccde9be499e17-Cocoa
27,524.0,274576.0,0.15411764705882353,0.15411764705882353,0.0,0.15411764705882353,AdaBoostRegressor,205ccde9be499e17-Cocoa
28,185.0,41450.0,0.05252100840336134,0.05308464849354376,-4.737024221453288,0.05252100840336134,AdaBoostRegressor,205ccde9be499e17-Cocoa
1,21.0,441.0,0.006572769953051643,0.006572769953051643,0.0,0.006572769953051643,BaggingRegressor,205ccde9be499e17-Cocoa
2,224.19999999999982,98665.63999999991,0.06175768965005064,0.06565153733528545,-1.0385462809917336,0.06175768965005064,BaggingRegressor,205ccde9be499e17-Cocoa
3,468.0999999999999,219793.60999999993,0.12781725002042565,0.12786124009833377,-324.13847633136083,0.12781725002042565,BaggingRegressor,205ccde9be499e17-Cocoa
4,158.0,25640.0,0.04310934474037745,0.0431576072111445,-36.928994082840234,0.04310934474037745,BaggingRegressor,205ccde9be499e17-Cocoa
5,41.59999999999991,1730.5599999999924,0.011444291609353483,0.011444291609353483,0.0,0.011444291609353483,BaggingRegressor,205ccde9be499e17-Cocoa
6,47.30000000000018,2309.5400000000172,0.012976650882635256,0.012982022780293723,-30.965951557093664,0.012976650882635256,BaggingRegressor,205ccde9be499e17-Cocoa
7,226.0,94757.0,0.07029624178532311,0.06596614127262113,-0.8552157569112695,0.07029624178532311,BaggingRegressor,205ccde9be499e17-Cocoa
8,445.1999999999998,198203.03999999983,0.13912499999999994,0.13912499999999994,0.0,0.13912499999999994,BaggingRegressor,205ccde9be499e17-Cocoa
9,182.5999999999999,33342.759999999966,0.057062499999999974,0.057062499999999974,0.0,0.057062499999999974,BaggingRegressor,205ccde9be499e17-Cocoa
10,90.40000000000009,8172.160000000016,0.02825000000000003,0.02825000000000003,0.0,0.02825000000000003,BaggingRegressor,205ccde9be499e17-Cocoa
11,550.0,605000.0,0.2619047619047619,0.20754716981132076,-1.0,0.2619047619047619,BaggingRegressor,205ccde9be499e17-Cocoa
12,1100.0,1210000.0,0.5238095238095238,0.5238095238095238,0.0,0.5238095238095238,BaggingRegressor,205ccde9be499e17-Cocoa
13,522.5,273762.5,0.24580156888741578,0.245593419506463,-361.0,0.24580156888741578,BaggingRegressor,205ccde9be499e17-Cocoa
14,55.0,3025.0,0.025522041763341066,0.025522041763341066,0.0,0.025522041763341066,BaggingRegressor,205ccde9be499e17-Cocoa
15,16.5,272.25,0.00765661252900232,0.00765661252900232,0.0,0.00765661252900232,BaggingRegressor,205ccde9be499e17-Cocoa
16,53.5,5724.5,0.026123046875,0.025458006186057577,-1.0,0.026123046875,BaggingRegressor,205ccde9be499e17-Cocoa
17,500.0,413216.0,0.17173146325459318,0.19623233908948196,-0.6528640000000001,0.17173146325459318,BaggingRegressor,205ccde9be499e17-Cocoa
18,1001.0999999999999,1007977.2099999998,0.320052124343832,0.32045454545454544,-173.51128981994458,0.320052124343832,BaggingRegressor,205ccde9be499e17-Cocoa
19,552.0,304704.0,0.1725,0.1725,0.0,0.1725,BaggingRegressor,205ccde9be499e17-Cocoa
20,576.0,613100.1600000001,0.2772421875,0.21951219512195122,-0.8479340277777783,0.2772421875,BaggingRegressor,205ccde9be499e17-Cocoa
21,576.0,646272.6400000002,0.2799140625,0.21951219512195122,-0.947918595679013,0.2799140625,BaggingRegressor,205ccde9be499e17-Cocoa
22,821.5999999999999,675026.5599999998,0.25675,0.25675,0.0,0.25675,BaggingRegressor,205ccde9be499e17-Cocoa
23,310.8000000000002,99096.64000000012,0.09843951612903232,0.09866666666666672,-38.63865600000005,0.09843951612903232,BaggingRegressor,205ccde9be499e17-Cocoa
24,224.0,93773.44000000009,0.08405040626672505,0.07788595271210014,-0.8688903061224507,0.08405040626672505,BaggingRegressor,205ccde9be499e17-Cocoa
