train size,mae,mse,mape,wape,r2,mpe,model,key
1,100.0,20000.0,0.25,0.2,-1.0,0.25,AdaBoostRegressor,3fdbc27a4bed0deb-Beans
2,300.0,100000.0,1.25,1.0,-9.0,1.25,AdaBoostRegressor,3fdbc27a4bed0deb-Beans
3,400.0,200000.0,0.8,0.6666666666666666,-0.25,0.8,AdaBoostRegressor,3fdbc27a4bed0deb-Beans
4,800.0,640000.0,0.8,0.8,0.0,0.8,AdaBoostRegressor,3fdbc27a4bed0deb-Beans
5,250.0,125000.0,0.5,0.3333333333333333,-1.0,0.5,AdaBoostRegressor,3fdbc27a4bed0deb-Beans
6,600.0,370000.0,1.6666666666666667,1.5,-36.0,1.6666666666666667,AdaBoostRegressor,3fdbc27a4bed0deb-Beans
7,850.0,1145000.0,0.7083333333333333,0.7391304347826086,-0.5847750865051904,0.7083333333333333,AdaBoostRegressor,3fdbc27a4bed0deb-Beans
8,950.0,1465000.0,0.625,0.76,-1.6044444444444443,0.625,AdaBoostRegressor,3fdbc27a4bed0deb-Beans
9,1425.0,2036250.0,2.5384615384615383,2.4782608695652173,-361.0,2.5384615384615383,AdaBoostRegressor,3fdbc27a4bed0deb-Beans
10,150.0,22500.0,0.23076923076923078,0.23076923076923078,0.0,0.23076923076923078,AdaBoostRegressor,3fdbc27a4bed0deb-Beans
11,150.0,22500.0,0.23076923076923078,0.23076923076923078,0.0,0.23076923076923078,AdaBoostRegressor,3fdbc27a4bed0deb-Beans
12,150.0,22500.0,0.23076923076923078,0.23076923076923078,0.0,0.23076923076923078,AdaBoostRegressor,3fdbc27a4bed0deb-Beans
13,50.0,2500.0,0.07692307692307693,0.07692307692307693,0.0,0.07692307692307693,AdaBoostRegressor,3fdbc27a4bed0deb-Beans
14,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,3fdbc27a4bed0deb-Beans
15,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,3fdbc27a4bed0deb-Beans
16,125.0,31250.0,0.3125,0.23809523809523808,-1.0,0.3125,AdaBoostRegressor,3fdbc27a4bed0deb-Beans
17,250.0,62500.0,0.625,0.625,0.0,0.625,AdaBoostRegressor,3fdbc27a4bed0deb-Beans
18,100.0,10000.0,0.25,0.25,0.0,0.25,AdaBoostRegressor,3fdbc27a4bed0deb-Beans
19,100.0,10000.0,0.25,0.25,0.0,0.25,AdaBoostRegressor,3fdbc27a4bed0deb-Beans
20,100.0,10000.0,0.25,0.25,0.0,0.25,AdaBoostRegressor,3fdbc27a4bed0deb-Beans
21,100.0,10000.0,0.25,0.25,0.0,0.25,AdaBoostRegressor,3fdbc27a4bed0deb-Beans
22,108.33333333333331,14236.111111111106,0.33680555555555547,0.3095238095238095,-4.694444444444442,0.33680555555555547,AdaBoostRegressor,3fdbc27a4bed0deb-Beans
23,50.0,5000.0,0.16666666666666666,0.14285714285714285,-1.0,0.16666666666666666,AdaBoostRegressor,3fdbc27a4bed0deb-Beans
1,100.0,20000.0,0.25,0.2,-1.0,0.25,BaggingRegressor,3fdbc27a4bed0deb-Beans
2,300.0,100000.0,1.25,1.0,-9.0,1.25,BaggingRegressor,3fdbc27a4bed0deb-Beans
3,400.0,170000.0,1.0,0.6666666666666666,-0.0625,1.0,BaggingRegressor,3fdbc27a4bed0deb-Beans
4,680.0,462400.0,0.68,0.68,0.0,0.68,BaggingRegressor,3fdbc27a4bed0deb-Beans
