train size,mae,mse,mape,wape,r2,mpe,model,key
1,725.0,751250.0,0.419047619047619,0.47540983606557374,-2.329639889196676,0.419047619047619,AdaBoostRegressor,68f01d67ad163f32-Cassava
2,950.0,902500.0,0.9047619047619048,0.9047619047619048,0.0,0.9047619047619048,AdaBoostRegressor,68f01d67ad163f32-Cassava
3,600.0,720000.0,0.26666666666666666,0.36363636363636365,-1.0,0.26666666666666666,AdaBoostRegressor,68f01d67ad163f32-Cassava
4,1200.0,1440000.0,0.5333333333333333,0.5333333333333333,0.0,0.5333333333333333,AdaBoostRegressor,68f01d67ad163f32-Cassava
5,265.0,140450.0,0.15406976744186046,0.13350125944584382,-1.0,0.15406976744186046,AdaBoostRegressor,68f01d67ad163f32-Cassava
6,905.0,959650.0,0.8138635818748501,0.6728624535315985,-5.824177777777778,0.8138635818748501,AdaBoostRegressor,68f01d67ad163f32-Cassava
7,985.0,1025450.0,1.6065979381443298,1.3401360544217686,-17.56858306926211,1.6065979381443298,AdaBoostRegressor,68f01d67ad163f32-Cassava
8,620.0,406900.0,2.395,1.7714285714285714,-17.084444444444443,2.395,AdaBoostRegressor,68f01d67ad163f32-Cassava
9,250.0,65000.0,1.0833333333333333,1.0,-25.0,1.0833333333333333,AdaBoostRegressor,68f01d67ad163f32-Cassava
10,120.0,20800.0,0.37681159420289856,0.3157894736842105,-2.25,0.37681159420289856,AdaBoostRegressor,68f01d67ad163f32-Cassava
11,160.0,25600.0,0.34782608695652173,0.34782608695652173,0.0,0.34782608695652173,AdaBoostRegressor,68f01d67ad163f32-Cassava
12,80.0,12800.0,0.26666666666666666,0.21052631578947367,-1.0,0.26666666666666666,AdaBoostRegressor,68f01d67ad163f32-Cassava
13,210.0,46600.0,0.9166666666666667,0.84,-17.64,0.9166666666666667,AdaBoostRegressor,68f01d67ad163f32-Cassava
14,100.0,10000.0,0.375,0.3333333333333333,0.0,0.375,AdaBoostRegressor,68f01d67ad163f32-Cassava
15,85.0,9725.0,0.24483695652173915,0.2698412698412698,-0.3460207612456747,0.24483695652173915,AdaBoostRegressor,68f01d67ad163f32-Cassava
16,135.0,21250.0,0.36391304347826087,0.3698630136986301,-0.16598079561042534,0.36391304347826087,AdaBoostRegressor,68f01d67ad163f32-Cassava
17,270.0,72900.0,0.54,0.54,0.0,0.54,AdaBoostRegressor,68f01d67ad163f32-Cassava
18,140.0,29600.0,0.21142857142857144,0.23333333333333334,-1.96,0.21142857142857144,AdaBoostRegressor,68f01d67ad163f32-Cassava
19,195.0,43650.0,0.30194805194805197,0.312,-6.76,0.30194805194805197,AdaBoostRegressor,68f01d67ad163f32-Cassava
20,50.0,2500.0,0.09090909090909091,0.09090909090909091,0.0,0.09090909090909091,AdaBoostRegressor,68f01d67ad163f32-Cassava
21,25.0,625.0,0.045454545454545456,0.045454545454545456,0.0,0.045454545454545456,AdaBoostRegressor,68f01d67ad163f32-Cassava
22,75.0,6250.0,0.12878787878787878,0.13043478260869565,-9.0,0.12878787878787878,AdaBoostRegressor,68f01d67ad163f32-Cassava
23,50.0,2500.0,0.08333333333333333,0.08333333333333333,0.0,0.08333333333333333,AdaBoostRegressor,68f01d67ad163f32-Cassava
24,160.0,37700.0,0.20630081300813008,0.22535211267605634,-2.115702479338843,0.20630081300813008,AdaBoostRegressor,68f01d67ad163f32-Cassava
25,260.0,67614.0625,0.5879065040650406,0.4642857142857143,-0.00020802514792905846,0.5879065040650406,AdaBoostRegressor,68f01d67ad163f32-Cassava
26,306.66666666666663,94144.44444444442,0.9913194444444443,0.9892473118279569,-940.4444444444442,0.9913194444444443,AdaBoostRegressor,68f01d67ad163f32-Cassava
27,240.0,57700.0,0.7760416666666667,0.7741935483870968,-576.0,0.7760416666666667,AdaBoostRegressor,68f01d67ad163f32-Cassava
28,58.571428571428555,3430.612244897957,0.19523809523809518,0.19523809523809518,0.0,0.19523809523809518,AdaBoostRegressor,68f01d67ad163f32-Cassava
1,725.0,751250.0,0.419047619047619,0.47540983606557374,-2.329639889196676,0.419047619047619,BaggingRegressor,68f01d67ad163f32-Cassava
2,950.0,902500.0,0.9047619047619048,0.9047619047619048,0.0,0.9047619047619048,BaggingRegressor,68f01d67ad163f32-Cassava
3,600.0,408400.0,0.36317460317460315,0.36363636363636365,-0.13444444444444437,0.36317460317460315,BaggingRegressor,68f01d67ad163f32-Cassava
