train size,mae,mse,mape,wape,r2,mpe,model,key
1,100.5,10406.5,0.27707590972897095,0.2787794729542302,-32.98040816326531,0.27707590972897095,AdaBoostRegressor,77c880feff17c521-Others-temporary
2,43.5,1964.5,0.11211908110642288,0.11254851228978008,-26.19031141868512,0.11211908110642288,AdaBoostRegressor,77c880feff17c521-Others-temporary
3,32.0,1249.0,0.07681310498883098,0.07804878048780488,-4.551111111111111,0.07681310498883098,AdaBoostRegressor,77c880feff17c521-Others-temporary
4,39.0,1602.0,0.0894701898818218,0.08986175115207373,-18.77777777777778,0.0894701898818218,AdaBoostRegressor,77c880feff17c521-Others-temporary
5,15.5,246.5,0.035156209736437946,0.03518728717366629,-38.44,0.035156209736437946,AdaBoostRegressor,77c880feff17c521-Others-temporary
6,129.0,32017.0,0.6714972362412881,0.410828025477707,-1.082271071800208,0.6714972362412881,AdaBoostRegressor,77c880feff17c521-Others-temporary
7,230.5,53436.5,1.1259649122807018,1.110843373493976,-173.4865306122449,1.1259649122807018,AdaBoostRegressor,77c880feff17c521-Others-temporary
8,37.5,1412.5,0.1647342995169082,0.16483516483516483,-225.0,0.1647342995169082,AdaBoostRegressor,77c880feff17c521-Others-temporary
9,15.0,325.0,0.0733695652173913,0.06976744186046512,-0.4444444444444444,0.0733695652173913,AdaBoostRegressor,77c880feff17c521-Others-temporary
10,25.0,625.0,0.125,0.125,0.0,0.125,AdaBoostRegressor,77c880feff17c521-Others-temporary
11,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,77c880feff17c521-Others-temporary
12,30.0,1800.0,0.11538461538461539,0.13043478260869565,-1.0,0.11538461538461539,AdaBoostRegressor,77c880feff17c521-Others-temporary
13,30.0,1800.0,0.11538461538461539,0.13043478260869565,-1.0,0.11538461538461539,AdaBoostRegressor,77c880feff17c521-Others-temporary
14,60.0,3600.0,0.3,0.3,0.0,0.3,AdaBoostRegressor,77c880feff17c521-Others-temporary
15,10.0,200.0,0.045454545454545456,0.047619047619047616,-1.0,0.045454545454545456,AdaBoostRegressor,77c880feff17c521-Others-temporary
16,55.0,4250.0,0.4545454545454546,0.3333333333333333,-0.4049586776859504,0.4545454545454546,AdaBoostRegressor,77c880feff17c521-Others-temporary
17,100.0,10000.0,0.9090909090909091,0.9090909090909091,0.0,0.9090909090909091,AdaBoostRegressor,77c880feff17c521-Others-temporary
18,19.0,722.0,0.2638888888888889,0.2087912087912088,-1.0,0.2638888888888889,AdaBoostRegressor,77c880feff17c521-Others-temporary
19,38.0,1444.0,0.5277777777777778,0.5277777777777778,0.0,0.5277777777777778,AdaBoostRegressor,77c880feff17c521-Others-temporary
20,12.5,312.5,0.12886597938144329,0.14792899408284024,-1.0,0.12886597938144329,AdaBoostRegressor,77c880feff17c521-Others-temporary
21,25.0,625.0,0.25773195876288657,0.25773195876288657,0.0,0.25773195876288657,AdaBoostRegressor,77c880feff17c521-Others-temporary
22,18.33333333333333,436.1111111111109,0.16403794754310214,0.1713395638629283,-3.361111111111109,0.16403794754310214,AdaBoostRegressor,77c880feff17c521-Others-temporary
23,32.5,1056.25,0.2777777777777778,0.2777777777777778,0.0,0.2777777777777778,AdaBoostRegressor,77c880feff17c521-Others-temporary
1,100.5,10406.5,0.27707590972897095,0.2787794729542302,-32.98040816326531,0.27707590972897095,BaggingRegressor,77c880feff17c521-Others-temporary
2,76.69999999999999,5955.1399999999985,0.19805974147746297,0.19844760672703748,-81.42408304498268,0.19805974147746297,BaggingRegressor,77c880feff17c521-Others-temporary
3,42.5,2031.25,0.1024571854058079,0.10365853658536585,-8.027777777777779,0.1024571854058079,BaggingRegressor,77c880feff17c521-Others-temporary
4,49.39999999999998,2521.359999999998,0.11344363298366744,0.11382488479262667,-30.127901234567876,0.11344363298366744,BaggingRegressor,77c880feff17c521-Others-temporary
5,35.19999999999999,1245.289999999999,0.07987955719100773,0.07990919409761632,-198.24639999999985,0.07987955719100773,BaggingRegressor,77c880feff17c521-Others-temporary
6,124.0,29920.360000000004,0.6475654890651286,0.39490445859872614,-0.945913111342352,0.6475654890651286,BaggingRegressor,77c880feff17c521-Others-temporary
7,223.7,50347.939999999995,1.0929590643274854,1.0780722891566266,-163.40143673469387,1.0929590643274854,BaggingRegressor,77c880feff17c521-Others-temporary
8,12.099999999999994,152.65999999999985,0.05331400966183572,0.05318681318681316,-23.425599999999978,0.05331400966183572,BaggingRegressor,77c880feff17c521-Others-temporary
9,15.0,225.25,0.06994565217391305,0.06976744186046512,-0.0011111111111110628,0.06994565217391305,BaggingRegressor,77c880feff17c521-Others-temporary
10,23.5,552.25,0.1175,0.1175,0.0,0.1175,BaggingRegressor,77c880feff17c521-Others-temporary
11,11.0,121.0,0.055,0.055,0.0,0.055,BaggingRegressor,77c880feff17c521-Others-temporary
12,30.0,1656.25,0.11682692307692308,0.13043478260869565,-0.8402777777777777,0.11682692307692308,BaggingRegressor,77c880feff17c521-Others-temporary
13,30.0,1800.0,0.11538461538461539,0.13043478260869565,-1.0,0.11538461538461539,BaggingRegressor,77c880feff17c521-Others-temporary
14,39.0,1521.0,0.195,0.195,0.0,0.195,BaggingRegressor,77c880feff17c521-Others-temporary
15,10.0,164.0,0.049545454545454545,0.047619047619047616,-0.6399999999999999,0.049545454545454545,BaggingRegressor,77c880feff17c521-Others-temporary
16,55.0,4706.0,0.46818181818181814,0.3333333333333333,-0.555702479338843,0.46818181818181814,BaggingRegressor,77c880feff17c521-Others-temporary
17,106.0,11236.0,0.9636363636363636,0.9636363636363636,0.0,0.9636363636363636,BaggingRegressor,77c880feff17c521-Others-temporary
18,72.0,5545.0,0.8728535353535354,0.7912087912087912,-14.3601108033241,0.8728535353535354,BaggingRegressor,77c880feff17c521-Others-temporary
19,38.0,1444.0,0.5277777777777778,0.5277777777777778,0.0,0.5277777777777778,BaggingRegressor,77c880feff17c521-Others-temporary
20,17.5,462.5,0.234106529209622,0.20710059171597633,-1.96,0.234106529209622,BaggingRegressor,77c880feff17c521-Others-temporary
21,9.799999999999997,96.03999999999995,0.10103092783505152,0.10103092783505152,0.0,0.10103092783505152,BaggingRegressor,77c880feff17c521-Others-temporary
22,17.5,406.25,0.1561811613358005,0.16355140186915887,-3.0625,0.1561811613358005,BaggingRegressor,77c880feff17c521-Others-temporary
23,25.0,625.0,0.21367521367521367,0.21367521367521367,0.0,0.21367521367521367,BaggingRegressor,77c880feff17c521-Others-temporary
1,100.5,10406.5,0.27707590972897095,0.2787794729542302,-32.98040816326531,0.27707590972897095,BayesianRidge,77c880feff17c521-Others-temporary
2,80.99999990361425,7649.999982795148,0.20779586071228806,0.20957309160055435,-104.88235270304703,0.20779586071228806,BayesianRidge,77c880feff17c521-Others-temporary
3,60.4321957108549,3839.3688948274203,0.14637023770256408,0.14739559929476803,-16.063861754788533,0.14637023770256408,BayesianRidge,77c880feff17c521-Others-temporary
4,36.84543900349507,1504.9879860161625,0.08435348489715373,0.0848973248928458,-17.58009859279213,0.08435348489715373,BayesianRidge,77c880feff17c521-Others-temporary
5,50.03193154044453,2949.1998876060684,0.11385562819904305,0.11357986728818283,-470.87198201697095,0.11385562819904305,BayesianRidge,77c880feff17c521-Others-temporary
6,191.97737109324822,56594.76617952613,0.9337003577892968,0.6113929015708542,-2.6807210054322406,0.9337003577892968,BayesianRidge,77c880feff17c521-Others-temporary
7,297.797197711252,88698.59461455913,1.4470560513731416,1.435167217885552,-288.62806404754,1.4470560513731416,BayesianRidge,77c880feff17c521-Others-temporary
8,131.5022898674862,17299.10109551106,0.5782226158915216,0.5780320433735657,-2766.85617528177,0.5782226158915216,BayesianRidge,77c880feff17c521-Others-temporary
9,129.1050765417995,16893.10433124856,0.6083170266854074,0.600488728101393,-74.08046369443804,0.6083170266854074,BayesianRidge,77c880feff17c521-Others-temporary
10,116.81997866771175,13648.658631740698,0.5840998933385588,0.5840998933385587,0.0,0.5840998933385588,BayesianRidge,77c880feff17c521-Others-temporary
11,57.19379681957304,3294.9467217646556,0.2859689840978652,0.2859689840978652,0.0,0.2859689840978652,BayesianRidge,77c880feff17c521-Others-temporary
12,36.36394492727672,1394.7888582056628,0.15592981661187344,0.158104108379464,-0.549765398006292,0.15592981661187344,BayesianRidge,77c880feff17c521-Others-temporary
13,32.06625827400899,1559.875759722357,0.12852934164853716,0.13941851423482168,-0.7331952885803967,0.12852934164853716,BayesianRidge,77c880feff17c521-Others-temporary
14,6.061023603796713,41.12524544412693,0.030305118018983564,0.030305118018983564,0.0,0.030305118018983564,BayesianRidge,77c880feff17c521-Others-temporary
15,23.123173401060285,797.4830856737559,0.1066762441726042,0.1101103495288585,-6.974830856737559,0.1066762441726042,BayesianRidge,77c880feff17c521-Others-temporary
16,48.8436044680376,2503.906353528998,0.35773453142906725,0.2960218452608339,0.1722623624697528,0.35773453142906725,BayesianRidge,77c880feff17c521-Others-temporary
17,63.1532170256238,4021.6104785508833,0.5741201547783983,0.5741201547783982,0.0,0.5741201547783983,BayesianRidge,77c880feff17c521-Others-temporary
18,53.805971778297504,3053.3884486996085,0.6484091883435761,0.5912744151461264,-7.458139747090328,0.6484091883435761,BayesianRidge,77c880feff17c521-Others-temporary
