train size,mae,mse,mape,wape,r2,mpe,model,key
1,150.0,22500.0,0.075,0.075,0.0,0.075,AdaBoostRegressor,7e56bd83460aabc7-Cassava
2,325.0,211250.0,0.24074074074074073,0.19402985074626866,-1.0,0.24074074074074073,AdaBoostRegressor,7e56bd83460aabc7-Cassava
3,1200.0,1742500.0,0.4740740740740741,0.47058823529411764,-0.21006944444444442,0.4740740740740741,AdaBoostRegressor,7e56bd83460aabc7-Cassava
4,1650.0,3285000.0,0.52,0.55,-4.84,0.52,AdaBoostRegressor,7e56bd83460aabc7-Cassava
5,1475.0,2176250.0,0.6485507246376812,0.6483516483516484,-3481.0,0.6485507246376812,AdaBoostRegressor,7e56bd83460aabc7-Cassava
6,50.0,2500.0,0.021739130434782608,0.021739130434782608,0.0,0.021739130434782608,AdaBoostRegressor,7e56bd83460aabc7-Cassava
7,250.0,125000.0,0.08928571428571429,0.09803921568627451,-1.0,0.08928571428571429,AdaBoostRegressor,7e56bd83460aabc7-Cassava
8,600.0,370000.0,0.20595238095238094,0.20689655172413793,-36.0,0.20595238095238094,AdaBoostRegressor,7e56bd83460aabc7-Cassava
9,1200.0,2440000.0,1.8666666666666667,0.6666666666666666,-0.6944444444444444,1.8666666666666667,AdaBoostRegressor,7e56bd83460aabc7-Cassava
10,1883.3333333333335,3749444.444444445,2.4222222222222225,1.7936507936507937,-17.515775034293554,2.4222222222222225,AdaBoostRegressor,7e56bd83460aabc7-Cassava
11,1650.0,3285000.0,0.7,0.7333333333333333,-4.84,0.7,AdaBoostRegressor,7e56bd83460aabc7-Cassava
12,1500.0,2250000.0,0.5,0.5,0.0,0.5,AdaBoostRegressor,7e56bd83460aabc7-Cassava
13,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,7e56bd83460aabc7-Cassava
14,500.0,500000.0,0.125,0.14285714285714285,-1.0,0.125,AdaBoostRegressor,7e56bd83460aabc7-Cassava
15,1000.0,1000000.0,0.25,0.25,0.0,0.25,AdaBoostRegressor,7e56bd83460aabc7-Cassava
16,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,7e56bd83460aabc7-Cassava
17,500.0,500000.0,0.1,0.1111111111111111,-1.0,0.1,AdaBoostRegressor,7e56bd83460aabc7-Cassava
18,1250.0,1625000.0,0.23636363636363636,0.23809523809523808,-25.0,0.23636363636363636,AdaBoostRegressor,7e56bd83460aabc7-Cassava
19,600.0,370000.0,0.10685805422647528,0.10714285714285714,-36.0,0.10685805422647528,AdaBoostRegressor,7e56bd83460aabc7-Cassava
20,200.0,40000.0,0.03508771929824561,0.03508771929824561,0.0,0.03508771929824561,AdaBoostRegressor,7e56bd83460aabc7-Cassava
21,200.0,40000.0,0.03508771929824561,0.03508771929824561,0.0,0.03508771929824561,AdaBoostRegressor,7e56bd83460aabc7-Cassava
22,25.0,1250.0,0.004347826086956522,0.004366812227074236,-1.0,0.004347826086956522,AdaBoostRegressor,7e56bd83460aabc7-Cassava
23,250.0,62500.0,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216,AdaBoostRegressor,7e56bd83460aabc7-Cassava
24,375.0,156250.0,0.06340579710144928,0.06382978723404255,-9.0,0.06340579710144928,AdaBoostRegressor,7e56bd83460aabc7-Cassava
25,400.0,160000.0,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,AdaBoostRegressor,7e56bd83460aabc7-Cassava
26,300.0,90000.0,0.05,0.05,0.0,0.05,AdaBoostRegressor,7e56bd83460aabc7-Cassava
27,1500.0,3812500.0,0.47916666666666663,0.3333333333333333,-0.6944444444444444,0.47916666666666663,AdaBoostRegressor,7e56bd83460aabc7-Cassava
28,1500.0,3690000.0,0.47500000000000003,0.3333333333333333,-0.6399999999999999,0.47500000000000003,AdaBoostRegressor,7e56bd83460aabc7-Cassava
1,150.0,22500.0,0.075,0.075,0.0,0.075,BaggingRegressor,7e56bd83460aabc7-Cassava
2,325.0,184025.0,0.23532407407407407,0.19402985074626866,-0.7422485207100591,0.23532407407407407,BaggingRegressor,7e56bd83460aabc7-Cassava
3,1200.0,1742500.0,0.4740740740740741,0.47058823529411764,-0.21006944444444442,0.4740740740740741,BaggingRegressor,7e56bd83460aabc7-Cassava
4,1390.0,2494600.0,0.4275555555555556,0.4633333333333333,-3.434844444444445,0.4275555555555556,BaggingRegressor,7e56bd83460aabc7-Cassava
5,755.0,570650.0,0.33202898550724635,0.33186813186813185,-912.04,0.33202898550724635,BaggingRegressor,7e56bd83460aabc7-Cassava
6,220.0,48400.0,0.09565217391304348,0.09565217391304348,0.0,0.09565217391304348,BaggingRegressor,7e56bd83460aabc7-Cassava
7,265.0,132725.0,0.09522515527950311,0.10392156862745099,-1.1236000000000002,0.09522515527950311,BaggingRegressor,7e56bd83460aabc7-Cassava
