train size,mae,mse,mape,wape,r2,mpe,model,key
1,1180.0,1494800.0,0.7009345794392523,0.6483516483516484,-13.59765625,0.7009345794392523,AdaBoostRegressor,7e56bd83460aabc7-Rice
2,695.0,486050.0,0.3161993769470405,0.31662870159453305,-159.67768595041323,0.3161993769470405,AdaBoostRegressor,7e56bd83460aabc7-Rice
3,110.0,12100.0,0.04888888888888889,0.04888888888888889,0.0,0.04888888888888889,AdaBoostRegressor,7e56bd83460aabc7-Rice
4,225.0,101250.0,0.125,0.1111111111111111,-1.0,0.125,AdaBoostRegressor,7e56bd83460aabc7-Rice
5,350.0,132500.0,0.1875,0.18421052631578946,-12.25,0.1875,AdaBoostRegressor,7e56bd83460aabc7-Rice
6,200.0,40000.0,0.1,0.1,0.0,0.1,AdaBoostRegressor,7e56bd83460aabc7-Rice
7,250.0,62500.0,0.1125,0.1111111111111111,0.0,0.1125,AdaBoostRegressor,7e56bd83460aabc7-Rice
8,500.0,260000.0,0.2533333333333333,0.25,-0.040000000000000036,0.2533333333333333,AdaBoostRegressor,7e56bd83460aabc7-Rice
9,1250.0,1625000.0,1.0833333333333333,1.0,-25.0,1.0833333333333333,AdaBoostRegressor,7e56bd83460aabc7-Rice
10,1000.0,1250000.0,0.5,0.5,-0.25,0.5,AdaBoostRegressor,7e56bd83460aabc7-Rice
11,2050.0,4205000.0,0.6720430107526881,0.6721311475409836,-1681.0,0.6720430107526881,AdaBoostRegressor,7e56bd83460aabc7-Rice
12,155.0,27050.0,0.053763440860215055,0.05263157894736842,-0.12591050988553598,0.053763440860215055,AdaBoostRegressor,7e56bd83460aabc7-Rice
13,401.0,197282.0,0.12003975381373183,0.12566593544343466,-0.22687047966119622,0.12003975381373183,AdaBoostRegressor,7e56bd83460aabc7-Rice
14,1628.0,3723680.0,0.31757483673700504,0.35177182368193605,-2.4693877551020407,0.31757483673700504,AdaBoostRegressor,7e56bd83460aabc7-Rice
15,2165.0,4695874.0,0.375901057511227,0.3760639221816919,-541.9383743785409,0.375901057511227,AdaBoostRegressor,7e56bd83460aabc7-Rice
16,750.0,880596.0,0.16693191865605658,0.14705882352941177,-0.565504,0.16693191865605658,AdaBoostRegressor,7e56bd83460aabc7-Rice
17,2309.0,6321506.0,0.8510344827586207,0.6882265275707898,-5.385198353576929,0.8510344827586207,AdaBoostRegressor,7e56bd83460aabc7-Rice
18,2045.0,4185050.0,0.8882768361581921,0.8872017353579176,-1382.4876033057851,0.8882768361581921,AdaBoostRegressor,7e56bd83460aabc7-Rice
19,130.0,17300.0,0.05838109602815485,0.05829596412556054,-42.25,0.05838109602815485,AdaBoostRegressor,7e56bd83460aabc7-Rice
20,150.0,22500.0,0.06787330316742081,0.06787330316742081,0.0,0.06787330316742081,AdaBoostRegressor,7e56bd83460aabc7-Rice
21,715.0,830450.0,0.626529244176303,0.43465045592705165,-1.6014566528310752,0.626529244176303,AdaBoostRegressor,7e56bd83460aabc7-Rice
22,1520.0,2368000.0,2.0592592592592593,1.8095238095238095,-40.111111111111114,2.0592592592592593,AdaBoostRegressor,7e56bd83460aabc7-Rice
