train size,mae,mse,mape,wape,r2,mpe,model,key
1,5200.0,28730000.0,0.6657986111111112,0.6753246753246753,-16.0,0.6657986111111112,AdaBoostRegressor,80e8ffb027590a74-Rice
2,2600.0,6760000.0,0.28888888888888886,0.28888888888888886,0.0,0.28888888888888886,AdaBoostRegressor,80e8ffb027590a74-Rice
3,3000.0,9160000.0,0.711111111111111,0.5,-0.01777777777777767,0.711111111111111,AdaBoostRegressor,80e8ffb027590a74-Rice
4,6000.0,36000000.0,2.0,2.0,0.0,2.0,AdaBoostRegressor,80e8ffb027590a74-Rice
5,250.0,125000.0,0.07142857142857142,0.07692307692307693,-1.0,0.07142857142857142,AdaBoostRegressor,80e8ffb027590a74-Rice
6,250.0,125000.0,0.07142857142857142,0.07692307692307693,-1.0,0.07142857142857142,AdaBoostRegressor,80e8ffb027590a74-Rice
7,750.0,625000.0,0.2833333333333333,0.2727272727272727,-9.0,0.2833333333333333,AdaBoostRegressor,80e8ffb027590a74-Rice
8,850.0,745000.0,0.325,0.32075471698113206,-32.111111111111114,0.325,AdaBoostRegressor,80e8ffb027590a74-Rice
9,500.0,340000.0,0.14097744360902253,0.15151515151515152,-0.3600000000000001,0.14097744360902253,AdaBoostRegressor,80e8ffb027590a74-Rice
10,690.0,572200.0,0.19132737504137703,0.1977077363896848,-4.9542143600416235,0.19132737504137703,AdaBoostRegressor,80e8ffb027590a74-Rice
11,545.0,302650.0,0.16805484730013032,0.1674347158218126,-52.80444444444444,0.16805484730013032,AdaBoostRegressor,80e8ffb027590a74-Rice
12,375.0,186850.0,0.1257481619550585,0.12038523274478331,-3.0421849648458625,0.1257481619550585,AdaBoostRegressor,80e8ffb027590a74-Rice
13,305.0,93650.0,0.10617059891107078,0.10608695652173913,-148.84,0.10617059891107078,AdaBoostRegressor,80e8ffb027590a74-Rice
14,161.66666666666652,31761.111111111062,0.055964912280701704,0.055270655270655215,-4.646419753086411,0.055964912280701704,AdaBoostRegressor,80e8ffb027590a74-Rice
15,75.0,5761.111111111108,0.024497354497354497,0.024390243902439025,-0.024197530864196848,0.024497354497354497,AdaBoostRegressor,80e8ffb027590a74-Rice
16,25.0,650.0,0.007987711213517665,0.008,-0.040000000000000036,0.007987711213517665,AdaBoostRegressor,80e8ffb027590a74-Rice
17,565.0,569225.0,0.2640552995391705,0.2173076923076923,-1.2769,0.2640552995391705,AdaBoostRegressor,80e8ffb027590a74-Rice
18,1016.6666666666665,1033611.1111111108,0.4841269841269841,0.4841269841269841,0.0,0.4841269841269841,AdaBoostRegressor,80e8ffb027590a74-Rice
19,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,80e8ffb027590a74-Rice
20,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,80e8ffb027590a74-Rice
21,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,80e8ffb027590a74-Rice
22,150.0,45000.0,0.08333333333333333,0.07692307692307693,-1.0,0.08333333333333333,AdaBoostRegressor,80e8ffb027590a74-Rice
23,450.0,225000.0,0.2833333333333333,0.2727272727272727,-9.0,0.2833333333333333,AdaBoostRegressor,80e8ffb027590a74-Rice
1,5200.0,28730000.0,0.6657986111111112,0.6753246753246753,-16.0,0.6657986111111112,BaggingRegressor,80e8ffb027590a74-Rice
2,3770.0,14212900.0,0.41888888888888887,0.41888888888888887,0.0,0.41888888888888887,BaggingRegressor,80e8ffb027590a74-Rice
3,3000.0,11464900.0,0.8411111111111111,0.5,-0.2738777777777779,0.8411111111111111,BaggingRegressor,80e8ffb027590a74-Rice
4,6000.0,36000000.0,2.0,2.0,0.0,2.0,BaggingRegressor,80e8ffb027590a74-Rice
5,1550.0,2465000.0,0.4857142857142857,0.47692307692307695,-38.44,0.4857142857142857,BaggingRegressor,80e8ffb027590a74-Rice
6,350.0,185000.0,0.1142857142857143,0.1076923076923077,-1.96,0.1142857142857143,BaggingRegressor,80e8ffb027590a74-Rice
7,1150.0,1385000.0,0.43000000000000005,0.41818181818181815,-21.16,0.43000000000000005,BaggingRegressor,80e8ffb027590a74-Rice
8,500.0,272500.0,0.1925,0.18867924528301888,-11.11111111111111,0.1925,BaggingRegressor,80e8ffb027590a74-Rice
9,500.0,500000.0,0.13157894736842105,0.15151515151515152,-1.0,0.13157894736842105,BaggingRegressor,80e8ffb027590a74-Rice
10,730.0,629000.0,0.20287984111221452,0.20916905444126074,-5.545265348595214,0.20287984111221452,BaggingRegressor,80e8ffb027590a74-Rice
11,75.0,8650.0,0.022664173607569834,0.02304147465437788,-0.5377777777777777,0.022664173607569834,BaggingRegressor,80e8ffb027590a74-Rice
12,215.0,58994.0,0.07186703945324635,0.06902086677367576,-0.2762358031368308,0.07186703945324635,BaggingRegressor,80e8ffb027590a74-Rice
13,489.0,239746.0,0.17017543859649123,0.17008695652173914,-382.5936,0.17017543859649123,BaggingRegressor,80e8ffb027590a74-Rice
14,237.0,61794.0,0.08173684210526316,0.08102564102564103,-9.9856,0.08173684210526316,BaggingRegressor,80e8ffb027590a74-Rice
15,104.0,16441.0,0.033246031746031746,0.033821138211382114,-1.9228444444444444,0.033246031746031746,BaggingRegressor,80e8ffb027590a74-Rice
16,190.0,36725.0,0.060739887352790574,0.0608,-57.76,0.060739887352790574,BaggingRegressor,80e8ffb027590a74-Rice
17,535.0,536225.0,0.252073732718894,0.20576923076923076,-1.1448999999999998,0.252073732718894,BaggingRegressor,80e8ffb027590a74-Rice
18,1020.0,1040400.0,0.4857142857142857,0.4857142857142857,0.0,0.4857142857142857,BaggingRegressor,80e8ffb027590a74-Rice
19,505.0,255025.0,0.24047619047619048,0.24047619047619048,0.0,0.24047619047619048,BaggingRegressor,80e8ffb027590a74-Rice
20,0.0,0.0,0.0,0.0,1.0,0.0,BaggingRegressor,80e8ffb027590a74-Rice
21,0.0,0.0,0.0,0.0,1.0,0.0,BaggingRegressor,80e8ffb027590a74-Rice
22,250.0,85000.0,0.1349206349206349,0.1282051282051282,-2.7777777777777777,0.1349206349206349,BaggingRegressor,80e8ffb027590a74-Rice
23,450.0,225000.0,0.2833333333333333,0.2727272727272727,-9.0,0.2833333333333333,BaggingRegressor,80e8ffb027590a74-Rice
1,5200.0,28730000.0,0.6657986111111112,0.6753246753246753,-16.0,0.6657986111111112,BayesianRidge,80e8ffb027590a74-Rice
2,4549.998899180145,20702489.982540607,0.5055554332422383,0.5055554332422383,0.0,0.5055554332422383,BayesianRidge,80e8ffb027590a74-Rice
3,3000.0006358976393,9001114.71454158,0.6629634575500157,0.5000001059829399,-0.00012385717128671203,0.6629634575500157,BayesianRidge,80e8ffb027590a74-Rice
4,3725.0126881368756,13875719.526785184,1.2416708960456253,1.241670896045625,0.0,1.2416708960456253,BayesianRidge,80e8ffb027590a74-Rice
5,2730.0011722984896,7515406.317015549,0.8509527398192656,0.8400003607072276,-119.24650107224879,0.8509527398192656,BayesianRidge,80e8ffb027590a74-Rice
6,2233.3320519989124,5050271.974402297,0.6972218218052157,0.6871790929227423,-79.80435159043675,0.6972218218052157,BayesianRidge,80e8ffb027590a74-Rice
7,2449.99621877661,6064981.261951897,0.9066652662135593,0.8909077159187673,-96.03970019123035,0.9066652662135593,BayesianRidge,80e8ffb027590a74-Rice
8,2274.9858536516226,5198061.058707455,0.8644589606245752,0.8584852277930651,-230.02493594255355,0.8644589606245752,BayesianRidge,80e8ffb027590a74-Rice
9,617.9538525090784,385238.29646512645,0.1943871524678389,0.1872587431845692,-0.5409531858605059,0.1943871524678389,BayesianRidge,80e8ffb027590a74-Rice
10,716.1463004373372,541309.8555553172,0.20250477501552505,0.20519951301929434,-4.632776852812874,0.20250477501552505,BayesianRidge,80e8ffb027590a74-Rice
11,319.21526262453017,137367.04135079042,0.09678743238941653,0.09806920510738254,-23.42080735125163,0.09678743238941653,BayesianRidge,80e8ffb027590a74-Rice
12,347.2184138889611,131602.35707729973,0.10966068523215619,0.11146658551812555,-1.846995285609513,0.10966068523215619,BayesianRidge,80e8ffb027590a74-Rice
13,149.90380961098617,28160.759304526004,0.05237255774351696,0.052140455516864755,-44.05721488724161,0.05237255774351696,BayesianRidge,80e8ffb027590a74-Rice
14,381.5844496575228,176079.04275151453,0.12901079142829391,0.130456222105136,-30.30294093360258,0.12901079142829391,BayesianRidge,80e8ffb027590a74-Rice
15,672.3477501415514,481615.5569157994,0.21741520421655142,0.21864967484278094,-84.62054345169767,0.21741520421655142,BayesianRidge,80e8ffb027590a74-Rice
16,773.5822227649264,602753.1185817673,0.24773049773053557,0.24754631128477644,-963.4049897308277,0.24773049773053557,BayesianRidge,80e8ffb027590a74-Rice
17,417.19674392046636,230402.15612579178,0.1483904420749972,0.1604602861232563,0.07839137549683284,0.1483904420749972,BayesianRidge,80e8ffb027590a74-Rice
18,263.57685255117894,75293.43697076131,0.1255127869291328,0.12551278692913284,0.0,0.1255127869291328,BayesianRidge,80e8ffb027590a74-Rice
19,79.81058678086538,6739.939512911869,0.03800504132422161,0.03800504132422161,0.0,0.03800504132422161,BayesianRidge,80e8ffb027590a74-Rice
20,171.17536831219832,35859.61646485478,0.08151208014866587,0.08151208014866586,0.0,0.08151208014866587,BayesianRidge,80e8ffb027590a74-Rice
21,321.2625654366457,109714.91469630394,0.15298217401745032,0.15298217401745032,0.0,0.15298217401745032,BayesianRidge,80e8ffb027590a74-Rice
22,290.49100395371306,89375.37492243793,0.1470531996471612,0.14896974561728876,-2.9722388854416857,0.1470531996471612,BayesianRidge,80e8ffb027590a74-Rice
23,85.70276086482045,12609.11843776662,0.04834310395844255,0.05194106719080027,0.43959473609926136,0.04834310395844255,BayesianRidge,80e8ffb027590a74-Rice
1,5200.0,28730000.0,0.6657986111111112,0.6753246753246753,-16.0,0.6657986111111112,DecisionTreeRegressor,80e8ffb027590a74-Rice
2,2600.0,6760000.0,0.28888888888888886,0.28888888888888886,0.0,0.28888888888888886,DecisionTreeRegressor,80e8ffb027590a74-Rice
3,3000.0,18000000.0,1.0,0.5,-1.0,1.0,DecisionTreeRegressor,80e8ffb027590a74-Rice
4,6000.0,36000000.0,2.0,2.0,0.0,2.0,DecisionTreeRegressor,80e8ffb027590a74-Rice
5,250.0,125000.0,0.07142857142857142,0.07692307692307693,-1.0,0.07142857142857142,DecisionTreeRegressor,80e8ffb027590a74-Rice
6,250.0,125000.0,0.07142857142857142,0.07692307692307693,-1.0,0.07142857142857142,DecisionTreeRegressor,80e8ffb027590a74-Rice
7,750.0,625000.0,0.2833333333333333,0.2727272727272727,-9.0,0.2833333333333333,DecisionTreeRegressor,80e8ffb027590a74-Rice
8,350.0,145000.0,0.13571428571428573,0.1320754716981132,-5.444444444444445,0.13571428571428573,DecisionTreeRegressor,80e8ffb027590a74-Rice
9,800.0,890000.0,0.22462406015037595,0.24242424242424243,-2.56,0.22462406015037595,DecisionTreeRegressor,80e8ffb027590a74-Rice
10,690.0,572200.0,0.19132737504137703,0.1977077363896848,-4.9542143600416235,0.19132737504137703,DecisionTreeRegressor,80e8ffb027590a74-Rice
11,545.0,302650.0,0.16805484730013032,0.1674347158218126,-52.80444444444444,0.16805484730013032,DecisionTreeRegressor,80e8ffb027590a74-Rice
12,215.0,50450.0,0.07079838459148804,0.06902086677367576,-0.0914007571660358,0.07079838459148804,DecisionTreeRegressor,80e8ffb027590a74-Rice
13,455.0,207650.0,0.15834845735027223,0.1582608695652174,-331.24,0.15834845735027223,DecisionTreeRegressor,80e8ffb027590a74-Rice
