train size,mae,mse,mape,wape,r2,mpe,model,key
1,13.5,238.5,1.6363636363636362,0.9310344827586207,-3.24,1.6363636363636362,AdaBoostRegressor,a245de687a867003-Others-permanent
2,16.5,274.5,0.7009090909090909,0.7021276595744681,-121.0,0.7009090909090909,AdaBoostRegressor,a245de687a867003-Others-permanent
3,3.0,9.0,0.12,0.12,0.0,0.12,AdaBoostRegressor,a245de687a867003-Others-permanent
4,1.0,2.0,0.043478260869565216,0.041666666666666664,-1.0,0.043478260869565216,AdaBoostRegressor,a245de687a867003-Others-permanent
5,2.5,6.5,0.09704968944099379,0.09803921568627451,-0.040000000000000036,0.09704968944099379,AdaBoostRegressor,a245de687a867003-Others-permanent
6,19.5,590.5,0.387531328320802,0.4588235294117647,-1.808561236623068,0.387531328320802,AdaBoostRegressor,a245de687a867003-Others-permanent
7,71.0,6805.0,0.6550951847704367,0.7171717171717171,-2.8577097505668934,0.6550951847704367,AdaBoostRegressor,a245de687a867003-Others-permanent
8,84.0,7056.0,0.5957446808510638,0.5957446808510638,0.0,0.5957446808510638,AdaBoostRegressor,a245de687a867003-Others-permanent
9,25.0,1250.0,0.13089005235602094,0.15060240963855423,-1.0,0.13089005235602094,AdaBoostRegressor,a245de687a867003-Others-permanent
10,28.0,1268.0,0.15129821562132706,0.16568047337278108,-1.6198347107438016,0.15129821562132706,AdaBoostRegressor,a245de687a867003-Others-permanent
11,47.5,2268.5,0.33180272108843534,0.3310104529616725,-184.18367346938774,0.33180272108843534,AdaBoostRegressor,a245de687a867003-Others-permanent
12,5.0,29.0,0.035,0.034482758620689655,-0.15999999999999992,0.035,AdaBoostRegressor,a245de687a867003-Others-permanent
13,6.5,42.25,0.043333333333333335,0.043333333333333335,0.0,0.043333333333333335,AdaBoostRegressor,a245de687a867003-Others-permanent
14,28.0,1409.0,0.14250000000000002,0.16,-1.2544,0.14250000000000002,AdaBoostRegressor,a245de687a867003-Others-permanent
15,53.0,2809.0,0.265,0.265,0.0,0.265,AdaBoostRegressor,a245de687a867003-Others-permanent
16,75.0,11250.0,1.5,0.6,-1.0,1.5,AdaBoostRegressor,a245de687a867003-Others-permanent
17,150.0,22500.0,3.0,3.0,0.0,3.0,AdaBoostRegressor,a245de687a867003-Others-permanent
18,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,a245de687a867003-Others-permanent
19,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,a245de687a867003-Others-permanent
20,10.0,200.0,0.3333333333333333,0.25,-1.0,0.3333333333333333,AdaBoostRegressor,a245de687a867003-Others-permanent
21,20.0,400.0,0.6666666666666666,0.6666666666666666,0.0,0.6666666666666666,AdaBoostRegressor,a245de687a867003-Others-permanent
22,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,a245de687a867003-Others-permanent
23,15.0,450.0,6.755399441055744e+16,1.0,-1.0,inf,AdaBoostRegressor,a245de687a867003-Others-permanent
24,30.0,900.0,1.3510798882111488e+17,inf,0.0,inf,AdaBoostRegressor,a245de687a867003-Others-permanent
25,0.0,0.0,0.0,,1.0,,AdaBoostRegressor,a245de687a867003-Others-permanent
26,0.0,0.0,0.0,,1.0,,AdaBoostRegressor,a245de687a867003-Others-permanent
27,0.0,0.0,0.0,,1.0,,AdaBoostRegressor,a245de687a867003-Others-permanent
28,0.0,0.0,0.0,,1.0,,AdaBoostRegressor,a245de687a867003-Others-permanent
1,13.5,238.5,1.6363636363636362,0.9310344827586207,-3.24,1.6363636363636362,BaggingRegressor,a245de687a867003-Others-permanent
2,10.2,106.28999999999999,0.43172727272727274,0.4340425531914893,-46.239999999999995,0.43172727272727274,BaggingRegressor,a245de687a867003-Others-permanent
3,3.0,9.0,0.12,0.12,0.0,0.12,BaggingRegressor,a245de687a867003-Others-permanent
4,1.3999999999999986,2.9599999999999964,0.05669565217391299,0.05833333333333327,-1.9599999999999964,0.05669565217391299,BaggingRegressor,a245de687a867003-Others-permanent
5,2.5,6.890000000000001,0.09588509316770186,0.09803921568627451,-0.10240000000000005,0.09588509316770186,BaggingRegressor,a245de687a867003-Others-permanent
