train size,mae,mse,mape,wape,r2,mpe,model,key
1,49.0,2450.0,2.0176470588235293,1.8148148148148149,-49.0,2.0176470588235293,AdaBoostRegressor,d0f5f5b9fcecb0d8-Rice
2,11.5,138.5,0.53,0.5111111111111111,-21.16,0.53,AdaBoostRegressor,d0f5f5b9fcecb0d8-Rice
3,7.5,62.5,0.26666666666666666,0.2727272727272727,-9.0,0.26666666666666666,AdaBoostRegressor,d0f5f5b9fcecb0d8-Rice
4,10.0,125.0,0.8333333333333334,0.5,-0.25,0.8333333333333334,AdaBoostRegressor,d0f5f5b9fcecb0d8-Rice
5,20.0,400.0,2.0,2.0,0.0,2.0,AdaBoostRegressor,d0f5f5b9fcecb0d8-Rice
6,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,d0f5f5b9fcecb0d8-Rice
7,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,d0f5f5b9fcecb0d8-Rice
8,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,d0f5f5b9fcecb0d8-Rice
9,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,d0f5f5b9fcecb0d8-Rice
10,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,d0f5f5b9fcecb0d8-Rice
11,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,d0f5f5b9fcecb0d8-Rice
12,0.0,0.0,0.0,0.0,1.0,0.0,AdaBoostRegressor,d0f5f5b9fcecb0d8-Rice
13,1.0,2.0,0.125,0.1111111111111111,-1.0,0.125,AdaBoostRegressor,d0f5f5b9fcecb0d8-Rice
14,6.0,52.0,0.375,0.42857142857142855,-0.4444444444444444,0.375,AdaBoostRegressor,d0f5f5b9fcecb0d8-Rice
15,7.0,58.0,0.5833333333333333,0.5384615384615384,-0.18367346938775508,0.5833333333333333,AdaBoostRegressor,d0f5f5b9fcecb0d8-Rice
16,14.0,196.0,2.3333333333333335,2.3333333333333335,0.0,2.3333333333333335,AdaBoostRegressor,d0f5f5b9fcecb0d8-Rice
17,1.5,4.5,0.5,0.3333333333333333,-1.0,0.5,AdaBoostRegressor,d0f5f5b9fcecb0d8-Rice
18,2.5,6.5,0.75,0.7142857142857143,-25.0,0.75,AdaBoostRegressor,d0f5f5b9fcecb0d8-Rice
19,1.0,1.0,0.20833333333333331,0.2,0.0,0.20833333333333331,AdaBoostRegressor,d0f5f5b9fcecb0d8-Rice
1,49.0,2450.0,2.0176470588235293,1.8148148148148149,-49.0,2.0176470588235293,BaggingRegressor,d0f5f5b9fcecb0d8-Rice
