train size,mae,mse,mape,wape,r2,mpe,model,key
1,19.0,362.0,4.503599627370497e+16,19.0,-361.0,inf,RandomForestRegressor,3fdbc27a4bed0deb-Others-temporary
2,4.8,24.04,1.3060438919374438e+16,4.8,-23.04,inf,RandomForestRegressor,3fdbc27a4bed0deb-Others-temporary
3,2.36,5.569599999999999,1.062849512059437e+16,inf,0.0,inf,RandomForestRegressor,3fdbc27a4bed0deb-Others-temporary
4,0.42,0.17639999999999997,1891511843495608.2,inf,0.0,inf,RandomForestRegressor,3fdbc27a4bed0deb-Others-temporary
5,0.16,0.0256,720575940379279.4,inf,0.0,inf,RandomForestRegressor,3fdbc27a4bed0deb-Others-temporary
6,0.04,0.0016,180143985094819.84,inf,0.0,inf,RandomForestRegressor,3fdbc27a4bed0deb-Others-temporary
7,25.0,1250.0,0.5,1.0,-1.0,,RandomForestRegressor,3fdbc27a4bed0deb-Others-temporary
8,50.0,2500.0,1.0,1.0,0.0,1.0,RandomForestRegressor,3fdbc27a4bed0deb-Others-temporary
9,34.0,1381.0,0.49625,0.5230769230769231,-5.137777777777778,0.49625,RandomForestRegressor,3fdbc27a4bed0deb-Others-temporary
10,35.5,1260.25,0.44375,0.44375,0.0,0.44375,RandomForestRegressor,3fdbc27a4bed0deb-Others-temporary
11,36.5,2018.6900000000003,4.542946428571429,0.8390804597701149,-0.5152486395196099,4.542946428571429,RandomForestRegressor,3fdbc27a4bed0deb-Others-temporary
12,70.0,4900.0,10.0,10.0,0.0,10.0,RandomForestRegressor,3fdbc27a4bed0deb-Others-temporary
13,28.299999999999997,800.8899999999999,4.042857142857143,4.042857142857143,0.0,4.042857142857143,RandomForestRegressor,3fdbc27a4bed0deb-Others-temporary
14,6.57,43.1649,0.9385714285714286,0.9385714285714286,0.0,0.9385714285714286,RandomForestRegressor,3fdbc27a4bed0deb-Others-temporary
15,3.2799999999999994,10.758399999999996,0.46857142857142847,0.46857142857142847,0.0,0.46857142857142847,RandomForestRegressor,3fdbc27a4bed0deb-Others-temporary
16,3.960000000000001,21.93160000000001,1.7192857142857145,0.8800000000000002,-2.5090560000000015,1.7192857142857145,RandomForestRegressor,3fdbc27a4bed0deb-Others-temporary
17,5.0,25.0,2.5,2.5,0.0,2.5,RandomForestRegressor,3fdbc27a4bed0deb-Others-temporary
18,1.85,3.4225000000000003,0.925,0.925,0.0,0.925,RandomForestRegressor,3fdbc27a4bed0deb-Others-temporary
19,1.6,3.5600000000000005,5854679515581645.0,1.6,-2.5600000000000005,inf,RandomForestRegressor,3fdbc27a4bed0deb-Others-temporary
20,2.1,4.41,9457559217478042.0,inf,0.0,inf,RandomForestRegressor,3fdbc27a4bed0deb-Others-temporary
21,0.95,0.9025,4278419646001971.0,inf,0.0,inf,RandomForestRegressor,3fdbc27a4bed0deb-Others-temporary
22,0.24,0.0576,1080863910568919.0,inf,0.0,inf,RandomForestRegressor,3fdbc27a4bed0deb-Others-temporary
1,19.0,362.0,4.503599627370497e+16,19.0,-361.0,inf,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
2,7.0,50.0,1.8014398509481984e+16,7.0,-49.0,inf,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
3,1.8,3.24,8106479329266893.0,inf,0.0,inf,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
4,0.8,0.6400000000000001,3602879701896397.0,inf,0.0,inf,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
5,0.2,0.04000000000000001,900719925474099.2,inf,0.0,inf,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
6,0.0,0.0,0.0,,1.0,,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
7,25.0,1250.0,0.5,1.0,-1.0,,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
8,50.0,2500.0,1.0,1.0,0.0,1.0,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
9,40.0,1825.0,0.59375,0.6153846153846154,-7.111111111111111,0.59375,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
10,30.0,900.0,0.375,0.375,0.0,0.375,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
11,36.5,1932.5,4.432142857142857,0.8390804597701149,-0.4505535747795084,4.432142857142857,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
12,73.0,5329.0,10.428571428571429,10.428571428571429,0.0,10.428571428571429,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
13,21.9,479.60999999999996,3.1285714285714286,3.1285714285714286,0.0,3.1285714285714286,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
14,14.600000000000001,213.16000000000005,2.085714285714286,2.085714285714286,0.0,2.085714285714286,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
15,0.0,0.0,0.0,0.0,1.0,0.0,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
16,9.8,102.29000000000002,3.5964285714285715,2.177777777777778,-15.366400000000002,3.5964285714285715,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
17,5.0,25.0,2.5,2.5,0.0,2.5,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
18,2.0,4.0,1.0,1.0,0.0,1.0,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
19,2.0,5.0,6755399441055744.0,2.0,-4.0,inf,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
20,2.0,4.0,9007199254740992.0,inf,0.0,inf,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
21,0.6,0.36,2702159776422297.5,inf,0.0,inf,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
22,0.2,0.04000000000000001,900719925474099.2,inf,0.0,inf,BaggingRegressor,3fdbc27a4bed0deb-Others-temporary
1,19.0,362.0,4.503599627370497e+16,19.0,-361.0,inf,SVR,3fdbc27a4bed0deb-Others-temporary
2,8.990842180555633,81.85364239307259,2.2517997883445796e+16,8.990842180555633,-80.85364239307259,inf,SVR,3fdbc27a4bed0deb-Others-temporary
3,2.2194120381759097,4.925791327856891,9995343228110620.0,inf,0.0,inf,SVR,3fdbc27a4bed0deb-Others-temporary
4,0.9996267055479766,1.0333477342212278,4501918458615464.0,inf,0.0,inf,SVR,3fdbc27a4bed0deb-Others-temporary
5,0.5186486822073746,0.2731911573447483,2335786011925331.0,inf,0.0,inf,SVR,3fdbc27a4bed0deb-Others-temporary
6,0.3446758613717199,0.12223998052045869,1552282080837282.5,inf,0.0,inf,SVR,3fdbc27a4bed0deb-Others-temporary
7,24.949126587511763,1234.880204297322,454817498435380.0,0.9979650635004705,-0.9758083268757154,inf,SVR,3fdbc27a4bed0deb-Others-temporary
8,49.79586114032092,2479.6295643276317,0.9959172228064184,0.9959172228064185,0.0,0.9959172228064184,SVR,3fdbc27a4bed0deb-Others-temporary
9,64.10378257016725,4334.579555483622,0.9854009010489102,0.9862120395410346,-18.264798024371654,0.9854009010489102,SVR,3fdbc27a4bed0deb-Others-temporary
10,77.80100022018149,6053.012593548443,0.9725125027522687,0.9725125027522686,0.0,0.9725125027522687,SVR,3fdbc27a4bed0deb-Others-temporary
11,39.78507449950803,2896.222511083646,0.728346864723957,0.9145994137817938,-1.1739332040410178,0.728346864723957,SVR,3fdbc27a4bed0deb-Others-temporary
12,1.8199639697881778,3.4259954513617874,0.2599948528268825,0.25999485282688256,0.0,0.2599948528268825,SVR,3fdbc27a4bed0deb-Others-temporary
13,1.0759686938767126,1.276456035261941,0.15370981341095893,0.15370981341095893,0.0,0.15370981341095893,SVR,3fdbc27a4bed0deb-Others-temporary
14,1.1550998525682972,1.4085460268588565,0.16501426465261387,0.16501426465261387,0.0,0.16501426465261387,SVR,3fdbc27a4bed0deb-Others-temporary
15,1.089558592686671,1.2318059028310948,0.1556512275266673,0.1556512275266673,0.0,0.1556512275266673,SVR,3fdbc27a4bed0deb-Others-temporary
16,2.323647434002213,8.048569491284402,1.037537779141383,0.5163660964449363,-0.2877711186055043,1.037537779141383,SVR,3fdbc27a4bed0deb-Others-temporary
17,4.318199157334416,18.66731256344957,2.159099578667208,2.159099578667208,0.0,2.159099578667208,SVR,3fdbc27a4bed0deb-Others-temporary
18,3.243004919702967,10.542429943665917,1.6215024598514836,1.6215024598514836,0.0,1.6215024598514836,SVR,3fdbc27a4bed0deb-Others-temporary
19,3.1260305032583005,10.526349181225601,8994870369515871.0,3.1260305032583005,-9.526349181225601,inf,SVR,3fdbc27a4bed0deb-Others-temporary
20,2.753379294457225,7.584222984477355,1.2400117964527198e+16,inf,0.0,inf,SVR,3fdbc27a4bed0deb-Others-temporary
21,1.441750565293779,2.078674355076026,6493067308618265.0,inf,0.0,inf,SVR,3fdbc27a4bed0deb-Others-temporary
22,1.094293171433108,1.1987522847294052,4928258319100223.0,inf,0.0,inf,SVR,3fdbc27a4bed0deb-Others-temporary
1,18.999999999999996,361.9999999999999,4.503599627370496e+16,18.999999999999996,-360.9999999999999,inf,PoissonRegressor,3fdbc27a4bed0deb-Others-temporary
2,0.7433376048738488,0.9354626023387881,280436725736067.66,0.7433376048738488,0.06453739766121191,inf,PoissonRegressor,3fdbc27a4bed0deb-Others-temporary
