,bairros,Total,< de 1 ano,1 ano,2 anos,3 anos,4 anos,5 anos,6 anos,7 anos,8 anos,9 anos,10 anos,11 anos,12 anos,13 anos,14 anos,15 anos,16 e 17 anos,18 e 19 anos,20 a 24 anos,25 a 29 anos,30 a 34 anos,35 a 39 anos,40 a 49 anos,50 a 59 anos,60 a 64 anos,65 a 69 anos,70 a 74 anos,75 a 79 anos,80 anos ou mais
0,total,6320446,72828,72657,71632,72365,74550,77218,76536,77789,78054,86162,96891,92142,93045,91692,92797,94867,183225,186058,508707,551103,524455,468531,876487,759804,279122,206203,170853,129430,155243
1,area de planejamento 1,297976,3455,3393,3262,3296,3450,3550,3574,3639,3646,3889,4442,4291,4121,4102,4146,4171,8057,8585,25751,28226,26181,22411,40982,34791,12543,9121,7684,5914,7303
2,i portuaria,48664,694,711,692,627,686,656,715,712,676,816,918,918,797,751,798,781,1485,1529,4639,4589,4261,3673,6379,4882,1669,1138,928,693,851
3,caju,20477,314,352,346,289,313,293,343,312,316,367,400,402,364,334,344,350,624,682,2120,1978,1735,1528,2589,1769,621,442,356,241,353
4,gamboa,13108,189,177,179,180,173,166,191,199,172,230,268,255,213,212,244,229,431,415,1219,1169,1132,992,1747,1366,477,293,219,193,178
5,santo cristo,12330,157,151,139,136,170,178,158,172,161,185,216,213,173,172,170,169,375,368,1050,1112,1111,956,1675,1435,463,322,294,209,240
6,saude,2749,34,31,28,22,30,19,23,29,27,34,34,48,47,33,40,33,55,64,250,330,283,197,368,312,108,81,59,50,80
7,ii centro,41142,281,270,257,232,289,260,297,256,258,294,340,305,332,344,347,374,727,864,3024,4153,3649,3133,6192,6015,2403,1869,1629,1282,1466
8,centro,41142,281,270,257,232,289,260,297,256,258,294,340,305,332,344,347,374,727,864,3024,4153,3649,3133,6192,6015,2403,1869,1629,1282,1466
9,iii rio comprido,78975,956,937,914,965,958,1052,971,979,1056,1050,1147,1164,1107,1155,1194,1186,2349,2384,6720,6918,6747,5655,10669,9156,3259,2539,2040,1615,2133
10,catumbi,12556,151,177,179,154,148,221,165,177,200,164,201,213,191,228,203,191,389,384,1006,1035,1050,857,1608,1410,507,402,348,278,319
11,cidade nova,5466,72,47,72,68,67,64,55,66,77,65,75,90,66,73,90,76,148,165,427,496,513,403,707,678,223,183,152,118,130
12,estacio,17189,222,208,184,203,226,218,232,230,246,250,279,235,244,227,271,249,497,551,1482,1555,1469,1254,2345,1888,711,572,427,334,380
13,rio comprido,43764,511,505,479,540,517,549,519,506,533,571,592,626,606,627,630,670,1315,1284,3805,3832,3715,3141,6009,5180,1818,1382,1113,885,1304
15,vii são cristovão,84908,1045,1034,968,1071,1071,1121,1131,1171,1172,1188,1374,1284,1313,1303,1242,1257,2382,2535,7601,8232,7403,6267,11427,9416,3289,2287,2015,1530,1779
16,benfica,25081,267,286,298,346,339,352,320,343,351,368,398,388,404,379,383,382,654,711,2236,2484,2347,1982,3383,2684,927,666,562,408,433
17,mangueira,17835,320,297,289,295,298,297,361,351,343,321,401,369,347,361,329,329,606,615,1675,1673,1367,1147,2153,1714,537,335,310,199,196
18,imperial de são cristovão,26510,291,248,232,252,245,268,252,275,284,302,334,280,344,337,325,335,689,734,2357,2579,2368,2020,3740,3270,1187,859,714,622,767
19,vasco da gama,15482,167,203,149,178,189,204,198,202,194,197,241,247,218,226,205,211,433,475,1333,1496,1321,1118,2151,1748,638,427,429,301,383
20,xxi paqueta,3361,41,36,39,24,38,40,36,42,40,49,47,47,43,35,44,38,106,86,214,214,214,176,438,496,210,169,142,109,148
21,paqueta,3361,41,36,39,24,38,40,36,42,40,49,47,47,43,35,44,38,106,86,214,214,214,176,438,496,210,169,142,109,148
22,xxiii santa teresa,40926,438,405,392,377,408,421,424,479,444,492,616,573,529,514,521,535,1008,1187,3553,4120,3907,3507,5877,4826,1713,1119,930,685,926
23,santa teresa,40926,438,405,392,377,408,421,424,479,444,492,616,573,529,514,521,535,1008,1187,3553,4120,3907,3507,5877,4826,1713,1119,930,685,926
25,area de planejamento 2,1009170,8740,8320,8052,7972,8245,8308,8305,8406,8274,9037,10080,9868,9768,9782,10085,10468,20804,24038,72520,88439,82366,70908,138346,138780,57088,44813,40003,34884,52471
26,iv botafogo,239729,1900,1743,1723,1679,1639,1688,1664,1719,1686,1762,2002,1959,1957,1976,2075,2096,4258,5331,16681,22345,20932,17322,34111,33798,13869,10735,9773,8572,12734
